iter	MultiClass
0	0.9287952736
1	0.7810019623
2	0.7115640411
3	0.6468469075
4	0.6119359153
5	0.5816537532
6	0.5632105537
7	0.5403221411
8	0.5198873478
9	0.5082522038
10	0.4954540675
11	0.4860021017
12	0.4784463757
13	0.4679862238
14	0.4585193297
15	0.4502859477
16	0.4440056132
17	0.4375735064
18	0.4299058089
19	0.4206123781
20	0.4138541505
21	0.4093112244
22	0.4035121582
23	0.3939906144
24	0.3864511594
25	0.3767620861
26	0.3753093497
27	0.3680954801
28	0.3602594805
29	0.3549093938
30	0.3475001135
31	0.3427569762
32	0.3395489292
33	0.3373576452
34	0.3322415089
35	0.3304862553
36	0.3267429588
37	0.3231216433
38	0.315809602
39	0.3125047239
40	0.3063455441
41	0.3036683291
42	0.2984094844
43	0.2963044313
44	0.2952798756
45	0.2912458488
46	0.2874421191
47	0.2835362981
48	0.2820143805
49	0.2784522948
50	0.2763709827
51	0.2740550463
52	0.2732912584
53	0.2695122686
54	0.2679781872
55	0.2649023542
56	0.2629129973
57	0.2612023724
58	0.2598031185
59	0.2575945665
60	0.2549939041
61	0.2525003599
62	0.2473565097
63	0.2442356465
64	0.2425999588
65	0.2402047749
66	0.2375193582
67	0.2368515392
68	0.2334426808
69	0.23234909
70	0.2306266359
71	0.2293000287
72	0.2281750215
73	0.2259208358
74	0.2243122196
75	0.2216955649
76	0.2191118564
77	0.217686958
78	0.2140299008
79	0.2104172033
80	0.2089071388
81	0.208379915
82	0.2064997028
83	0.2058975734
84	0.2036473297
85	0.2004638827
86	0.1998819614
87	0.198815191
88	0.1973197895
89	0.192959497
90	0.1905114938
91	0.1879983676
92	0.186670753
93	0.1852264006
94	0.1827387444
95	0.1816394702
96	0.1807858455
97	0.1791556912
98	0.1784176612
99	0.177976216
