iter	Passed	Remaining
0	47	4687
1	48	2372
2	49	1595
3	50	1208
4	51	974
5	52	816
6	52	701
7	53	616
8	54	552
9	55	498
10	56	454
11	57	418
12	57	387
13	58	360
14	59	336
15	60	318
16	61	300
17	62	283
18	63	269
19	64	256
20	64	244
21	65	233
22	66	223
23	67	214
24	68	206
25	69	198
26	70	190
27	71	183
28	72	176
29	72	170
30	73	164
31	74	158
32	75	153
33	76	148
34	77	143
35	77	138
36	78	133
37	79	129
38	80	125
39	81	121
40	82	118
41	82	114
42	83	111
43	84	108
44	85	104
45	86	101
46	87	98
47	88	96
48	89	93
49	90	90
50	91	87
51	91	84
52	92	82
53	93	79
54	94	77
55	95	74
56	96	72
57	96	70
58	97	67
59	98	65
60	99	63
61	99	61
62	100	59
63	101	57
64	102	55
65	103	53
66	104	51
67	105	49
68	106	47
69	107	45
70	108	44
71	108	42
72	109	40
73	110	38
74	111	37
75	112	35
76	113	33
77	114	32
78	114	30
79	115	28
80	116	27
81	117	25
82	118	24
83	118	22
84	119	21
85	120	19
86	121	18
87	122	16
88	123	15
89	124	13
90	125	12
91	126	10
92	126	9
93	127	8
94	128	6
95	129	5
96	130	4
97	131	2
98	132	1
99	132	0
