Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,Seed
Bagging,0.85,0.8500000000000001,0.8562271518777003,0.85,0.850356036385448,0.8016905286654681,0.783447862129145,0.0404821102821634,6.128249406814575,3
VotingEnsemble,0.8416666666666667,0.8416666666666668,0.8495880495880497,0.8416666666666667,0.8416619907978903,0.7916055323134338,0.8002126963350786,0.0234737223292489,6.10713005065918,3
CatBoost,0.8375,0.8375,0.8410791006799128,0.8375,0.8374349945781976,0.7845328421680217,0.0,0.0,0.7538330554962158,3
StackingEnsemble,0.8375,0.8375,0.8440057049015232,0.8375,0.8377913173738947,0.7854269593630577,0.8065063263525305,0.0256841527702299,7.046109676361084,3
RandomForest,0.8375,0.8375,0.8422827293598782,0.8375,0.8371890777109621,0.7851164092163883,0.793924520069808,0.0386006639549476,1.5492777824401855,3
ExtraTrees,0.8333333333333334,0.8333333333333334,0.8382048181343955,0.8333333333333334,0.8333379915104722,0.7794213473136495,0.7865892233856893,0.0222490657982075,1.1574528217315674,3
GaussianProcess,0.8333333333333334,0.8333333333333334,0.8410509721793067,0.8333333333333334,0.8342529622021454,0.7798565553959439,0.8064954188481674,0.0205753843785758,114.05972528457642,3
XGBoost,0.8333333333333334,0.8333333333333333,0.8434937449556094,0.8333333333333334,0.8338682146491476,0.7808748827220199,0.7834478621291449,0.0307901074179504,1.5973126888275146,3
HistGradientBoosting,0.8291666666666667,0.8291666666666666,0.8412234223714299,0.8291666666666667,0.8301836086672153,0.7755868056726176,0.775065445026178,0.0416652046927895,14.633744239807127,3
SVC_RBF,0.825,0.825,0.8326432129514321,0.825,0.8260097394911566,0.7686799707764543,0.8085896596858639,0.0175619932177726,0.1968686580657959,3
KNN_7,0.8208333333333333,0.8208333333333333,0.8315909090909092,0.8208333333333333,0.8216750841750842,0.7642131779863603,0.797038612565445,0.0232754616849969,0.0728578567504882,3
GradientBoosting,0.8208333333333333,0.8208333333333333,0.8358909608909609,0.8208333333333333,0.8213046782080085,0.7663983374306844,0.7886998254799302,0.015776701184335,3.380837202072144,3
SVC_Linear,0.8208333333333333,0.8208333333333333,0.8276192374876585,0.8208333333333333,0.8218156073478412,0.7628258650011055,0.8085678446771378,0.0254139725547326,0.207629919052124,3
MLP_Large,0.8125,0.8125,0.8220099807599808,0.8125,0.8136040897679815,0.7526353531584874,0.790799520069808,0.0340603498970697,1.0961551666259766,3
LinearSVC,0.8125,0.8125,0.8193384169354285,0.8125,0.8131541660953426,0.7518995534240904,0.7960296684118674,0.035940648939411,0.2740623950958252,3
NuSVC,0.8125,0.8125,0.8210827971758355,0.8125,0.8129700678708754,0.7527406438423702,0.8075207242582898,0.02449935475223,0.2772634029388428,3
LDA,0.8125,0.8125,0.8222843583994343,0.8125,0.8134591142931793,0.7526704451437336,0.7981348167539266,0.0297786375705418,0.0274207592010498,3
LogisticRegression_L1,0.8125,0.8125,0.8196874757291444,0.8125,0.8131455544801189,0.7520745480859484,0.8096204188481677,0.0221359033755253,0.0852675437927246,3
KNN_3,0.8083333333333333,0.8083333333333333,0.814198453296814,0.8083333333333333,0.8070441003748774,0.7472344854292303,0.7468368237347296,0.026413462663407,0.1594200134277343,3
LogisticRegression_ElasticNet,0.8083333333333333,0.8083333333333333,0.8150446269025998,0.8083333333333333,0.809446264328005,0.7459828937315326,0.8096313263525305,0.0204922835022089,0.0990002155303955,3
LogisticRegression_L2,0.8041666666666667,0.8041666666666667,0.8100574712643679,0.8041666666666667,0.8053214849378989,0.7401234576510471,0.8064954188481674,0.0246930119971791,0.0603623390197753,3
MLP_L2,0.8,0.8,0.8084552818374264,0.8,0.8013661641206923,0.7353275496149551,0.7824280104712042,0.0399461879507934,0.7007172107696533,3
RidgeClassifier,0.8,0.7999999999999999,0.8049713233492977,0.8,0.8011761812112372,0.734166541335922,0.7541666666666667,0.0436422539559731,0.0290846824645996,3
MLP_Medium,0.8,0.8,0.8084552818374264,0.8,0.8013661641206923,0.7353275496149551,0.7824280104712042,0.0399461879507934,0.6968011856079102,3
KNN_5,0.7958333333333333,0.7958333333333333,0.8092822229122053,0.7958333333333333,0.7952680976436108,0.7326615048673099,0.7761234729493893,0.0283624058799381,0.0652627944946289,3
SGDClassifier,0.7833333333333333,0.7833333333333332,0.7929853964250382,0.7833333333333333,0.7852931876999616,0.7130780900370474,0.7395342495636997,0.0316968417161113,0.0740301609039306,3
SVC_Poly,0.7833333333333333,0.7833333333333333,0.8196428294354561,0.7833333333333333,0.784723815364029,0.7238052443082812,0.7583660558464225,0.0205382137921859,0.2620513439178467,3
QDA,0.775,0.7749999999999999,0.7748066795682361,0.775,0.7746391689263739,0.7001620933216123,0.7709260471204188,0.0328035808628077,0.0258104801177978,3
AdaBoost,0.7625,0.7625,0.7849076081275137,0.7625,0.7635596840817922,0.6898148294738728,0.7646651396160558,0.0214609160658443,0.7288479804992676,3
GaussianNB,0.7625,0.7625,0.7688285103139596,0.7625,0.7624472649142103,0.6855746364425762,0.7426483420593369,0.0403668213038387,0.0256657600402832,3
PassiveAggressive,0.7625,0.7625,0.7736392938246283,0.7625,0.7629669998091051,0.6864068001731622,0.6850785340314136,0.0520909520390997,0.0742957592010498,3
NearestCentroid,0.7333333333333333,0.7333333333333334,0.7370311361616615,0.7333333333333333,0.7320431051343577,0.6464979422789026,0.7290684991273997,0.0351832268661302,0.1919913291931152,3
MLP_Small,0.7333333333333333,0.7333333333333334,0.7402367721192395,0.7333333333333333,0.7342734805301651,0.6459564362294415,0.7436681937172774,0.0355169529991526,0.7283604145050049,3
DecisionTree,0.7291666666666666,0.7291666666666667,0.7324807376531514,0.7291666666666666,0.7287386695225677,0.6401348079500594,0.6945407940663176,0.0183191560130968,0.0416257381439209,3
ExtraTree,0.725,0.7250000000000001,0.7243313201035376,0.725,0.7245179063360881,0.6334213146261567,0.6558900523560209,0.0207137384892129,0.027400255203247,3
Perceptron,0.65,0.6499999999999999,0.699314354670616,0.65,0.6169223553554295,0.5590568049317552,0.6579570244328097,0.0668100883087847,0.0634346008300781,3
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.0,0.2510471204188482,0.000523560209424,0.0152912139892578,3
DummyStratified,0.2041666666666666,0.2041666666666666,0.2046737938596491,0.2041666666666666,0.2041880941249805,-0.0611578467679731,0.271918630017452,0.0294650458173546,0.0256850719451904,3
StackingEnsemble,0.8333333333333334,0.8333333333333334,0.8328910808557933,0.8333333333333334,0.8330838947149107,0.777795782518171,0.8179810209424083,0.0183533630491212,6.979375123977661,5
CatBoost,0.825,0.8250000000000001,0.8248679261727936,0.825,0.82479335369547,0.7667554166428471,0.0,0.0,0.8574178218841553,5
GaussianProcess,0.8208333333333333,0.8208333333333333,0.8224372176300873,0.8208333333333333,0.8214443197700743,0.7612344692841105,0.8106348167539267,0.0250825266799547,100.29835987091064,5
VotingEnsemble,0.8208333333333333,0.8208333333333333,0.8204184220619928,0.8208333333333333,0.8204865873473314,0.7611992179715221,0.8012380017452007,0.0176960770453304,6.03764271736145,5
SVC_RBF,0.8166666666666667,0.8166666666666668,0.8168245041494345,0.8166666666666667,0.8166018714715396,0.7556430193001972,0.8137816317626527,0.0304121584502565,0.2087800502777099,5
MLP_Large,0.8125,0.8125,0.81223765033938,0.8125,0.8118959642250523,0.7502953132171558,0.8158704188481675,0.0175910825225488,1.219562530517578,5
NuSVC,0.8083333333333333,0.8083333333333335,0.8087871737839384,0.8083333333333333,0.8077300181532157,0.7449792279673111,0.8064736038394417,0.0179476181474298,0.3289532661437988,5
RandomForest,0.8083333333333333,0.8083333333333333,0.8093510816800811,0.8083333333333333,0.80858891443656,0.7445995855203069,0.7970440663176266,0.0212703494755766,1.560230731964111,5
GradientBoosting,0.8041666666666667,0.8041666666666667,0.8049444237456532,0.8041666666666667,0.8039357137613545,0.7392483331036391,0.7918411867364747,0.0069266002172656,3.11653995513916,5
SVC_Linear,0.8041666666666667,0.8041666666666667,0.8046299646525092,0.8041666666666667,0.8041933724497062,0.7390086453634066,0.8179592059336824,0.0227697935249866,0.2025554180145263,5
ExtraTrees,0.8041666666666667,0.8041666666666667,0.8054688380568322,0.8041666666666667,0.8034115302885747,0.7397970677340417,0.8033376963350787,0.0161928505784863,1.196471929550171,5
XGBoost,0.8,0.7999999999999999,0.8016681046879494,0.8,0.8002158649431376,0.7337070756453006,0.7918248254799302,0.0175074143629749,1.5696921348571775,5
HistGradientBoosting,0.8,0.8,0.7993624772313297,0.8,0.7993330448764733,0.7335541120077193,0.7698243891797556,0.0343567082340834,14.695039987564089,5
Bagging,0.8,0.8,0.8011663048419568,0.8,0.8003758639935987,0.7334521893832306,0.7730148342059338,0.0134437812150701,6.353562355041504,5
MLP_L2,0.7958333333333333,0.7958333333333334,0.797039110005528,0.7958333333333333,0.7949244153508743,0.7287061199601832,0.7949498254799302,0.0207671664744691,0.9178178310394288,5
MLP_Medium,0.7958333333333333,0.7958333333333334,0.797039110005528,0.7958333333333333,0.7949244153508743,0.7287061199601832,0.7907667975567192,0.0216945435882368,0.6039834022521973,5
LogisticRegression_L2,0.7958333333333333,0.7958333333333334,0.795975349969568,0.7958333333333333,0.7947818801682867,0.7284356904402853,0.8138034467713787,0.0226339546496065,0.0628929138183593,5
LogisticRegression_ElasticNet,0.7916666666666666,0.7916666666666667,0.7916518190262993,0.7916666666666666,0.7904565094762274,0.7229254083621643,0.8127454188481675,0.0209143965557859,0.0796349048614502,5
LogisticRegression_L1,0.7916666666666666,0.7916666666666667,0.792390197196871,0.7916666666666666,0.7904833965844402,0.7231099158302664,0.8148396596858639,0.0227069013868068,0.0775198936462402,5
SVC_Poly,0.7875,0.7875000000000001,0.8173922337643983,0.7875,0.7899104885444495,0.7262622484446672,0.7709042321116929,0.0114783488514345,0.2460029125213623,5
Perceptron,0.7875,0.7875000000000001,0.7959369890857673,0.7875,0.7895591827375331,0.7180475766617209,0.7113983420593368,0.0579440511386211,0.066260814666748,5
QDA,0.7833333333333333,0.7833333333333334,0.7821910341692412,0.7833333333333333,0.7825771760943147,0.7112263654625267,0.7719677137870855,0.0138637083703458,0.0260593891143798,5
LDA,0.7791666666666667,0.7791666666666667,0.7798977654465259,0.7791666666666667,0.7794013974875267,0.7056372312582724,0.8085405759162303,0.0318711902080087,0.0267665386199951,5
LinearSVC,0.7708333333333334,0.7708333333333334,0.7699000104427737,0.7708333333333334,0.7696969428195181,0.694846671205331,0.7991546684118673,0.0236205501335538,0.2809948921203613,5
KNN_5,0.7708333333333334,0.7708333333333333,0.7708616283061053,0.7708333333333334,0.7706686705273263,0.6945569975219987,0.7604602966841186,0.0160093183723981,0.0627999305725097,5
MLP_Small,0.7666666666666667,0.7666666666666667,0.7659284983014565,0.7666666666666667,0.7657974069245255,0.6891920724595908,0.7541666666666667,0.0174302329263629,0.5427472591400146,5
KNN_7,0.7625,0.7625,0.7639074464258184,0.7625,0.7623365167915312,0.6838559229509721,0.775087260034904,0.0230942547512925,0.0586030483245849,5
RidgeClassifier,0.7625,0.7625,0.7623093465250604,0.7625,0.7604502397954391,0.684506874235183,0.7531359075043629,0.0232905869540941,0.0267815589904785,5
AdaBoost,0.7625,0.7625,0.766761672477133,0.7625,0.7634491750467981,0.6840145203053043,0.7782558900523561,0.0165605984584343,0.6974694728851318,5
GaussianNB,0.7458333333333333,0.7458333333333333,0.7454069336299592,0.7458333333333333,0.7455184310456608,0.6611723336061363,0.743728184991274,0.0086136141371721,0.0296199321746826,5
SGDClassifier,0.7458333333333333,0.7458333333333333,0.7610613106636085,0.7458333333333333,0.7457425403714381,0.6650172440746887,0.7499400087260034,0.0361970770709985,0.0780861377716064,5
KNN_3,0.7458333333333333,0.7458333333333333,0.7452361676999468,0.7458333333333333,0.7449041763598093,0.6614940309874751,0.7384762216404887,0.0157967214088823,0.1600799560546875,5
NearestCentroid,0.7333333333333333,0.7333333333333334,0.7328701181053567,0.7333333333333333,0.7329744754549327,0.6445190458736976,0.7259434991273996,0.0107118190498972,0.2037367820739746,5
DecisionTree,0.7,0.7,0.6995236773954866,0.7,0.696653823347684,0.6017997319902206,0.7154886561954624,0.015234562534877,0.041149616241455,5
ExtraTree,0.675,0.6749999999999999,0.675724651442498,0.675,0.6733894236741259,0.567811329368575,0.6652595986038394,0.0323909981235445,0.0274982452392578,5
PassiveAggressive,0.6416666666666667,0.6416666666666667,0.6725266362252663,0.6416666666666667,0.597541035687811,0.5447971026341628,0.7447316753926702,0.0231569066321864,0.0691018104553222,5
