Classifier,Accuracy_Mean,Accuracy_Std,Balanced_Accuracy_Mean,Balanced_Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Score_Mean,F1_Score_Std,MCC_Mean,MCC_Std,CV_Mean_Mean,CV_Mean_Std
KNN_5,0.9270833333333334,0.04773516348912335,0.9270833333333334,0.04773516348912335,0.9377314814814816,0.04199140429873022,0.9270833333333334,0.04773516348912335,0.9245698065551006,0.051083861087834574,0.9073654903224347,0.06052165961068203,0.867076923076923,0.023232297453554002
KNN_3,0.90625,0.05412658773652741,0.90625,0.05412658773652741,0.9177819865319865,0.049035450051802404,0.90625,0.05412658773652741,0.9002194006257472,0.059348081198168874,0.8816997430150667,0.06763818815087712,0.8619487179487179,0.04494555110467067
LinearSVC,0.8958333333333334,0.04773516348912335,0.8958333333333334,0.04773516348912335,0.9108375420875422,0.037158896416372475,0.8958333333333334,0.04773516348912335,0.8942822821886289,0.0494236772472696,0.866575258695022,0.059653369698068434,0.8747692307692306,0.021166010488516664
LogisticRegression_L2,0.8958333333333334,0.018042195912175797,0.8958333333333334,0.018042195912175797,0.9074975949975951,0.027613325741273693,0.8958333333333334,0.018042195912175797,0.8936967702060582,0.016514993373406135,0.8660987995680776,0.02765652531464197,0.8770256410256408,0.016769466006348148
LogisticRegression_L1,0.8854166666666666,0.018042195912175797,0.8854166666666666,0.018042195912175797,0.9027356902356903,0.025338893757758874,0.8854166666666666,0.018042195912175797,0.8818734083826962,0.018370009437974576,0.8543599173645725,0.02700503760094034,0.867076923076923,0.00830769230769228
LogisticRegression_ElasticNet,0.8854166666666666,0.018042195912175797,0.8854166666666666,0.018042195912175797,0.9043560606060607,0.023987323758642435,0.8854166666666666,0.018042195912175797,0.8847740344450871,0.015736456654071158,0.8536177926713094,0.027556886931480642,0.859076923076923,0.014143809150229178
SVC_Linear,0.8854166666666666,0.06505206248331663,0.8854166666666666,0.06505206248331663,0.8915674603174603,0.07173428569654854,0.8854166666666666,0.06505206248331663,0.8849225801431683,0.06618701211715791,0.8495328750786254,0.08830962233674451,0.8591794871794871,0.008154329932431145
StackingEnsemble,0.8854166666666666,0.090210979560879,0.8854166666666666,0.090210979560879,0.8939153439153439,0.0971414738636513,0.8854166666666666,0.090210979560879,0.8846093993152815,0.09196057448462841,0.8506441002632563,0.12164249063836671,0.8745641025641024,0.021400289404299448
ExtraTrees,0.875,0.03125,0.875,0.03125,0.8788359788359789,0.03606602220239964,0.875,0.03125,0.8721833177715531,0.034772872874486306,0.8362143641025988,0.040859497637447624,0.8515897435897436,0.031385118145797065
VotingEnsemble,0.8645833333333334,0.04773516348912335,0.8645833333333334,0.04773516348912335,0.8770743145743145,0.03815169588102782,0.8645833333333334,0.04773516348912335,0.8623242211864502,0.049215370122853784,0.8242730831714784,0.05988705475134563,0.8564102564102564,0.04743087984550912
SVC_RBF,0.8645833333333334,0.07864410870073699,0.8645833333333334,0.07864410870073699,0.8749007936507937,0.0751488586358475,0.8645833333333334,0.07864410870073699,0.8613680301180301,0.08280181807175525,0.8251495224512896,0.100670773027252,0.8823589743589743,0.008617215922582572
SGDClassifier,0.8541666666666666,0.04773516348912332,0.8541666666666666,0.04773516348912332,0.8809343434343435,0.045295694300913666,0.8541666666666666,0.04773516348912332,0.8484851992978927,0.05094141630724173,0.8158157748917079,0.06291751756414816,0.8355897435897436,0.013413173188702901
RidgeClassifier,0.8541666666666666,0.04773516348912332,0.8541666666666666,0.04773516348912332,0.8819444444444443,0.031823442326082224,0.8541666666666666,0.04773516348912332,0.8514391654097536,0.05243796801143762,0.8148429346206708,0.05683653343858488,0.8516923076923076,0.04204139971433907
