mac,1,2,3,4,5,6,7,8,9,10,label
76:64:61:f6:e6:14,-55.0,-54.0,-49.0,-43.0,-46.0,-44.0,-39.0,-49.0,-37.0,-35.0,BA
76:64:61:f6:e6:14,-53.0,-52.0,-52.0,-52.0,-40.0,-51.0,-34.0,-28.0,-40.0,-54.0,BA
76:64:61:f6:e6:14,-50.0,-49.0,-51.0,-43.0,-38.0,-38.0,-28.0,-37.0,-41.0,-59.0,BA
76:64:61:f6:e6:14,-60.0,-49.0,-51.0,-48.0,-50.0,-38.0,-39.0,-29.0,-41.0,-54.0,BA
76:64:61:f6:e6:14,-59.0,-49.0,-48.0,-47.0,-40.0,-38.0,-33.0,-39.0,-47.0,-45.0,BA
76:64:61:f6:e6:14,-49.0,-57.0,-43.0,-42.0,-38.0,-38.0,-37.0,-49.0,-53.0,-49.0,BA
76:64:61:f6:e6:14,-50.0,-47.0,-57.0,-42.0,-41.0,-37.0,-33.0,-33.0,-47.0,-46.0,BA
76:64:61:f6:e6:14,-60.0,-51.0,-52.0,-53.0,-42.0,-36.0,-35.0,-55.0,-50.0,-49.0,BA
76:64:61:f6:e6:14,-50.0,-59.0,-43.0,-46.0,-38.0,-41.0,-42.0,-39.0,-47.0,-52.0,BA
76:64:61:f6:e6:14,-51.0,-46.0,-54.0,-44.0,-41.0,-40.0,-40.0,-43.0,-55.0,-50.0,BA
76:64:61:f6:e6:14,-48.0,-43.0,-52.0,-45.0,-42.0,-32.0,-47.0,-44.0,-48.0,-52.0,BA
76:64:61:f6:e6:14,-48.0,-42.0,-53.0,-45.0,-40.0,-36.0,-38.0,-49.0,-49.0,-53.0,BA
76:64:61:f6:e6:14,-43.0,-46.0,-50.0,-40.0,-28.0,-35.0,-51.0,-53.0,-53.0,-50.0,BA
76:64:61:f6:e6:14,-48.0,-54.0,-53.0,-43.0,-31.0,-27.0,-48.0,-49.0,-52.0,-43.0,BA
76:64:61:f6:e6:14,-42.0,-52.0,-42.0,-44.0,-37.0,-40.0,-44.0,-52.0,-59.0,-42.0,BA
76:64:61:f6:e6:14,-48.0,-40.0,-51.0,-43.0,-32.0,-34.0,-44.0,-43.0,-62.0,-52.0,BA
76:64:61:f6:e6:14,-50.0,-48.0,-45.0,-50.0,-31.0,-40.0,-41.0,-58.0,-52.0,-56.0,BA
76:64:61:f6:e6:14,-52.0,-46.0,-45.0,-50.0,-41.0,-40.0,-29.0,-50.0,-50.0,-53.0,BA
76:64:61:f6:e6:14,-48.0,-42.0,-51.0,-40.0,-29.0,-41.0,-56.0,-54.0,-51.0,-50.0,BA
76:64:61:f6:e6:14,-42.0,-55.0,-44.0,-42.0,-42.0,-32.0,-35.0,-51.0,-53.0,-54.0,BA
e6:53:5c:2a:e8:e2,-50.0,-45.0,-41.0,-33.0,-51.0,-48.0,-43.0,-51.0,-59.0,-56.0,BA
e6:53:5c:2a:e8:e2,-49.0,-49.0,-53.0,-44.0,-41.0,-43.0,-54.0,-55.0,-44.0,-53.0,BA
e6:53:5c:2a:e8:e2,-43.0,-45.0,-51.0,-45.0,-43.0,-40.0,-57.0,-46.0,-50.0,-43.0,BA
e6:53:5c:2a:e8:e2,-54.0,-51.0,-55.0,-43.0,-46.0,-43.0,-42.0,-46.0,-47.0,-53.0,BA
e6:53:5c:2a:e8:e2,-49.0,-54.0,-46.0,-48.0,-45.0,-41.0,-48.0,-46.0,-53.0,-43.0,BA
e6:53:5c:2a:e8:e2,-46.0,-47.0,-52.0,-43.0,-39.0,-43.0,-54.0,-47.0,-41.0,-53.0,BA
e6:53:5c:2a:e8:e2,-50.0,-50.0,-53.0,-47.0,-42.0,-37.0,-35.0,-52.0,-47.0,-45.0,BA
e6:53:5c:2a:e8:e2,-51.0,-49.0,-47.0,-47.0,-39.0,-38.0,-45.0,-48.0,-50.0,-41.0,BA
e6:53:5c:2a:e8:e2,-50.0,-49.0,-53.0,-38.0,-44.0,-34.0,-54.0,-45.0,-41.0,-51.0,BA
e6:53:5c:2a:e8:e2,-49.0,-50.0,-47.0,-44.0,-46.0,-45.0,-48.0,-44.0,-46.0,-55.0,BA
e6:53:5c:2a:e8:e2,-45.0,-47.0,-52.0,-43.0,-42.0,-38.0,-50.0,-49.0,-51.0,-46.0,BA
e6:53:5c:2a:e8:e2,-52.0,-44.0,-46.0,-50.0,-48.0,-39.0,-41.0,-53.0,-53.0,-51.0,BA
e6:53:5c:2a:e8:e2,-43.0,-51.0,-53.0,-51.0,-50.0,-43.0,-45.0,-45.0,-42.0,-44.0,BA
e6:53:5c:2a:e8:e2,-49.0,-42.0,-50.0,-51.0,-37.0,-40.0,-46.0,-40.0,-46.0,-56.0,BA
e6:53:5c:2a:e8:e2,-49.0,-50.0,-40.0,-41.0,-47.0,-40.0,-41.0,-49.0,-51.0,-44.0,BA
e6:53:5c:2a:e8:e2,-46.0,-52.0,-47.0,-38.0,-38.0,-38.0,-50.0,-47.0,-45.0,-44.0,BA
e6:53:5c:2a:e8:e2,-42.0,-45.0,-45.0,-41.0,-48.0,-44.0,-46.0,-42.0,-57.0,-46.0,BA
e6:53:5c:2a:e8:e2,-41.0,-48.0,-48.0,-46.0,-42.0,-42.0,-48.0,-43.0,-49.0,-56.0,BA
e6:53:5c:2a:e8:e2,-49.0,-43.0,-50.0,-48.0,-38.0,-43.0,-41.0,-38.0,-46.0,-45.0,BA
e6:53:5c:2a:e8:e2,-50.0,-43.0,-47.0,-49.0,-38.0,-37.0,-40.0,-51.0,-54.0,-49.0,BA
