mac,1,2,3,4,5,6,7,8,9,10,label
e6:53:5c:2a:e8:e2,-44.0,-50.0,-57.0,-55.0,-59.0,-51.0,-42.0,-48.0,-47.0,-34.0,LoopA
e6:53:5c:2a:e8:e2,-34.0,-37.0,-39.0,-38.0,-57.0,-43.0,-54.0,-55.0,-52.0,-48.0,LoopA
e6:53:5c:2a:e8:e2,-35.0,-45.0,-41.0,-41.0,-48.0,-34.0,-34.0,-32.0,-33.0,-50.0,LoopA
e6:53:5c:2a:e8:e2,-40.0,-33.0,-41.0,-53.0,-47.0,-48.0,-42.0,-48.0,-34.0,-34.0,LoopA
e6:53:5c:2a:e8:e2,-32.0,-49.0,-47.0,-51.0,-42.0,-48.0,-49.0,-56.0,-45.0,-49.0,LoopA
e6:53:5c:2a:e8:e2,-48.0,-53.0,-55.0,-44.0,-47.0,-46.0,-46.0,-51.0,-54.0,-31.0,LoopA
e6:53:5c:2a:e8:e2,-35.0,-48.0,-36.0,-36.0,-38.0,-43.0,-57.0,-53.0,-46.0,-47.0,LoopA
e6:53:5c:2a:e8:e2,-41.0,-48.0,-46.0,-48.0,-44.0,-43.0,-48.0,-45.0,-50.0,-48.0,LoopA
e6:53:5c:2a:e8:e2,-51.0,-45.0,-45.0,-50.0,-45.0,-45.0,-44.0,-49.0,-44.0,-44.0,LoopA
e6:53:5c:2a:e8:e2,-47.0,-47.0,-47.0,-47.0,-47.0,-48.0,-48.0,-48.0,-48.0,-48.0,LoopA
e6:53:5c:2a:e8:e2,-40.0,-43.0,-45.0,-44.0,-56.0,-52.0,-55.0,-57.0,-45.0,-53.0,LoopA
e6:53:5c:2a:e8:e2,-41.0,-48.0,-39.0,-45.0,-46.0,-34.0,-34.0,-38.0,-43.0,-51.0,LoopA
e6:53:5c:2a:e8:e2,-40.0,-54.0,-49.0,-54.0,-51.0,-52.0,-50.0,-47.0,-49.0,-43.0,LoopA
e6:53:5c:2a:e8:e2,-39.0,-37.0,-53.0,-59.0,-49.0,-46.0,-50.0,-40.0,-43.0,-44.0,LoopA
e6:53:5c:2a:e8:e2,-43.0,-47.0,-43.0,-43.0,-47.0,-44.0,-38.0,-30.0,-42.0,-54.0,LoopA
e6:53:5c:2a:e8:e2,-40.0,-46.0,-43.0,-52.0,-55.0,-55.0,-54.0,-49.0,-49.0,-42.0,LoopA
e6:53:5c:2a:e8:e2,-42.0,-41.0,-42.0,-41.0,-50.0,-46.0,-39.0,-31.0,-33.0,-29.0,LoopA
e6:53:5c:2a:e8:e2,-43.0,-46.0,-55.0,-43.0,-50.0,-54.0,-40.0,-47.0,-55.0,-59.0,LoopA
e6:53:5c:2a:e8:e2,-55.0,-56.0,-58.0,-57.0,-58.0,-55.0,-55.0,-56.0,-55.0,-57.0,LoopA
e6:53:5c:2a:e8:e2,-48.0,-50.0,-50.0,-47.0,-50.0,-46.0,-45.0,-44.0,-44.0,-50.0,LoopA
76:64:61:f6:e6:14,-44.0,-34.0,-49.0,-45.0,-51.0,-47.0,-42.0,-47.0,-47.0,-43.0,LoopA
76:64:61:f6:e6:14,-45.0,-44.0,-44.0,-50.0,-41.0,-41.0,-37.0,-47.0,-36.0,-42.0,LoopA
76:64:61:f6:e6:14,-44.0,-41.0,-36.0,-32.0,-40.0,-42.0,-43.0,-45.0,-57.0,-47.0,LoopA
76:64:61:f6:e6:14,-45.0,-48.0,-37.0,-35.0,-32.0,-45.0,-47.0,-37.0,-39.0,-34.0,LoopA
76:64:61:f6:e6:14,-39.0,-43.0,-40.0,-35.0,-37.0,-40.0,-35.0,-44.0,-36.0,-34.0,LoopA
76:64:61:f6:e6:14,-48.0,-42.0,-52.0,-38.0,-41.0,-38.0,-51.0,-42.0,-36.0,-34.0,LoopA
76:64:61:f6:e6:14,-41.0,-40.0,-40.0,-52.0,-41.0,-43.0,-37.0,-44.0,-41.0,-55.0,LoopA
76:64:61:f6:e6:14,-43.0,-46.0,-37.0,-37.0,-52.0,-45.0,-34.0,-38.0,-36.0,-38.0,LoopA
76:64:61:f6:e6:14,-54.0,-37.0,-43.0,-47.0,-47.0,-38.0,-47.0,-48.0,-35.0,-37.0,LoopA
76:64:61:f6:e6:14,-50.0,-46.0,-48.0,-32.0,-36.0,-48.0,-42.0,-29.0,-32.0,-58.0,LoopA
76:64:61:f6:e6:14,-40.0,-43.0,-33.0,-37.0,-43.0,-38.0,-62.0,-52.0,-57.0,-46.0,LoopA
76:64:61:f6:e6:14,-47.0,-57.0,-53.0,-51.0,-55.0,-45.0,-48.0,-30.0,-35.0,-60.0,LoopA
76:64:61:f6:e6:14,-60.0,-55.0,-53.0,-50.0,-53.0,-47.0,-52.0,-53.0,-40.0,-38.0,LoopA
76:64:61:f6:e6:14,-47.0,-49.0,-48.0,-58.0,-48.0,-45.0,-34.0,-39.0,-36.0,-37.0,LoopA
76:64:61:f6:e6:14,-51.0,-51.0,-55.0,-47.0,-55.0,-36.0,-44.0,-32.0,-38.0,-51.0,LoopA
76:64:61:f6:e6:14,-48.0,-56.0,-43.0,-53.0,-37.0,-40.0,-45.0,-35.0,-36.0,-36.0,LoopA
