mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
e6:53:5c:2a:e8:e2,-48.0,-48.0,-54.0,-53.0,-55.0,-50.0,-57.0,-53.0,-55.0,-51.0,LoopB,False
e6:53:5c:2a:e8:e2,-49.0,-48.0,-48.0,-54.0,-54.0,-50.0,-53.0,-48.0,-51.0,-52.0,LoopB,False
e6:53:5c:2a:e8:e2,-45.0,-52.0,-58.0,-50.0,-56.0,-55.0,-53.0,-51.0,-58.0,-58.0,LoopB,False
e6:53:5c:2a:e8:e2,-47.0,-51.0,-45.0,-50.0,-49.0,-48.0,-48.0,-57.0,-52.0,-57.0,LoopB,False
e6:53:5c:2a:e8:e2,-57.0,-56.0,-61.0,-46.0,-58.0,-52.0,-48.0,-49.0,-54.0,-57.0,LoopB,False
e6:53:5c:2a:e8:e2,-47.0,-47.0,-60.0,-54.0,-50.0,-52.0,-57.0,-54.0,-50.0,-50.0,LoopB,False
e6:53:5c:2a:e8:e2,-56.0,-57.0,-47.0,-49.0,-46.0,-55.0,-47.0,-49.0,-55.0,-65.0,LoopB,False
e6:53:5c:2a:e8:e2,-49.0,-47.0,-55.0,-48.0,-44.0,-51.0,-57.0,-54.0,-52.0,-51.0,LoopB,False
e6:53:5c:2a:e8:e2,-67.0,-70.0,-60.0,-58.0,-45.0,-53.0,-49.0,-51.0,-53.0,-54.0,LoopB,False
e6:53:5c:2a:e8:e2,-53.0,-49.0,-55.0,-61.0,-61.0,-56.0,-54.0,-58.0,-51.0,-50.0,LoopB,False
e6:53:5c:2a:e8:e2,-58.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-45.0,-45.0,-45.0,LoopB,False
e6:53:5c:2a:e8:e2,-48.0,-48.0,-48.0,-48.0,-63.0,-63.0,-63.0,-63.0,-63.0,-51.0,LoopB,False
e6:53:5c:2a:e8:e2,-51.0,-51.0,-54.0,-50.0,-50.0,-50.0,-50.0,-50.0,-63.0,-60.0,LoopB,False
e6:53:5c:2a:e8:e2,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,LoopB,False
e6:53:5c:2a:e8:e2,-56.0,-52.0,-51.0,-57.0,-51.0,-55.0,-63.0,-68.0,-68.0,-60.0,LoopB,False
e6:53:5c:2a:e8:e2,-52.0,-47.0,-51.0,-53.0,-48.0,-51.0,-53.0,-50.0,-48.0,-50.0,LoopB,False
e6:53:5c:2a:e8:e2,-50.0,-50.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,LoopB,False
e6:53:5c:2a:e8:e2,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-49.0,-49.0,-49.0,LoopB,False
e6:53:5c:2a:e8:e2,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,LoopB,False
e6:53:5c:2a:e8:e2,-52.0,-52.0,-51.0,-47.0,-48.0,-39.0,-39.0,-39.0,-39.0,-39.0,LoopB,False
76:64:61:f6:e6:14,-48.0,-43.0,-51.0,-53.0,-52.0,-54.0,-55.0,-56.0,-52.0,-62.0,LoopB,False
76:64:61:f6:e6:14,-42.0,-38.0,-45.0,-44.0,-50.0,-53.0,-49.0,-53.0,-51.0,-55.0,LoopB,False
