mac,1,2,3,4,5,6,7,8,9,10,label
ea:51:ae:7f:62:fa,-45.0,-47.0,-53.0,-47.0,-42.0,-48.0,-54.0,-46.0,-40.0,-38.0,LoopA
ea:51:ae:7f:62:fa,-37.0,-35.0,-40.0,-45.0,-51.0,-51.0,-54.0,-51.0,-60.0,-58.0,LoopA
ea:51:ae:7f:62:fa,-29.0,-27.0,-52.0,-48.0,-49.0,-49.0,-49.0,-52.0,-58.0,-59.0,LoopA
ea:51:ae:7f:62:fa,-52.0,-40.0,-30.0,-42.0,-42.0,-51.0,-48.0,-50.0,-47.0,-47.0,LoopA
ea:51:ae:7f:62:fa,-34.0,-32.0,-41.0,-45.0,-42.0,-54.0,-53.0,-42.0,-52.0,-45.0,LoopA
ea:51:ae:7f:62:fa,-36.0,-33.0,-45.0,-44.0,-45.0,-45.0,-58.0,-47.0,-50.0,-58.0,LoopA
ea:51:ae:7f:62:fa,-39.0,-36.0,-42.0,-45.0,-47.0,-51.0,-57.0,-47.0,-46.0,-42.0,LoopA
ea:51:ae:7f:62:fa,-37.0,-32.0,-31.0,-45.0,-48.0,-49.0,-57.0,-50.0,-54.0,-53.0,LoopA
ea:51:ae:7f:62:fa,-44.0,-31.0,-33.0,-44.0,-45.0,-49.0,-48.0,-54.0,-54.0,-53.0,LoopA
ea:51:ae:7f:62:fa,-43.0,-35.0,-40.0,-42.0,-48.0,-47.0,-49.0,-51.0,-56.0,-52.0,LoopA
ea:51:ae:7f:62:fa,-44.0,-51.0,-47.0,-43.0,-36.0,-39.0,-61.0,-45.0,-51.0,-56.0,LoopA
ea:51:ae:7f:62:fa,-37.0,-31.0,-40.0,-60.0,-51.0,-54.0,-58.0,-57.0,-42.0,-45.0,LoopA
ea:51:ae:7f:62:fa,-35.0,-30.0,-41.0,-40.0,-47.0,-52.0,-51.0,-50.0,-55.0,-63.0,LoopA
ea:51:ae:7f:62:fa,-34.0,-31.0,-48.0,-49.0,-38.0,-48.0,-47.0,-58.0,-47.0,-49.0,LoopA
ea:51:ae:7f:62:fa,-53.0,-44.0,-52.0,-51.0,-49.0,-59.0,-48.0,-51.0,-45.0,-35.0,LoopA
ea:51:ae:7f:62:fa,-39.0,-28.0,-47.0,-41.0,-49.0,-49.0,-51.0,-47.0,-53.0,-46.0,LoopA
ea:51:ae:7f:62:fa,-44.0,-48.0,-48.0,-54.0,-56.0,-42.0,-44.0,-46.0,-58.0,-43.0,LoopA
ea:51:ae:7f:62:fa,-38.0,-27.0,-45.0,-54.0,-48.0,-58.0,-45.0,-54.0,-54.0,-52.0,LoopA
ea:51:ae:7f:62:fa,-45.0,-62.0,-48.0,-52.0,-46.0,-50.0,-54.0,-56.0,-48.0,-49.0,LoopA
ea:51:ae:7f:62:fa,-38.0,-33.0,-53.0,-50.0,-47.0,-46.0,-52.0,-52.0,-45.0,-44.0,LoopA
e6:53:5c:2a:e8:e2,-56.0,-52.0,-55.0,-52.0,-51.0,-64.0,-59.0,-55.0,-59.0,-55.0,LoopB
e6:53:5c:2a:e8:e2,-49.0,-59.0,-49.0,-57.0,-52.0,-57.0,-58.0,-66.0,-66.0,-64.0,LoopB
e6:53:5c:2a:e8:e2,-52.0,-55.0,-51.0,-49.0,-55.0,-49.0,-58.0,-52.0,-55.0,-51.0,LoopB
e6:53:5c:2a:e8:e2,-53.0,-50.0,-58.0,-67.0,-61.0,-59.0,-63.0,-62.0,-65.0,-69.0,LoopB
e6:53:5c:2a:e8:e2,-51.0,-54.0,-49.0,-52.0,-48.0,-56.0,-56.0,-50.0,-48.0,-57.0,LoopB
e6:53:5c:2a:e8:e2,-50.0,-46.0,-41.0,-57.0,-62.0,-60.0,-65.0,-70.0,-68.0,-67.0,LoopB
e6:53:5c:2a:e8:e2,-51.0,-53.0,-47.0,-45.0,-58.0,-52.0,-57.0,-58.0,-52.0,-59.0,LoopB
e6:53:5c:2a:e8:e2,-45.0,-42.0,-42.0,-41.0,-46.0,-44.0,-59.0,-43.0,-42.0,-49.0,LoopB
e6:53:5c:2a:e8:e2,-59.0,-56.0,-61.0,-48.0,-49.0,-50.0,-51.0,-50.0,-50.0,-47.0,LoopB
e6:53:5c:2a:e8:e2,-50.0,-50.0,-50.0,-49.0,-55.0,-52.0,-52.0,-52.0,-52.0,-49.0,LoopB
e6:53:5c:2a:e8:e2,-53.0,-58.0,-50.0,-49.0,-53.0,-52.0,-49.0,-54.0,-56.0,-57.0,LoopB
e6:53:5c:2a:e8:e2,-47.0,-47.0,-46.0,-53.0,-49.0,-55.0,-61.0,-57.0,-62.0,-65.0,LoopB
e6:53:5c:2a:e8:e2,-65.0,-54.0,-56.0,-46.0,-55.0,-50.0,-50.0,-54.0,-45.0,-46.0,LoopB
e6:53:5c:2a:e8:e2,-51.0,-51.0,-55.0,-53.0,-56.0,-57.0,-55.0,-48.0,-53.0,-49.0,LoopB
e6:53:5c:2a:e8:e2,-48.0,-58.0,-52.0,-53.0,-55.0,-57.0,-50.0,-52.0,-54.0,-56.0,LoopB
e6:53:5c:2a:e8:e2,-59.0,-66.0,-64.0,-70.0,-71.0,-63.0,-66.0,-65.0,-52.0,-50.0,LoopB
e6:53:5c:2a:e8:e2,-51.0,-48.0,-47.0,-49.0,-54.0,-52.0,-55.0,-52.0,-48.0,-50.0,LoopB
e6:53:5c:2a:e8:e2,-46.0,-48.0,-58.0,-56.0,-51.0,-53.0,-58.0,-47.0,-50.0,-55.0,LoopB
e6:53:5c:2a:e8:e2,-60.0,-59.0,-63.0,-61.0,-65.0,-68.0,-69.0,-62.0,-68.0,-54.0,LoopB
e6:53:5c:2a:e8:e2,-51.0,-49.0,-52.0,-50.0,-48.0,-48.0,-56.0,-49.0,-65.0,-53.0,LoopB
76:64:61:f6:e6:14,-52.0,-62.0,-56.0,-48.0,-54.0,-55.0,-46.0,-46.0,-41.0,-32.0,LoopA
76:64:61:f6:e6:14,-41.0,-42.0,-31.0,-30.0,-31.0,-35.0,-63.0,-58.0,-60.0,-55.0,LoopA
76:64:61:f6:e6:14,-43.0,-35.0,-36.0,-39.0,-29.0,-40.0,-41.0,-52.0,-54.0,-59.0,LoopA
76:64:61:f6:e6:14,-54.0,-33.0,-53.0,-46.0,-37.0,-35.0,-35.0,-39.0,-57.0,-64.0,LoopA
76:64:61:f6:e6:14,-34.0,-45.0,-37.0,-44.0,-37.0,-53.0,-51.0,-48.0,-48.0,-44.0,LoopA
76:64:61:f6:e6:14,-35.0,-44.0,-42.0,-37.0,-34.0,-35.0,-45.0,-57.0,-57.0,-55.0,LoopA
76:64:61:f6:e6:14,-37.0,-46.0,-32.0,-37.0,-27.0,-33.0,-52.0,-63.0,-50.0,-40.0,LoopA
76:64:61:f6:e6:14,-39.0,-40.0,-44.0,-30.0,-35.0,-46.0,-56.0,-56.0,-70.0,-40.0,LoopA
76:64:61:f6:e6:14,-32.0,-49.0,-50.0,-42.0,-36.0,-41.0,-40.0,-63.0,-66.0,-57.0,LoopA
76:64:61:f6:e6:14,-40.0,-36.0,-33.0,-36.0,-33.0,-42.0,-54.0,-62.0,-55.0,-47.0,LoopA
76:64:61:f6:e6:14,-36.0,-46.0,-37.0,-48.0,-33.0,-41.0,-40.0,-34.0,-36.0,-43.0,LoopA
76:64:61:f6:e6:14,-32.0,-46.0,-31.0,-36.0,-37.0,-47.0,-65.0,-59.0,-51.0,-57.0,LoopA
76:64:61:f6:e6:14,-30.0,-51.0,-35.0,-31.0,-38.0,-38.0,-44.0,-54.0,-55.0,-59.0,LoopA
76:64:61:f6:e6:14,-38.0,-39.0,-38.0,-35.0,-33.0,-31.0,-46.0,-37.0,-38.0,-48.0,LoopA
76:64:61:f6:e6:14,-39.0,-41.0,-44.0,-58.0,-60.0,-52.0,-43.0,-43.0,-37.0,-33.0,LoopA
76:64:61:f6:e6:14,-40.0,-45.0,-46.0,-32.0,-35.0,-49.0,-38.0,-38.0,-45.0,-45.0,LoopA
76:64:61:f6:e6:14,-45.0,-38.0,-49.0,-58.0,-58.0,-57.0,-56.0,-54.0,-42.0,-43.0,LoopA
76:64:61:f6:e6:14,-29.0,-55.0,-42.0,-32.0,-40.0,-29.0,-36.0,-50.0,-47.0,-56.0,LoopA
76:64:61:f6:e6:14,-32.0,-53.0,-57.0,-55.0,-53.0,-51.0,-47.0,-47.0,-43.0,-45.0,LoopA
76:64:61:f6:e6:14,-32.0,-54.0,-37.0,-35.0,-29.0,-41.0,-40.0,-40.0,-40.0,-40.0,LoopA
04:b1:67:ac:8d:65,-58.0,-57.0,-62.0,-62.0,-62.0,-60.0,-65.0,-59.0,-64.0,-66.0,LoopB
04:b1:67:ac:8d:65,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,-64.0,LoopB
