mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
04:b1:67:ac:8d:65,-54.0,-54.0,-54.0,-54.0,-53.0,-53.0,-52.0,-52.0,-52.0,-52.0,BB,True
04:b1:67:ac:8d:65,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,BB,True
04:b1:67:ac:8d:65,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,BB,True
04:b1:67:ac:8d:65,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,BB,True
04:b1:67:ac:8d:65,-52.0,-52.0,-57.0,-57.0,-57.0,-57.0,-49.0,-49.0,-49.0,-49.0,BB,True
04:b1:67:ac:8d:65,-64.0,-64.0,-64.0,-64.0,-64.0,-66.0,-59.0,-59.0,-59.0,-59.0,BB,True
04:b1:67:ac:8d:65,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-54.0,-54.0,-54.0,BB,True
04:b1:67:ac:8d:65,-54.0,-54.0,-54.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,BB,True
04:b1:67:ac:8d:65,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,BB,True
04:b1:67:ac:8d:65,-54.0,-54.0,-54.0,-56.0,-56.0,-57.0,-57.0,-57.0,-57.0,-57.0,BB,True
04:b1:67:ac:8d:65,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,BB,True
04:b1:67:ac:8d:65,-51.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,BB,True
04:b1:67:ac:8d:65,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,BB,True
04:b1:67:ac:8d:65,-51.0,-51.0,-52.0,-52.0,-52.0,-52.0,-52.0,-48.0,-48.0,-49.0,BB,True
04:b1:67:ac:8d:65,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,BB,True
04:b1:67:ac:8d:65,-49.0,-54.0,-51.0,-53.0,-53.0,-55.0,-55.0,-55.0,-55.0,-55.0,BB,True
04:b1:67:ac:8d:65,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,BB,True
04:b1:67:ac:8d:65,-55.0,-55.0,-62.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-62.0,BB,True
04:b1:67:ac:8d:65,-62.0,-62.0,-62.0,-62.0,-62.0,-62.0,-43.0,-46.0,-46.0,-46.0,BB,True
04:b1:67:ac:8d:65,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-52.0,-50.0,BB,True
