mac,1,2,3,4,5,6,7,8,9,10,label,noise
4e:9a:ff:cd:da:f3,-39.0,-37.0,-40.0,-43.0,-43.0,-41.0,-40.0,-41.0,-41.0,-40.0,AA,True
4e:9a:ff:cd:da:f3,-42.0,-43.0,-44.0,-45.0,-44.0,-45.0,-46.0,-44.0,-44.0,-45.0,AA,True
4e:9a:ff:cd:da:f3,-48.0,-49.0,-48.0,-50.0,-48.0,-49.0,-45.0,-42.0,-42.0,-39.0,AA,True
4e:9a:ff:cd:da:f3,-42.0,-46.0,-42.0,-42.0,-41.0,-42.0,-42.0,-41.0,-43.0,-40.0,AA,True
4e:9a:ff:cd:da:f3,-43.0,-44.0,-41.0,-41.0,-44.0,-44.0,-40.0,-42.0,-39.0,-39.0,AA,True
4e:9a:ff:cd:da:f3,-43.0,-45.0,-48.0,-46.0,-47.0,-44.0,-41.0,-41.0,-41.0,-41.0,AA,True
4e:9a:ff:cd:da:f3,-41.0,-45.0,-45.0,-43.0,-41.0,-42.0,-41.0,-40.0,-41.0,-39.0,AA,True
4e:9a:ff:cd:da:f3,-44.0,-42.0,-45.0,-44.0,-42.0,-44.0,-45.0,-43.0,-45.0,-41.0,AA,True
4e:9a:ff:cd:da:f3,-49.0,-48.0,-49.0,-40.0,-39.0,-39.0,-39.0,-42.0,-40.0,-39.0,AA,True
4e:9a:ff:cd:da:f3,-42.0,-43.0,-41.0,-43.0,-46.0,-43.0,-43.0,-43.0,-43.0,-41.0,AA,True
4e:9a:ff:cd:da:f3,-49.0,-45.0,-51.0,-50.0,-48.0,-52.0,-45.0,-39.0,-41.0,-45.0,AA,True
4e:9a:ff:cd:da:f3,-42.0,-47.0,-51.0,-47.0,-46.0,-49.0,-45.0,-48.0,-48.0,-40.0,AA,True
4e:9a:ff:cd:da:f3,-48.0,-49.0,-46.0,-46.0,-50.0,-50.0,-45.0,-42.0,-42.0,-41.0,AA,True
4e:9a:ff:cd:da:f3,-48.0,-49.0,-45.0,-48.0,-44.0,-49.0,-47.0,-50.0,-51.0,-44.0,AA,True
4e:9a:ff:cd:da:f3,-45.0,-50.0,-46.0,-46.0,-46.0,-46.0,-45.0,-49.0,-45.0,-46.0,AA,True
4e:9a:ff:cd:da:f3,-48.0,-48.0,-45.0,-47.0,-44.0,-47.0,-44.0,-49.0,-48.0,-44.0,AA,True
4e:9a:ff:cd:da:f3,-42.0,-41.0,-42.0,-44.0,-43.0,-43.0,-42.0,-42.0,-43.0,-44.0,AA,True
4e:9a:ff:cd:da:f3,-53.0,-44.0,-46.0,-49.0,-44.0,-41.0,-43.0,-46.0,-42.0,-42.0,AA,True
4e:9a:ff:cd:da:f3,-48.0,-46.0,-46.0,-47.0,-45.0,-44.0,-45.0,-43.0,-45.0,-48.0,AA,True
4e:9a:ff:cd:da:f3,-42.0,-45.0,-41.0,-45.0,-45.0,-46.0,-44.0,-49.0,-45.0,-44.0,AA,True
4e:9a:ff:cd:da:f3,-40.0,-46.0,-48.0,-45.0,-46.0,-48.0,-47.0,-44.0,-45.0,-45.0,AA,True
4e:9a:ff:cd:da:f3,-49.0,-51.0,-50.0,-47.0,-48.0,-47.0,-46.0,-50.0,-46.0,-42.0,AA,True
4e:9a:ff:cd:da:f3,-42.0,-41.0,-43.0,-46.0,-44.0,-43.0,-41.0,-41.0,-42.0,-43.0,AA,True
4e:9a:ff:cd:da:f3,-47.0,-50.0,-47.0,-48.0,-47.0,-49.0,-46.0,-48.0,-50.0,-47.0,AA,True
4e:9a:ff:cd:da:f3,-47.0,-51.0,-46.0,-47.0,-48.0,-48.0,-44.0,-40.0,-40.0,-43.0,AA,True
