mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
04:b1:67:ac:8d:65,-34.0,-35.0,-33.0,-35.0,-34.0,-32.0,-34.0,-34.0,-32.0,-32.0,AA,True
04:b1:67:ac:8d:65,-39.0,-39.0,-39.0,-39.0,-39.0,-34.0,-34.0,-34.0,-34.0,-35.0,AA,True
04:b1:67:ac:8d:65,-31.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,AA,True
04:b1:67:ac:8d:65,-33.0,-33.0,-33.0,-33.0,-33.0,-36.0,-36.0,-36.0,-36.0,-36.0,AA,True
04:b1:67:ac:8d:65,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,AA,True
04:b1:67:ac:8d:65,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,-34.0,-34.0,-34.0,-34.0,AA,True
04:b1:67:ac:8d:65,-42.0,-42.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,AA,True
04:b1:67:ac:8d:65,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-34.0,-35.0,-35.0,-35.0,AA,True
04:b1:67:ac:8d:65,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-33.0,-33.0,-33.0,AA,True
04:b1:67:ac:8d:65,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,AA,True
04:b1:67:ac:8d:65,-34.0,-35.0,-35.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,AA,True
04:b1:67:ac:8d:65,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-32.0,-32.0,-32.0,-32.0,AA,True
04:b1:67:ac:8d:65,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,AA,True
04:b1:67:ac:8d:65,-33.0,-34.0,-34.0,-34.0,-34.0,-33.0,-33.0,-33.0,-33.0,-33.0,AA,True
04:b1:67:ac:8d:65,-33.0,-37.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,AA,True
04:b1:67:ac:8d:65,-33.0,-34.0,-34.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-37.0,AA,True
04:b1:67:ac:8d:65,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,AA,True
04:b1:67:ac:8d:65,-43.0,-40.0,-40.0,-38.0,-38.0,-50.0,-50.0,-50.0,-50.0,-50.0,AA,True
04:b1:67:ac:8d:65,-40.0,-40.0,-40.0,-36.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,AA,True
04:b1:67:ac:8d:65,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-33.0,-35.0,AA,True
e6:53:5c:2a:e8:e2,-45.0,-43.0,-47.0,-50.0,-47.0,-39.0,-51.0,-42.0,-42.0,-43.0,AA,True
e6:53:5c:2a:e8:e2,-47.0,-38.0,-37.0,-42.0,-37.0,-37.0,-46.0,-38.0,-55.0,-46.0,AA,True
e6:53:5c:2a:e8:e2,-43.0,-43.0,-48.0,-49.0,-45.0,-43.0,-51.0,-40.0,-48.0,-40.0,AA,True
e6:53:5c:2a:e8:e2,-35.0,-41.0,-54.0,-44.0,-36.0,-38.0,-39.0,-40.0,-38.0,-42.0,AA,True
e6:53:5c:2a:e8:e2,-44.0,-47.0,-45.0,-51.0,-50.0,-57.0,-57.0,-58.0,-60.0,-53.0,AA,True
e6:53:5c:2a:e8:e2,-40.0,-46.0,-44.0,-47.0,-51.0,-49.0,-47.0,-47.0,-37.0,-41.0,AA,True
