mac,1,2,3,4,5,6,7,8,9,10,label,noise
4a:ff:61:0a:f6:20,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-31.0,-31.0,AA,True
4a:ff:61:0a:f6:20,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,AA,True
4a:ff:61:0a:f6:20,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-32.0,-32.0,-32.0,AA,True
4a:ff:61:0a:f6:20,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-29.0,-31.0,-31.0,-31.0,AA,True
4a:ff:61:0a:f6:20,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,AA,True
4a:ff:61:0a:f6:20,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,AA,True
4a:ff:61:0a:f6:20,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,AA,True
4a:ff:61:0a:f6:20,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,AA,True
4a:ff:61:0a:f6:20,-40.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,AA,True
4a:ff:61:0a:f6:20,-33.0,-33.0,-33.0,-33.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,AA,True
4a:ff:61:0a:f6:20,-58.0,-58.0,-58.0,-58.0,-31.0,-37.0,-35.0,-35.0,-35.0,-35.0,AA,True
4a:ff:61:0a:f6:20,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,-44.0,AA,True
4a:ff:61:0a:f6:20,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,AA,True
4a:ff:61:0a:f6:20,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,AA,True
4a:ff:61:0a:f6:20,-46.0,-46.0,-46.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,AA,True
4a:ff:61:0a:f6:20,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-26.0,-26.0,-26.0,AA,True
4a:ff:61:0a:f6:20,-43.0,-43.0,-43.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,AA,True
4a:ff:61:0a:f6:20,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-38.0,AA,True
4a:ff:61:0a:f6:20,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,AA,True
4a:ff:61:0a:f6:20,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,-67.0,AA,True
4a:ff:61:0a:f6:20,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,AA,True
4a:ff:61:0a:f6:20,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,AA,True
4a:ff:61:0a:f6:20,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,AA,True
4a:ff:61:0a:f6:20,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-48.0,-48.0,-48.0,-48.0,AA,True
4a:ff:61:0a:f6:20,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,AA,True
4a:ff:61:0a:f6:20,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,AA,True
4a:ff:61:0a:f6:20,-33.0,-42.0,-42.0,-42.0,-42.0,-33.0,-33.0,-33.0,-33.0,-33.0,AA,True
4a:ff:61:0a:f6:20,-33.0,-33.0,-33.0,-33.0,-35.0,-32.0,-32.0,-32.0,-32.0,-39.0,AA,True
4a:ff:61:0a:f6:20,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,AA,True
4a:ff:61:0a:f6:20,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,AA,True
e6:53:5c:2a:e8:e2,-44.0,-44.0,-31.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,AA,True
e6:53:5c:2a:e8:e2,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,AA,True
