mac,1,2,3,4,5,6,7,8,9,10,label
e6:53:5c:2a:e8:e2,-62.0,-53.0,-44.0,-41.0,-43.0,-49.0,-41.0,-42.0,-38.0,-37.0,BA
e6:53:5c:2a:e8:e2,-60.0,-53.0,-56.0,-47.0,-35.0,-55.0,-45.0,-38.0,-41.0,-40.0,BA
e6:53:5c:2a:e8:e2,-49.0,-55.0,-53.0,-57.0,-40.0,-49.0,-52.0,-51.0,-37.0,-32.0,BA
e6:53:5c:2a:e8:e2,-51.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,BA
e6:53:5c:2a:e8:e2,-55.0,-56.0,-57.0,-41.0,-39.0,-56.0,-53.0,-54.0,-42.0,-37.0,BA
e6:53:5c:2a:e8:e2,-56.0,-55.0,-55.0,-59.0,-41.0,-49.0,-57.0,-53.0,-44.0,-38.0,BA
e6:53:5c:2a:e8:e2,-58.0,-53.0,-50.0,-40.0,-47.0,-55.0,-49.0,-57.0,-49.0,-39.0,BA
e6:53:5c:2a:e8:e2,-56.0,-57.0,-57.0,-53.0,-47.0,-56.0,-52.0,-58.0,-59.0,-34.0,BA
e6:53:5c:2a:e8:e2,-55.0,-49.0,-49.0,-39.0,-38.0,-55.0,-55.0,-51.0,-47.0,-44.0,BA
e6:53:5c:2a:e8:e2,-56.0,-52.0,-51.0,-52.0,-42.0,-44.0,-58.0,-56.0,-34.0,-40.0,BA
e6:53:5c:2a:e8:e2,-57.0,-52.0,-52.0,-48.0,-40.0,-47.0,-48.0,-54.0,-38.0,-39.0,BA
e6:53:5c:2a:e8:e2,-52.0,-52.0,-48.0,-54.0,-39.0,-54.0,-53.0,-60.0,-35.0,-36.0,BA
e6:53:5c:2a:e8:e2,-55.0,-56.0,-45.0,-41.0,-47.0,-51.0,-50.0,-56.0,-45.0,-38.0,BA
e6:53:5c:2a:e8:e2,-53.0,-54.0,-48.0,-53.0,-42.0,-38.0,-52.0,-56.0,-40.0,-41.0,BA
e6:53:5c:2a:e8:e2,-54.0,-53.0,-53.0,-59.0,-46.0,-35.0,-51.0,-60.0,-37.0,-37.0,BA
e6:53:5c:2a:e8:e2,-51.0,-53.0,-52.0,-57.0,-42.0,-41.0,-52.0,-50.0,-32.0,-41.0,BA
e6:53:5c:2a:e8:e2,-53.0,-55.0,-52.0,-49.0,-55.0,-40.0,-36.0,-50.0,-37.0,-42.0,BA
e6:53:5c:2a:e8:e2,-57.0,-52.0,-46.0,-56.0,-44.0,-44.0,-57.0,-52.0,-51.0,-36.0,BA
e6:53:5c:2a:e8:e2,-53.0,-52.0,-47.0,-54.0,-44.0,-49.0,-57.0,-50.0,-49.0,-33.0,BA
e6:53:5c:2a:e8:e2,-59.0,-68.0,-52.0,-49.0,-52.0,-41.0,-51.0,-51.0,-53.0,-38.0,BA
ea:51:ae:7f:62:fa,-38.0,-38.0,-38.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,-24.0,AB
ea:51:ae:7f:62:fa,-49.0,-49.0,-49.0,-49.0,-49.0,-62.0,-62.0,-62.0,-62.0,-62.0,AB
ea:51:ae:7f:62:fa,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,AB
ea:51:ae:7f:62:fa,-38.0,-38.0,-38.0,-38.0,-38.0,-56.0,-56.0,-56.0,-56.0,-56.0,AB
ea:51:ae:7f:62:fa,-37.0,-41.0,-35.0,-51.0,-57.0,-66.0,-62.0,-63.0,-64.0,-59.5,AB
ea:51:ae:7f:62:fa,-33.0,-28.0,-23.0,-33.0,-48.0,-56.0,-63.0,-56.0,-48.0,-41.0,AB
ea:51:ae:7f:62:fa,-37.5,-42.0,-39.0,-33.0,-52.0,-53.0,-63.0,-66.0,-59.0,-53.0,AB
ea:51:ae:7f:62:fa,-42.0,-46.0,-42.0,-36.0,-44.0,-60.0,-60.0,-63.0,-67.0,-68.0,AB
ea:51:ae:7f:62:fa,-39.0,-40.0,-44.0,-39.0,-57.0,-62.0,-61.0,-64.5,-64.5,-51.0,AB
ea:51:ae:7f:62:fa,-36.0,-34.0,-22.0,-41.0,-52.0,-59.0,-56.0,-56.0,-52.0,-51.0,AB
ea:51:ae:7f:62:fa,-44.0,-37.0,-48.0,-33.0,-46.0,-57.0,-58.0,-64.0,-58.0,-61.0,AB
ea:51:ae:7f:62:fa,-44.0,-41.0,-30.0,-56.0,-52.0,-63.0,-61.0,-59.5,-56.0,-49.0,AB
ea:51:ae:7f:62:fa,-39.0,-31.0,-19.0,-50.0,-49.0,-55.0,-56.0,-59.0,-59.0,-48.0,AB
ea:51:ae:7f:62:fa,-45.0,-39.0,-40.0,-43.0,-41.0,-60.0,-62.0,-68.0,-60.0,-54.0,AB
ea:51:ae:7f:62:fa,-48.0,-39.0,-35.0,-25.0,-47.0,-57.0,-61.0,-59.0,-67.0,-65.0,AB
ea:51:ae:7f:62:fa,-34.0,-48.0,-39.0,-51.0,-44.0,-54.0,-60.0,-65.0,-63.0,-55.0,AB
ea:51:ae:7f:62:fa,-33.0,-45.0,-39.0,-36.0,-46.0,-41.0,-63.0,-66.0,-60.0,-55.0,AB
ea:51:ae:7f:62:fa,-35.0,-39.0,-32.0,-36.0,-62.0,-63.0,-63.0,-56.0,-60.0,-54.0,AB
