mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
04:b1:67:ac:8d:65,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,BA,True
04:b1:67:ac:8d:65,-44.0,-44.0,-44.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,BA,True
04:b1:67:ac:8d:65,-55.0,-55.0,-55.0,-53.0,-55.0,-55.0,-55.0,-38.0,-38.0,-38.0,BA,True
04:b1:67:ac:8d:65,-59.0,-59.0,-52.0,-52.0,-52.0,-52.0,-52.0,-35.0,-35.0,-35.0,BA,True
04:b1:67:ac:8d:65,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,BA,True
04:b1:67:ac:8d:65,-38.0,-51.0,-58.0,-58.0,-58.0,-44.0,-44.0,-44.0,-44.0,-32.0,BA,True
04:b1:67:ac:8d:65,-60.0,-60.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,BA,True
04:b1:67:ac:8d:65,-34.0,-34.0,-52.0,-52.0,-52.0,-52.0,-30.0,-41.0,-41.0,-41.0,BA,True
04:b1:67:ac:8d:65,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,BA,True
04:b1:67:ac:8d:65,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,BA,True
04:b1:67:ac:8d:65,-31.0,-31.0,-31.0,-60.0,-60.0,-37.0,-37.0,-35.0,-35.0,-35.0,BA,True
04:b1:67:ac:8d:65,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,BA,True
04:b1:67:ac:8d:65,-52.0,-52.0,-52.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,BA,True
04:b1:67:ac:8d:65,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-34.0,-34.0,BA,True
04:b1:67:ac:8d:65,-32.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,BA,True
04:b1:67:ac:8d:65,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,-42.0,-42.0,BA,True
04:b1:67:ac:8d:65,-54.0,-54.0,-50.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,BA,True
04:b1:67:ac:8d:65,-50.0,-48.0,-48.0,-48.0,-48.0,-48.0,-32.0,-32.0,-32.0,-32.0,BA,True
04:b1:67:ac:8d:65,-49.0,-55.0,-48.0,-57.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,BA,True
04:b1:67:ac:8d:65,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,BA,True
04:b1:67:ac:8d:65,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-39.0,-42.0,-45.0,BA,True
04:b1:67:ac:8d:65,-59.0,-59.0,-59.0,-59.0,-59.0,-59.0,-29.0,-29.0,-29.0,-29.0,BA,True
04:b1:67:ac:8d:65,-36.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,BA,True
