mac,1,2,3,4,5,6,7,8,9,10,label,noise
4e:9a:ff:cd:da:f3,-39.0,-40.0,-39.0,-43.0,-51.0,-55.0,-60.0,-53.0,-46.0,-48.0,AB,True
4e:9a:ff:cd:da:f3,-37.0,-38.0,-36.0,-43.0,-58.0,-50.0,-51.0,-47.0,-43.0,-47.0,AB,True
4e:9a:ff:cd:da:f3,-38.0,-38.0,-36.0,-36.0,-52.0,-53.0,-52.0,-51.0,-49.0,-50.0,AB,True
4e:9a:ff:cd:da:f3,-39.0,-39.0,-36.0,-45.0,-50.0,-54.0,-57.0,-55.0,-50.0,-49.0,AB,True
4e:9a:ff:cd:da:f3,-39.0,-41.0,-37.0,-43.0,-51.0,-53.0,-63.0,-54.0,-51.0,-50.0,AB,True
4e:9a:ff:cd:da:f3,-39.0,-43.0,-41.0,-33.0,-51.0,-54.0,-52.0,-52.0,-57.0,-53.0,AB,True
4e:9a:ff:cd:da:f3,-39.0,-38.0,-39.0,-41.0,-58.0,-60.0,-50.0,-53.0,-49.0,-52.0,AB,True
4e:9a:ff:cd:da:f3,-40.0,-46.0,-39.0,-35.0,-46.0,-51.0,-61.0,-52.0,-53.0,-51.0,AB,True
4e:9a:ff:cd:da:f3,-40.0,-36.0,-41.0,-39.0,-57.0,-55.0,-57.0,-48.0,-57.0,-51.0,AB,True
4e:9a:ff:cd:da:f3,-44.0,-37.0,-40.0,-37.0,-62.0,-53.0,-54.0,-46.0,-50.0,-51.0,AB,True
4e:9a:ff:cd:da:f3,-38.0,-36.0,-47.0,-48.0,-53.0,-53.0,-56.0,-57.0,-52.0,-45.0,AB,True
4e:9a:ff:cd:da:f3,-41.0,-39.0,-38.0,-39.0,-44.0,-54.0,-54.0,-55.0,-52.0,-52.0,AB,True
4e:9a:ff:cd:da:f3,-40.0,-39.0,-39.0,-55.0,-54.0,-46.0,-50.0,-48.0,-49.0,-50.0,AB,True
4e:9a:ff:cd:da:f3,-43.0,-42.0,-34.0,-52.0,-55.0,-56.0,-53.0,-49.0,-55.0,-49.0,AB,True
4e:9a:ff:cd:da:f3,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-60.0,-60.0,-46.0,-46.0,AB,True
4e:9a:ff:cd:da:f3,-38.0,-39.0,-41.0,-36.0,-45.0,-63.0,-61.0,-59.0,-55.0,-46.0,AB,True
4e:9a:ff:cd:da:f3,-44.0,-38.0,-33.0,-50.0,-62.0,-59.0,-59.0,-49.0,-53.0,-44.0,AB,True
4e:9a:ff:cd:da:f3,-39.0,-40.0,-35.0,-60.0,-53.0,-50.0,-56.0,-54.0,-48.0,-47.0,AB,True
4e:9a:ff:cd:da:f3,-38.0,-38.0,-35.0,-51.0,-58.0,-56.0,-58.0,-49.0,-46.0,-52.0,AB,True
4e:9a:ff:cd:da:f3,-38.0,-41.0,-36.0,-46.0,-54.0,-61.0,-47.0,-49.0,-52.0,-49.0,AB,True
4e:9a:ff:cd:da:f3,-39.0,-39.0,-37.0,-47.0,-47.0,-53.0,-56.0,-47.0,-48.0,-47.0,AB,True
4e:9a:ff:cd:da:f3,-37.0,-41.0,-34.0,-47.0,-52.0,-47.0,-47.0,-50.0,-49.0,-51.0,AB,True
4e:9a:ff:cd:da:f3,-40.0,-44.0,-36.0,-47.0,-52.0,-55.0,-50.0,-55.0,-49.0,-50.0,AB,True
4e:9a:ff:cd:da:f3,-42.0,-42.0,-39.0,-54.0,-51.0,-52.0,-58.0,-52.0,-42.0,-53.0,AB,True
4e:9a:ff:cd:da:f3,-39.0,-45.0,-37.0,-52.0,-53.0,-59.0,-53.0,-48.0,-47.0,-47.0,AB,True
4e:9a:ff:cd:da:f3,-38.0,-35.0,-31.0,-50.0,-54.0,-52.0,-60.0,-56.0,-56.0,-54.0,AB,True
4e:9a:ff:cd:da:f3,-38.0,-38.0,-36.0,-46.0,-52.0,-56.0,-45.0,-52.0,-48.0,-52.0,AB,True
4e:9a:ff:cd:da:f3,-38.0,-37.0,-36.0,-46.0,-54.0,-49.0,-51.0,-49.0,-55.0,-47.0,AB,True
4e:9a:ff:cd:da:f3,-41.0,-37.0,-40.0,-48.0,-50.0,-56.0,-51.0,-57.0,-49.0,-47.0,AB,True
4e:9a:ff:cd:da:f3,-40.0,-37.0,-34.0,-51.0,-53.0,-57.0,-49.0,-48.0,-44.0,-55.0,AB,True
04:b1:67:ac:8d:65,-56.0,-49.0,-39.0,-47.0,-41.0,-49.0,-45.0,-49.0,-49.0,-44.0,BA,True
04:b1:67:ac:8d:65,-40.0,-46.0,-47.0,-47.0,-54.0,-38.0,-50.0,-40.0,-47.0,-57.0,BA,True
04:b1:67:ac:8d:65,-50.0,-48.0,-46.0,-40.0,-49.0,-49.0,-44.0,-45.0,-45.0,-47.0,BA,True
04:b1:67:ac:8d:65,-44.0,-54.0,-43.0,-49.0,-44.0,-33.0,-42.0,-41.0,-45.0,-41.0,BA,True
04:b1:67:ac:8d:65,-49.0,-47.0,-51.0,-52.0,-38.0,-44.0,-43.0,-51.0,-42.0,-52.0,BA,True
04:b1:67:ac:8d:65,-52.0,-49.0,-49.0,-48.0,-49.0,-38.0,-43.0,-47.0,-48.0,-45.0,BA,True
04:b1:67:ac:8d:65,-51.0,-49.0,-47.0,-51.0,-55.0,-45.0,-48.0,-42.0,-47.0,-50.0,BA,True
04:b1:67:ac:8d:65,-44.0,-43.0,-53.0,-44.0,-47.0,-39.0,-56.0,-46.0,-46.0,-52.0,BA,True
04:b1:67:ac:8d:65,-54.0,-53.0,-44.0,-44.0,-43.0,-38.0,-36.0,-50.0,-40.0,-45.0,BA,True
04:b1:67:ac:8d:65,-44.0,-43.0,-43.0,-43.0,-50.0,-36.0,-48.0,-46.0,-41.0,-46.0,BA,True
04:b1:67:ac:8d:65,-50.0,-46.0,-41.0,-52.0,-50.0,-41.0,-44.0,-47.0,-45.0,-48.0,BA,True
04:b1:67:ac:8d:65,-54.0,-54.0,-47.0,-45.0,-42.0,-58.0,-42.0,-52.0,-47.0,-48.0,BA,True
04:b1:67:ac:8d:65,-46.0,-44.0,-40.0,-40.0,-43.0,-37.0,-54.0,-44.0,-44.0,-46.0,BA,True
04:b1:67:ac:8d:65,-44.0,-57.0,-46.0,-41.0,-43.0,-41.0,-42.0,-50.0,-45.0,-40.0,BA,True
04:b1:67:ac:8d:65,-49.0,-47.0,-52.0,-39.0,-30.0,-43.0,-51.0,-40.0,-44.0,-46.0,BA,True
04:b1:67:ac:8d:65,-47.0,-47.0,-37.0,-49.0,-33.0,-48.0,-51.0,-46.0,-47.0,-43.0,BA,True
04:b1:67:ac:8d:65,-60.0,-51.0,-45.0,-61.0,-37.0,-48.0,-43.0,-47.0,-52.0,-41.0,BA,True
