mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
76:64:61:f6:e6:14,-43.0,-45.0,-47.0,-40.0,-37.0,-46.0,-43.0,-42.0,-34.0,-38.0,BA,True
76:64:61:f6:e6:14,-53.0,-48.0,-47.0,-50.0,-43.0,-42.0,-40.0,-34.0,-39.0,-38.0,BA,True
76:64:61:f6:e6:14,-51.0,-45.0,-50.0,-43.0,-44.0,-44.0,-39.0,-43.0,-50.0,-37.0,BA,True
76:64:61:f6:e6:14,-45.0,-43.0,-45.0,-43.0,-47.0,-40.0,-41.0,-34.0,-40.0,-43.0,BA,True
76:64:61:f6:e6:14,-47.0,-49.0,-44.0,-46.0,-44.0,-41.0,-37.0,-45.0,-41.0,-40.0,BA,True
76:64:61:f6:e6:14,-52.0,-46.0,-46.0,-42.0,-41.0,-41.0,-42.0,-36.0,-38.0,-38.0,BA,True
76:64:61:f6:e6:14,-52.0,-47.0,-44.0,-39.0,-44.0,-40.0,-41.0,-43.0,-47.0,-42.0,BA,True
76:64:61:f6:e6:14,-47.0,-43.0,-45.0,-42.0,-39.0,-41.0,-40.0,-52.0,-38.0,-43.0,BA,True
76:64:61:f6:e6:14,-47.0,-44.0,-39.0,-44.0,-39.0,-46.0,-50.0,-43.0,-39.0,-38.0,BA,True
76:64:61:f6:e6:14,-48.0,-51.0,-44.0,-42.0,-42.0,-46.0,-40.0,-45.0,-38.0,-44.0,BA,True
76:64:61:f6:e6:14,-49.0,-47.0,-46.0,-49.0,-41.0,-44.0,-41.0,-43.0,-35.0,-35.0,BA,True
76:64:61:f6:e6:14,-47.0,-46.0,-45.0,-41.0,-42.0,-38.0,-39.0,-44.0,-41.0,-37.0,BA,True
76:64:61:f6:e6:14,-56.0,-46.0,-41.0,-45.0,-41.0,-42.0,-41.0,-38.0,-50.0,-43.0,BA,True
76:64:61:f6:e6:14,-49.0,-48.0,-43.0,-47.0,-40.0,-39.0,-38.0,-37.0,-48.0,-40.0,BA,True
76:64:61:f6:e6:14,-45.0,-45.0,-49.0,-47.0,-42.0,-33.0,-44.0,-50.0,-40.0,-39.0,BA,True
