mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
04:b1:67:ac:8d:65,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-41.0,-41.0,-41.0,-41.0,AA,True
04:b1:67:ac:8d:65,-49.0,-36.0,-36.0,-38.0,-38.0,-36.0,-37.0,-38.0,-41.0,-36.0,AA,True
04:b1:67:ac:8d:65,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,AA,True
04:b1:67:ac:8d:65,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-37.0,-34.0,-36.0,-32.0,AA,True
04:b1:67:ac:8d:65,-34.0,-34.0,-34.0,-34.0,-34.0,-30.0,-30.0,-30.0,-30.0,-30.0,AA,True
04:b1:67:ac:8d:65,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,-30.0,AA,True
04:b1:67:ac:8d:65,-30.0,-34.0,-34.0,-34.0,-34.0,-36.0,-36.0,-36.0,-36.0,-36.0,AA,True
04:b1:67:ac:8d:65,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,AA,True
04:b1:67:ac:8d:65,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,AA,True
04:b1:67:ac:8d:65,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-39.0,AA,True
04:b1:67:ac:8d:65,-39.0,-35.0,-35.0,-35.0,-35.0,-35.0,-38.0,-38.0,-38.0,-38.0,AA,True
04:b1:67:ac:8d:65,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-35.0,-35.0,AA,True
04:b1:67:ac:8d:65,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,AA,True
04:b1:67:ac:8d:65,-37.0,-39.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,AA,True
04:b1:67:ac:8d:65,-34.0,-34.0,-34.0,-48.0,-48.0,-48.0,-48.0,-38.0,-38.0,-38.0,AA,True
04:b1:67:ac:8d:65,-38.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,AA,True
04:b1:67:ac:8d:65,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,AA,True
04:b1:67:ac:8d:65,-33.0,-33.0,-33.0,-33.0,-38.0,-39.0,-38.0,-38.0,-40.0,-36.0,AA,True
04:b1:67:ac:8d:65,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,AA,True
04:b1:67:ac:8d:65,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,AA,True
04:b1:67:ac:8d:65,-34.0,-35.0,-35.0,-35.0,-34.0,-35.0,-35.0,-35.0,-35.0,-39.0,AA,True
04:b1:67:ac:8d:65,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,AA,True
04:b1:67:ac:8d:65,-39.0,-39.0,-39.0,-39.0,-36.0,-36.0,-36.0,-36.0,-36.0,-36.0,AA,True
04:b1:67:ac:8d:65,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,-32.0,AA,True
04:b1:67:ac:8d:65,-51.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-41.0,-41.0,AA,True
04:b1:67:ac:8d:65,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,AA,True
04:b1:67:ac:8d:65,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,AA,True
04:b1:67:ac:8d:65,-41.0,-41.0,-35.0,-35.0,-35.0,-35.0,-35.0,-44.0,-33.0,-33.0,AA,True
04:b1:67:ac:8d:65,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,AA,True
76:64:61:f6:e6:14,-50.0,-50.0,-44.0,-45.0,-41.0,-40.0,-37.0,-49.0,-50.0,-39.0,BA,True
76:64:61:f6:e6:14,-51.0,-47.0,-44.0,-41.0,-39.0,-29.0,-26.0,-27.0,-29.0,-34.0,BA,True
76:64:61:f6:e6:14,-51.0,-43.0,-48.0,-46.0,-41.0,-37.0,-34.0,-45.0,-33.0,-40.0,BA,True
76:64:61:f6:e6:14,-60.0,-46.0,-43.0,-49.0,-43.0,-37.0,-42.0,-35.0,-37.0,-36.0,BA,True
76:64:61:f6:e6:14,-51.0,-45.0,-44.0,-44.0,-45.0,-41.0,-34.0,-35.0,-38.0,-37.0,BA,True
76:64:61:f6:e6:14,-46.0,-43.0,-45.0,-43.0,-41.0,-44.0,-44.0,-35.0,-40.0,-38.0,BA,True
76:64:61:f6:e6:14,-54.0,-50.0,-46.0,-48.0,-41.0,-39.0,-36.0,-43.0,-31.0,-36.0,BA,True
76:64:61:f6:e6:14,-50.0,-48.0,-43.0,-44.0,-41.0,-36.0,-36.0,-38.0,-39.0,-38.0,BA,True
76:64:61:f6:e6:14,-61.0,-47.0,-47.0,-43.0,-43.0,-41.0,-38.0,-35.0,-39.0,-33.0,BA,True
76:64:61:f6:e6:14,-49.0,-42.0,-48.0,-43.0,-35.0,-36.0,-44.0,-38.0,-38.0,-37.0,BA,True
76:64:61:f6:e6:14,-48.0,-51.0,-44.0,-45.0,-43.0,-37.0,-38.0,-34.0,-32.0,-38.0,BA,True
76:64:61:f6:e6:14,-45.0,-48.0,-50.0,-48.0,-36.0,-36.0,-40.0,-43.0,-34.0,-34.0,BA,True
76:64:61:f6:e6:14,-51.0,-50.0,-48.0,-44.0,-43.0,-40.0,-36.0,-41.0,-43.0,-43.0,BA,True
