mac,1,2,3,4,5,6,7,8,9,10,label,noise
4e:9a:ff:cd:da:f3,-45.0,-48.0,-43.0,-37.0,-40.0,-48.0,-51.0,-46.0,-37.0,-39.0,BA,True
4e:9a:ff:cd:da:f3,-50.0,-46.0,-47.0,-44.0,-42.0,-39.0,-44.0,-52.0,-47.0,-43.0,BA,True
4e:9a:ff:cd:da:f3,-44.0,-47.0,-48.0,-44.0,-39.0,-38.0,-49.0,-53.0,-51.0,-43.0,BA,True
4e:9a:ff:cd:da:f3,-47.0,-49.0,-49.0,-42.0,-38.0,-50.0,-50.0,-51.0,-41.0,-37.0,BA,True
4e:9a:ff:cd:da:f3,-47.0,-46.0,-44.0,-45.0,-43.0,-37.0,-46.0,-45.0,-50.0,-45.0,BA,True
4e:9a:ff:cd:da:f3,-53.0,-45.0,-42.0,-43.0,-40.0,-35.0,-44.0,-46.0,-49.0,-46.0,BA,True
4e:9a:ff:cd:da:f3,-48.0,-46.0,-41.0,-46.0,-43.0,-48.0,-48.0,-47.0,-48.0,-43.0,BA,True
4e:9a:ff:cd:da:f3,-45.0,-47.0,-44.0,-51.0,-42.0,-35.0,-39.0,-45.0,-47.0,-41.0,BA,True
4e:9a:ff:cd:da:f3,-45.0,-50.0,-46.0,-43.0,-35.0,-33.0,-41.0,-43.0,-43.0,-45.0,BA,True
4e:9a:ff:cd:da:f3,-50.0,-52.0,-48.0,-48.0,-43.0,-40.0,-41.0,-42.0,-48.0,-48.0,BA,True
4e:9a:ff:cd:da:f3,-53.0,-49.0,-49.0,-41.0,-40.0,-49.0,-54.0,-50.0,-52.0,-44.0,BA,True
4e:9a:ff:cd:da:f3,-45.0,-42.0,-49.0,-40.0,-41.0,-49.0,-50.0,-49.0,-49.0,-39.0,BA,True
4e:9a:ff:cd:da:f3,-53.0,-54.0,-41.0,-40.0,-38.0,-43.0,-48.0,-45.0,-36.0,-40.0,BA,True
4e:9a:ff:cd:da:f3,-52.0,-57.0,-46.0,-41.0,-42.0,-52.0,-44.0,-44.0,-41.0,-38.0,BA,True
4e:9a:ff:cd:da:f3,-50.0,-49.0,-47.0,-44.0,-44.0,-34.0,-48.0,-39.0,-40.0,-45.0,BA,True
4e:9a:ff:cd:da:f3,-53.0,-47.0,-49.0,-43.0,-46.0,-39.0,-50.0,-55.0,-43.0,-43.0,BA,True
4e:9a:ff:cd:da:f3,-44.0,-42.0,-44.0,-43.0,-38.0,-35.0,-39.0,-47.0,-51.0,-39.0,BA,True
