mac,1,2,3,4,5,6,7,8,9,10,label,noise
4a:ff:61:0a:f6:20,-47.0,-56.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,BB,True
4a:ff:61:0a:f6:20,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-38.0,BB,True
4a:ff:61:0a:f6:20,-38.0,-49.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,BB,True
4a:ff:61:0a:f6:20,-48.0,-47.0,-47.0,-47.0,-47.0,-53.0,-53.0,-53.0,-53.0,-53.0,BB,True
4a:ff:61:0a:f6:20,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,BB,True
4a:ff:61:0a:f6:20,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,BB,True
4a:ff:61:0a:f6:20,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,BB,True
4a:ff:61:0a:f6:20,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,BB,True
4a:ff:61:0a:f6:20,-43.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,-37.0,BB,True
4a:ff:61:0a:f6:20,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,-41.0,BB,True
4a:ff:61:0a:f6:20,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,BB,True
4a:ff:61:0a:f6:20,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-48.0,-48.0,-48.0,BB,True
4a:ff:61:0a:f6:20,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-40.0,BB,True
4a:ff:61:0a:f6:20,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,BB,True
