mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
ea:51:ae:7f:62:fa,-57.0,-56.0,-56.0,-50.0,-51.0,-57.0,-52.0,-62.0,-62.0,-58.0,BB,True
ea:51:ae:7f:62:fa,-44.0,-53.0,-51.0,-47.0,-54.0,-53.0,-57.0,-51.0,-59.0,-47.0,BB,True
ea:51:ae:7f:62:fa,-52.0,-53.0,-52.0,-52.0,-48.0,-49.0,-51.0,-42.0,-42.0,-42.0,BB,True
ea:51:ae:7f:62:fa,-62.0,-51.0,-44.0,-37.0,-40.0,-47.0,-44.5,-64.0,-65.0,-62.0,BB,True
ea:51:ae:7f:62:fa,-54.0,-58.0,-59.0,-67.0,-61.5,-53.0,-59.0,-58.0,-56.0,-44.0,BB,True
ea:51:ae:7f:62:fa,-44.0,-49.0,-60.0,-60.0,-48.0,-57.0,-61.0,-55.0,-43.0,-47.0,BB,True
ea:51:ae:7f:62:fa,-56.0,-58.0,-57.0,-56.0,-52.0,-44.0,-51.0,-55.0,-41.0,-47.0,BB,True
ea:51:ae:7f:62:fa,-55.0,-62.0,-62.0,-63.0,-60.0,-57.0,-53.0,-57.0,-45.0,-57.0,BB,True
ea:51:ae:7f:62:fa,-50.0,-59.0,-54.0,-49.0,-49.0,-45.0,-39.0,-47.0,-56.0,-59.0,BB,True
ea:51:ae:7f:62:fa,-37.0,-57.0,-55.0,-58.0,-51.0,-47.0,-44.0,-43.0,-36.0,-56.0,BB,True
ea:51:ae:7f:62:fa,-42.0,-40.0,-60.0,-58.0,-54.0,-55.0,-56.0,-48.0,-48.0,-48.0,BB,True
ea:51:ae:7f:62:fa,-46.0,-49.0,-48.0,-42.0,-36.0,-64.0,-48.0,-51.0,-61.0,-58.0,BB,True
ea:51:ae:7f:62:fa,-45.0,-42.0,-43.0,-41.0,-50.0,-53.0,-60.0,-56.0,-42.0,-47.0,BB,True
ea:51:ae:7f:62:fa,-50.0,-59.0,-54.0,-53.0,-47.0,-43.0,-42.0,-41.0,-54.0,-51.0,BB,True
ea:51:ae:7f:62:fa,-40.0,-55.0,-59.0,-56.0,-56.0,-50.0,-46.0,-43.0,-44.0,-41.0,BB,True
ea:51:ae:7f:62:fa,-49.0,-47.0,-45.0,-40.0,-48.0,-50.0,-55.0,-55.0,-52.0,-55.0,BB,True
ea:51:ae:7f:62:fa,-59.0,-47.0,-40.0,-54.0,-44.0,-42.0,-44.0,-47.0,-57.0,-61.0,BB,True
ea:51:ae:7f:62:fa,-50.0,-57.0,-50.0,-53.0,-45.0,-46.0,-39.0,-42.0,-51.0,-45.0,BB,True
ea:51:ae:7f:62:fa,-53.0,-42.0,-52.0,-44.0,-41.0,-45.0,-58.0,-55.0,-60.0,-66.0,BB,True
ea:51:ae:7f:62:fa,-59.0,-56.0,-62.0,-42.0,-43.0,-44.0,-53.0,-48.0,-56.0,-54.0,BB,True
e6:53:5c:2a:e8:e2,-37.0,-37.0,-43.0,-38.0,-61.0,-57.0,-61.0,-64.0,-54.0,-53.0,AB,True
e6:53:5c:2a:e8:e2,-34.0,-40.0,-43.0,-38.0,-59.0,-58.0,-61.0,-62.0,-55.0,-48.0,AB,True
e6:53:5c:2a:e8:e2,-38.0,-46.0,-40.0,-43.0,-59.0,-65.0,-62.0,-67.0,-53.0,-52.0,AB,True
e6:53:5c:2a:e8:e2,-36.0,-38.0,-46.0,-38.0,-46.0,-56.0,-56.0,-57.0,-55.0,-63.0,AB,True
e6:53:5c:2a:e8:e2,-36.0,-47.0,-33.0,-53.0,-60.0,-60.0,-62.0,-63.0,-61.0,-50.0,AB,True
e6:53:5c:2a:e8:e2,-43.0,-40.0,-41.0,-45.0,-56.0,-52.0,-61.0,-63.0,-53.0,-57.0,AB,True
e6:53:5c:2a:e8:e2,-42.0,-36.0,-48.0,-41.0,-46.0,-59.0,-60.0,-57.0,-64.0,-59.0,AB,True
e6:53:5c:2a:e8:e2,-40.0,-39.0,-40.0,-34.0,-50.0,-60.0,-56.0,-60.0,-65.0,-57.0,AB,True
e6:53:5c:2a:e8:e2,-42.0,-40.0,-49.0,-41.0,-47.0,-59.0,-57.0,-56.0,-64.0,-51.0,AB,True
e6:53:5c:2a:e8:e2,-42.0,-47.0,-39.0,-45.0,-64.0,-56.0,-58.0,-64.0,-58.0,-47.0,AB,True
e6:53:5c:2a:e8:e2,-43.0,-40.0,-48.0,-36.0,-47.0,-64.0,-57.0,-59.0,-60.0,-52.0,AB,True
