mac,1,2,3,4,5,6,7,8,9,10,label,noise_label
04:b1:67:ac:8d:65,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,AB,True
04:b1:67:ac:8d:65,-33.0,-33.0,-43.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,-47.0,AB,True
04:b1:67:ac:8d:65,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,AB,True
04:b1:67:ac:8d:65,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,-46.0,AB,True
04:b1:67:ac:8d:65,-37.0,-34.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,AB,True
04:b1:67:ac:8d:65,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,AB,True
04:b1:67:ac:8d:65,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,-63.0,AB,True
04:b1:67:ac:8d:65,-32.0,-32.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,AB,True
04:b1:67:ac:8d:65,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-59.0,-59.0,AB,True
04:b1:67:ac:8d:65,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,AB,True
04:b1:67:ac:8d:65,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,-38.0,AB,True
04:b1:67:ac:8d:65,-38.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,AB,True
04:b1:67:ac:8d:65,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-64.0,-59.0,-59.0,AB,True
04:b1:67:ac:8d:65,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,-56.0,AB,True
04:b1:67:ac:8d:65,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,-34.0,AB,True
04:b1:67:ac:8d:65,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-55.0,-55.0,-54.0,AB,True
