mac,1,2,3,4,5,6,7,8,9,10,label,noise
4e:9a:ff:cd:da:f3,-42.0,-50.0,-53.0,-61.0,-58.0,-63.0,-47.0,-48.0,-52.0,-51.0,BB,True
4e:9a:ff:cd:da:f3,-50.0,-45.0,-53.0,-59.0,-51.0,-58.0,-49.0,-50.0,-55.0,-56.0,BB,True
4e:9a:ff:cd:da:f3,-53.0,-66.0,-53.0,-60.0,-60.0,-54.0,-49.0,-50.0,-48.0,-48.0,BB,True
4e:9a:ff:cd:da:f3,-54.0,-48.0,-44.0,-53.0,-53.0,-56.0,-53.0,-54.0,-57.0,-55.0,BB,True
4e:9a:ff:cd:da:f3,-45.0,-52.0,-50.0,-47.0,-45.0,-47.0,-51.0,-52.0,-54.0,-59.0,BB,True
4e:9a:ff:cd:da:f3,-57.0,-56.0,-55.0,-63.0,-55.0,-58.0,-57.0,-55.0,-60.0,-45.0,BB,True
4e:9a:ff:cd:da:f3,-46.0,-54.0,-51.0,-54.0,-55.0,-54.0,-58.0,-51.0,-50.0,-59.0,BB,True
4e:9a:ff:cd:da:f3,-43.0,-52.0,-57.0,-52.0,-58.0,-58.0,-49.0,-51.0,-65.0,-55.0,BB,True
4e:9a:ff:cd:da:f3,-50.0,-52.0,-47.0,-56.0,-46.0,-63.0,-61.0,-51.0,-43.0,-45.0,BB,True
4e:9a:ff:cd:da:f3,-54.0,-58.0,-53.0,-50.0,-47.0,-49.0,-50.0,-52.0,-50.0,-48.0,BB,True
4e:9a:ff:cd:da:f3,-51.0,-48.0,-46.0,-48.0,-51.0,-61.0,-54.0,-51.0,-54.0,-50.0,BB,True
4e:9a:ff:cd:da:f3,-52.0,-57.0,-51.0,-54.0,-49.0,-49.0,-49.0,-54.0,-52.0,-50.0,BB,True
4e:9a:ff:cd:da:f3,-46.0,-47.0,-52.0,-50.0,-47.0,-52.0,-48.0,-47.0,-49.0,-55.0,BB,True
4e:9a:ff:cd:da:f3,-51.0,-49.0,-50.0,-48.0,-48.0,-48.0,-46.0,-60.0,-50.0,-51.0,BB,True
4e:9a:ff:cd:da:f3,-48.0,-47.0,-51.0,-48.0,-47.0,-60.0,-53.0,-50.0,-46.0,-46.0,BB,True
4e:9a:ff:cd:da:f3,-50.0,-46.0,-49.0,-51.0,-47.0,-51.0,-57.0,-54.0,-52.0,-51.0,BB,True
4e:9a:ff:cd:da:f3,-49.0,-53.0,-52.0,-51.0,-52.0,-58.0,-50.0,-48.0,-48.0,-49.0,BB,True
4e:9a:ff:cd:da:f3,-51.0,-48.0,-48.0,-50.0,-48.0,-54.0,-56.0,-53.0,-49.0,-49.0,BB,True
4e:9a:ff:cd:da:f3,-46.0,-52.0,-46.0,-51.0,-54.0,-45.0,-48.0,-49.0,-45.0,-48.0,BB,True
4e:9a:ff:cd:da:f3,-44.0,-48.0,-48.0,-55.0,-45.0,-44.0,-50.0,-45.0,-44.0,-45.0,BB,True
4e:9a:ff:cd:da:f3,-47.0,-49.0,-47.0,-50.0,-50.0,-52.0,-54.0,-47.0,-49.0,-46.0,BB,True
4e:9a:ff:cd:da:f3,-49.0,-49.0,-49.0,-46.0,-46.0,-58.0,-52.0,-52.0,-49.0,-47.0,BB,True
4e:9a:ff:cd:da:f3,-50.0,-46.0,-45.0,-46.0,-46.0,-54.0,-52.0,-47.0,-49.0,-47.0,BB,True
4e:9a:ff:cd:da:f3,-51.0,-51.0,-50.0,-52.0,-49.0,-56.0,-53.0,-56.0,-55.0,-54.0,BB,True
4e:9a:ff:cd:da:f3,-47.0,-47.0,-51.0,-48.0,-51.0,-52.0,-48.0,-50.0,-50.0,-51.0,BB,True
4e:9a:ff:cd:da:f3,-47.0,-45.0,-48.0,-44.0,-45.0,-50.0,-50.0,-46.0,-46.0,-47.0,BB,True
4e:9a:ff:cd:da:f3,-45.0,-49.0,-52.0,-47.0,-48.0,-54.0,-59.0,-53.0,-49.0,-48.0,BB,True
4e:9a:ff:cd:da:f3,-45.0,-45.0,-46.0,-46.0,-54.0,-53.0,-58.0,-59.0,-53.0,-51.0,BB,True
4e:9a:ff:cd:da:f3,-52.0,-50.0,-53.0,-54.0,-51.0,-52.0,-50.0,-59.0,-59.0,-51.0,BB,True
4e:9a:ff:cd:da:f3,-51.0,-50.0,-51.0,-48.0,-52.0,-48.0,-57.0,-52.0,-50.0,-47.0,BB,True
04:b1:67:ac:8d:65,-45.0,-45.0,-45.0,-36.0,-36.0,-36.0,-68.0,-63.0,-55.0,-65.0,AB,True
04:b1:67:ac:8d:65,-42.0,-43.0,-43.0,-43.0,-43.0,-55.0,-65.0,-74.0,-74.0,-74.0,AB,True
04:b1:67:ac:8d:65,-50.0,-41.0,-33.0,-44.0,-44.0,-44.0,-44.0,-44.0,-55.0,-55.0,AB,True
04:b1:67:ac:8d:65,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,AB,True
04:b1:67:ac:8d:65,-55.0,-55.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,-39.0,AB,True
04:b1:67:ac:8d:65,-39.0,-39.0,-43.0,-43.0,-44.0,-44.0,-44.0,-49.0,-53.0,-53.0,AB,True
04:b1:67:ac:8d:65,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-56.0,-56.0,-56.0,-56.0,AB,True
04:b1:67:ac:8d:65,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,-48.0,AB,True
04:b1:67:ac:8d:65,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,-53.0,AB,True
04:b1:67:ac:8d:65,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,-58.0,AB,True
04:b1:67:ac:8d:65,-58.0,-58.0,-39.0,-39.0,-39.0,-39.0,-44.0,-44.0,-55.0,-57.0,AB,True
04:b1:67:ac:8d:65,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,AB,True
04:b1:67:ac:8d:65,-57.0,-57.0,-57.0,-57.0,-57.0,-55.0,-55.0,-52.0,-54.0,-60.0,AB,True
04:b1:67:ac:8d:65,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0,-35.0,-35.0,-35.0,-35.0,AB,True
04:b1:67:ac:8d:65,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,-49.0,AB,True
04:b1:67:ac:8d:65,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,AB,True
04:b1:67:ac:8d:65,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,-52.0,AB,True
04:b1:67:ac:8d:65,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,AB,True
04:b1:67:ac:8d:65,-48.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,-35.0,AB,True
04:b1:67:ac:8d:65,-35.0,-35.0,-35.0,-35.0,-35.0,-54.0,-54.0,-54.0,-54.0,-54.0,AB,True
04:b1:67:ac:8d:65,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-54.0,-49.0,-49.0,AB,True
04:b1:67:ac:8d:65,-49.0,-49.0,-49.0,-35.0,-35.0,-35.0,-35.0,-52.0,-52.0,-52.0,AB,True
04:b1:67:ac:8d:65,-54.0,-54.0,-54.0,-54.0,-54.0,-40.0,-40.0,-40.0,-40.0,-40.0,AB,True
04:b1:67:ac:8d:65,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-40.0,-54.0,-65.0,AB,True
04:b1:67:ac:8d:65,-57.0,-57.0,-57.0,-34.0,-31.0,-31.0,-31.0,-31.0,-31.0,-31.0,AB,True
04:b1:67:ac:8d:65,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,-55.0,AB,True
04:b1:67:ac:8d:65,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,AB,True
04:b1:67:ac:8d:65,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,-50.0,AB,True
04:b1:67:ac:8d:65,-53.0,-47.0,-47.0,-47.0,-47.0,-34.0,-34.0,-34.0,-34.0,-34.0,AB,True
04:b1:67:ac:8d:65,-49.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,-42.0,AB,True
00:be:3b:9e:7f:14,-57.0,-45.0,-56.0,-58.0,-44.0,-55.0,-51.0,-66.0,-55.0,-61.0,BB,True
00:be:3b:9e:7f:14,-53.0,-67.0,-49.0,-69.0,-64.0,-60.0,-59.0,-43.0,-55.0,-44.0,BB,True
00:be:3b:9e:7f:14,-45.0,-53.0,-46.0,-45.0,-59.0,-61.0,-70.0,-59.0,-66.0,-61.0,BB,True
00:be:3b:9e:7f:14,-58.0,-54.0,-59.0,-70.0,-61.0,-67.0,-42.0,-46.0,-52.0,-57.0,BB,True
00:be:3b:9e:7f:14,-48.0,-66.0,-56.0,-55.0,-51.0,-57.0,-52.0,-45.0,-54.0,-56.0,BB,True
00:be:3b:9e:7f:14,-44.0,-53.0,-52.0,-50.0,-46.0,-52.0,-53.0,-56.0,-66.0,-66.0,BB,True
00:be:3b:9e:7f:14,-48.0,-48.0,-51.0,-42.0,-55.0,-50.0,-57.0,-49.0,-55.0,-48.0,BB,True
00:be:3b:9e:7f:14,-57.0,-63.0,-51.0,-61.0,-53.0,-47.0,-55.0,-53.0,-49.0,-44.0,BB,True
00:be:3b:9e:7f:14,-56.0,-56.0,-52.0,-49.0,-52.0,-52.0,-50.0,-51.0,-59.0,-65.0,BB,True
00:be:3b:9e:7f:14,-45.0,-48.0,-46.0,-66.0,-68.0,-69.0,-72.0,-56.0,-73.0,-61.0,BB,True
00:be:3b:9e:7f:14,-62.0,-55.0,-61.0,-75.0,-53.0,-52.0,-51.0,-57.0,-46.0,-55.0,BB,True
00:be:3b:9e:7f:14,-57.0,-44.0,-53.0,-50.0,-61.0,-67.0,-71.0,-56.0,-65.0,-59.0,BB,True
00:be:3b:9e:7f:14,-52.0,-61.0,-62.0,-70.0,-66.0,-54.0,-44.0,-48.0,-46.0,-43.0,BB,True
00:be:3b:9e:7f:14,-57.0,-54.0,-57.0,-55.0,-57.0,-58.0,-57.0,-58.0,-58.0,-57.0,BB,True
00:be:3b:9e:7f:14,-48.0,-48.0,-48.0,-50.0,-52.0,-61.0,-46.0,-46.0,-46.0,-49.0,BB,True
00:be:3b:9e:7f:14,-46.0,-49.0,-46.0,-46.0,-45.0,-59.0,-51.0,-50.0,-46.0,-47.0,BB,True
00:be:3b:9e:7f:14,-46.0,-48.0,-46.0,-46.0,-49.0,-50.0,-50.0,-48.0,-46.0,-45.0,BB,True
00:be:3b:9e:7f:14,-49.0,-52.0,-49.0,-50.0,-51.0,-53.0,-53.0,-53.0,-51.0,-53.0,BB,True
00:be:3b:9e:7f:14,-54.0,-56.0,-57.0,-54.0,-57.0,-52.0,-55.0,-54.0,-52.0,-51.0,BB,True
00:be:3b:9e:7f:14,-51.0,-55.0,-55.0,-56.0,-55.0,-59.0,-54.0,-55.0,-60.0,-54.0,BB,True
00:be:3b:9e:7f:14,-55.0,-53.0,-55.0,-56.0,-58.0,-58.0,-47.0,-48.0,-48.0,-45.0,BB,True
00:be:3b:9e:7f:14,-47.0,-47.0,-45.0,-46.0,-47.0,-52.0,-49.0,-47.0,-48.0,-45.0,BB,True
00:be:3b:9e:7f:14,-52.0,-50.0,-58.0,-52.0,-50.0,-69.0,-50.0,-63.0,-50.0,-55.0,BB,True
00:be:3b:9e:7f:14,-60.0,-61.0,-60.0,-68.0,-68.0,-60.0,-63.0,-60.0,-61.0,-62.0,BB,True
00:be:3b:9e:7f:14,-59.0,-60.0,-59.0,-60.0,-64.0,-59.0,-61.0,-62.0,-60.0,-61.0,BB,True
00:be:3b:9e:7f:14,-59.0,-59.0,-58.0,-57.0,-59.0,-60.0,-58.0,-60.0,-57.0,-63.0,BB,True
00:be:3b:9e:7f:14,-56.0,-56.0,-57.0,-60.0,-56.0,-59.0,-58.0,-58.0,-61.0,-63.0,BB,True
00:be:3b:9e:7f:14,-64.0,-51.0,-50.0,-51.0,-49.0,-62.0,-53.0,-59.0,-49.0,-49.0,BB,True
00:be:3b:9e:7f:14,-55.0,-57.0,-65.0,-58.0,-59.0,-61.0,-58.0,-60.0,-59.0,-59.0,BB,True
00:be:3b:9e:7f:14,-55.0,-53.0,-54.0,-52.0,-55.0,-52.0,-59.0,-59.0,-52.0,-52.0,BB,True
5c:77:76:80:95:6f,-47.0,-61.0,-58.0,-60.0,-66.0,-55.0,-66.0,-51.0,-52.0,-50.0,BB,True
5c:77:76:80:95:6f,-56.0,-53.0,-50.0,-47.0,-51.0,-57.0,-60.0,-68.0,-62.0,-60.0,BB,True
5c:77:76:80:95:6f,-67.0,-57.0,-62.0,-59.0,-61.0,-52.0,-50.0,-63.0,-46.0,-51.0,BB,True
5c:77:76:80:95:6f,-55.0,-53.0,-47.0,-49.0,-56.0,-50.0,-59.0,-63.0,-63.0,-69.0,BB,True
5c:77:76:80:95:6f,-54.0,-48.0,-52.0,-61.0,-44.0,-54.0,-52.0,-53.0,-64.0,-56.0,BB,True
5c:77:76:80:95:6f,-59.0,-60.0,-60.0,-71.0,-68.0,-61.0,-64.0,-56.0,-48.0,-60.0,BB,True
5c:77:76:80:95:6f,-61.0,-59.0,-63.0,-60.0,-68.0,-59.0,-61.0,-52.0,-47.0,-50.0,BB,True
5c:77:76:80:95:6f,-50.0,-53.0,-49.0,-42.0,-59.0,-59.0,-55.0,-63.0,-58.0,-60.0,BB,True
5c:77:76:80:95:6f,-43.0,-48.0,-68.0,-61.0,-62.0,-64.0,-67.0,-53.0,-52.0,-49.0,BB,True
5c:77:76:80:95:6f,-63.0,-62.0,-68.0,-52.0,-48.0,-59.0,-49.0,-53.0,-50.0,-56.0,BB,True
5c:77:76:80:95:6f,-55.0,-57.0,-46.0,-49.0,-48.0,-56.0,-59.0,-61.0,-62.0,-62.0,BB,True
