mac,1,2,3,4,5,6,7,8,9,10,label,noise,concurrent_noise_path,synthetic
76:64:61:f6:e6:14,-57.0,-56.8,-57.0,-56.6,-56.5,-56.6,-57.7,-57.7,-57.0,-56.6,BB,True,AB,True
4a:ff:61:0a:f6:20,-41.1,-41.1,-41.0,-41.0,-38.0,-56.0,-55.9,-55.9,-55.9,-50.0,BA,True,AB,True
e6:53:5c:2a:e8:e2,-33.8,-32.2,-32.4,-45.9,-39.5,-50.4,-47.9,-43.4,-38.7,-63.9,AB,False,,True
e6:53:5c:2a:e8:e2,-41.9,-49.8,-73.8,-46.9,-44.2,-41.6,-45.5,-40.1,-44.3,-50.3,BB,True,BA,True
e6:53:5c:2a:e8:e2,-39.4,-36.5,-51.7,-56.7,-47.6,-44.9,-50.1,-39.8,-43.1,-43.6,AA,False,,True
76:64:61:f6:e6:14,-39.1,-41.0,-44.1,-57.9,-60.2,-52.4,-43.8,-42.2,-38.0,-32.9,AA,True,BB,True
4a:ff:61:0a:f6:20,-52.9,-51.8,-53.0,-51.5,-52.2,-51.3,-50.9,-49.4,-48.4,-49.0,BB,True,BA,True
76:64:61:f6:e6:14,-48.4,-42.8,-41.3,-35.4,-30.6,-43.5,-33.6,-33.6,-39.1,-33.0,BA,True,AA,True
04:b1:67:ac:8d:65,-44.1,-44.1,-41.9,-43.8,-43.4,-41.3,-43.6,-42.7,-42.1,-42.2,AA,True,AB,True
76:64:61:f6:e6:14,-32.1,-41.0,-43.9,-44.9,-41.9,-39.0,-41.0,-35.1,-38.0,-34.1,AA,True,BB,True
4a:ff:61:0a:f6:20,-48.4,-46.2,-46.4,-46.9,-46.7,-53.2,-54.6,-52.7,-52.7,-52.5,BB,True,BA,True
04:b1:67:ac:8d:65,-38.8,-38.9,-39.1,-39.0,-39.0,-34.1,-34.2,-34.1,-34.2,-35.1,AA,True,AB,True
e6:53:5c:2a:e8:e2,-37.6,-42.0,-38.5,-33.7,-49.6,-54.0,-60.8,-62.8,-59.0,-54.7,AB,True,BB,True
76:64:61:f6:e6:14,-44.9,-40.8,-32.7,-31.5,-29.7,-39.7,-51.3,-32.9,-42.0,-35.7,AA,False,,True
e6:53:5c:2a:e8:e2,-54.9,-57.2,-43.7,-50.9,-43.0,-53.4,-47.0,-49.9,-47.7,-67.5,BB,False,,True
e6:53:5c:2a:e8:e2,-47.0,-48.5,-48.7,-43.7,-41.0,-51.2,-50.4,-43.5,-44.6,-44.2,BB,True,BA,True
e6:53:5c:2a:e8:e2,-47.5,-47.7,-45.9,-52.0,-48.1,-54.3,-59.4,-56.3,-61.1,-64.9,BB,True,AA,True
e6:53:5c:2a:e8:e2,-46.4,-44.0,-53.0,-57.0,-46.6,-46.6,-43.4,-43.4,-47.4,-43.4,BB,True,BA,True
76:64:61:f6:e6:14,-56.1,-54.3,-48.5,-54.9,-53.8,-56.1,-49.7,-53.2,-54.9,-50.2,BB,False,,True
4a:ff:61:0a:f6:20,-62.8,-62.8,-62.9,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,-51.0,BB,True,AA,True
