mac,1,2,3,4,5,6,7,8,9,10,label,noise,concurrent_noise_path,synthetic
e6:53:5c:2a:e8:e2,-50.4,-50.3,-35.3,-45.7,-68.8,-47.0,-46.4,-63.1,-45.4,-41.0,AB,True,BB,True
04:b1:67:ac:8d:65,-35.4,-36.4,-35.6,-35.5,-35.9,-36.6,-35.2,-35.3,-35.5,-38.7,AA,True,AB,True
e6:53:5c:2a:e8:e2,-59.0,-56.0,-59.0,-62.0,-61.0,-62.0,-55.0,-55.0,-59.0,-53.0,BB,True,BA,False
6e:7c:a5:0f:91:c6,-58.7,-56.2,-58.1,-58.7,-58.7,-58.1,-57.3,-58.3,-58.6,-59.8,AB,True,AA,True
4a:ff:61:0a:f6:20,-57.6,-51.3,-51.0,-48.5,-61.0,-51.8,-47.0,-51.1,-54.1,-53.8,BB,True,AA,True
2e:ad:62:53:35:66,-56.5,-50.8,-50.3,-55.6,-39.4,-42.1,-41.0,-49.4,-55.5,-51.8,BA,True,AA,True
04:b1:67:ac:8d:65,-40.7,-37.0,-41.2,-35.7,-36.9,-35.7,-36.2,-39.8,-37.1,-36.3,AA,True,AB,True
04:b1:67:ac:8d:65,-71.1,-70.1,-69.6,-69.6,-70.0,-34.4,-31.7,-32.1,-31.6,-32.5,AA,True,AB,True
56:ec:bd:68:73:0c,-54.9,-44.8,-45.5,-44.0,-48.6,-34.6,-44.8,-49.7,-44.7,-39.9,BA,True,AA,True
e6:53:5c:2a:e8:e2,-48.2,-45.6,-43.6,-44.8,-51.3,-60.3,-62.1,-65.5,-66.2,-62.0,AB,True,BB,True
56:ec:bd:68:73:0c,-48.7,-46.9,-65.5,-48.7,-55.6,-49.1,-48.6,-35.1,-31.3,-36.3,AA,True,BB,True
e6:53:5c:2a:e8:e2,-44.3,-42.1,-49.7,-45.5,-46.3,-43.0,-42.5,-49.4,-47.9,-39.6,AA,True,BA,True
f6:12:7b:46:29:86,-45.7,-40.5,-37.9,-34.0,-44.2,-50.3,-53.7,-51.8,-52.8,-51.3,AB,True,BB,True
76:64:61:f6:e6:14,-44.0,-41.4,-64.1,-43.3,-38.0,-47.1,-41.3,-45.9,-75.1,-42.2,AA,True,BB,True
e6:53:5c:2a:e8:e2,-51.6,-48.1,-42.5,-46.3,-43.9,-36.5,-37.9,-50.4,-51.5,-41.8,BA,False,,True
