model,type,seed,device,test_mcc,test_acc,best_val_mcc,best_epoch,train_time_s,members,best_arch,arch_list,val_mccs
RNN,single,42,cuda:0,0.7551959504638758,0.8161146811665843,0.7545161693149977,122.0,97.1,,,,
GRU,single,42,cuda:1,0.7100568424213096,0.7815126050420168,0.7315192238996744,134.0,100.3,,,,
LSTM,single,42,cuda:0,0.685485842940751,0.7637172516065249,0.6955026453135152,93.0,92.0,,,,
CNN,single,42,cuda:1,0.8382646954810525,0.8774097874443895,0.8504307909113688,100.0,128.8,,,,
TCN,single,42,cuda:0,0.8356108096932178,0.8759268413247652,0.8454320271845738,121.0,202.0,,,,
Transformer,single,42,cuda:1,0.7133858397096631,0.7849728126544736,0.7288881146574783,114.0,170.9,,,,
BiLSTM,single,42,cuda:0,0.6837550537887224,0.7622343054869006,0.7055951173197832,114.0,113.8,,,,
CNN2DLSTM,single,42,cuda:1,0.8009714971887837,0.8502224419179436,0.7936812130273349,140.0,139.2,,,,
CNN2DGRU,single,42,cuda:0,0.7754407093348689,0.8314384577360356,0.7704744079109921,139.0,138.5,,,,
Mamba,single,42,cuda:1,0.8002345012665236,0.8497281265447355,0.8076325276664813,99.0,373.6,,,,
MetaFusion_LSTM,meta_fusion,42,cuda:0,0.7433661484098454,0.8067226890756303,0.7477430998351688,40.0,80.0,,,,
MetaFusion_GRU,meta_fusion,42,cuda:1,0.7771636502112413,0.8324270884824518,0.7959663469278936,132.0,120.6,,,,
Ensemble_RNN_GRU,voting_ensemble,42,cuda:0,0.7450849805848317,0.8082056351952546,,,,RNN+GRU,,,
Ensemble_GRU_LSTM,voting_ensemble,42,cuda:0,0.7104386007608584,0.7820069204152249,,,,GRU+LSTM,,,
Ensemble_LSTM_CNN,voting_ensemble,42,cuda:0,0.8436361216364953,0.8818586258032625,,,,LSTM+CNN,,,
Ensemble_CNN_TCN,voting_ensemble,42,cuda:0,0.8445561426071656,0.8823529411764706,,,,CNN+TCN,,,
Ensemble_TCN_Transformer,voting_ensemble,42,cuda:0,0.7978719723987919,0.8482451804251112,,,,TCN+Transformer,,,
Ensemble_BiLSTM_LSTM,voting_ensemble,42,cuda:0,0.6922040573306956,0.768660405338606,,,,BiLSTM+LSTM,,,
Ensemble_Mamba_LSTM,voting_ensemble,42,cuda:0,0.7926475165903991,0.8442906574394463,,,,Mamba+LSTM,,,
Ensemble_RNN_GRU_LSTM,voting_ensemble,42,cuda:0,0.7361415705907369,0.8012852199703411,,,,RNN+GRU+LSTM,,,
Ensemble_All,voting_ensemble,42,cuda:0,0.8074357337833981,0.8551655956500247,,,,RNN+GRU+LSTM+CNN+TCN+Transformer+BiLSTM+CNN2DLSTM+CNN2DGRU+Mamba,,,
Stacking_All,stacking_ensemble,42,cuda:0,0.8488477962975801,0.8858131487889274,0.8575473167703784,,,,,,
HPO_RNN,hpo,42,cuda:0,0.8319352320738266,0.8739495798319328,0.8336606720955335,115.0,141.8,,,,
HPO_GRU,hpo,42,cuda:1,0.8524206484489896,0.889273356401384,0.847260563562591,89.0,106.8,,,,
HPO_LSTM,hpo,42,cuda:0,0.8434985171188114,0.8823529411764706,0.839383385145203,102.0,92.6,,,,
HPO_CNN,hpo,42,cuda:1,0.8357177616525382,0.8754325259515571,0.8279376553356438,145.0,148.6,,,,
HPO_TRANSFORMER,hpo,42,cuda:1,0.8034555424129555,0.8521997034107761,0.7929767609283453,126.0,142.4,,,,
HPO_BILSTM,hpo,42,cuda:0,0.8195227280646921,0.8640632723677706,0.7997220463664146,101.0,233.9,,,,
HPO_CNN2DRNN,hpo,42,cuda:1,0.8187847133662858,0.8630746416213544,0.8137398716059155,130.0,135.0,,,,
HPO_TCN,hpo,42,cuda:0,0.8470307287016601,0.8843302026693031,0.8547765038028522,95.0,521.9,,,,
HPO_MAMBA,hpo,42,cuda:0,0.841775659843625,0.8808699950568463,0.8471439373524197,85.0,753.3,,,,
OptunaNet_NAS,optuna_nas,42,cuda:0,0.8265419162524447,0.8685121107266436,0.8236252434548038,,,,"{""arch"": ""cnn"", ""dropout"": 0.4595914901927733, ""num_filters"": 204, ""num_blocks"": 2, ""kernel_size_set"": 1, ""lr"": 0.00016100059173645794, ""weight_decay"": 0.01348505895018758, ""l1_lambda"": 4.204316002957111e-06, ""gradient_clip"": 3.1697849397235016, ""loss_type"": ""focal"", ""focal_gamma"": 1.540258938415617, ""optimizer_type"": ""adamw"", ""momentum"": 0.7328592369784435, ""scheduler_type"": ""plateau""}",,
MoE_4GRU,soft_moe,42,cuda:0,0.8173062623248855,0.8625803262481463,0.8321410215785274,,,,,gru+gru+gru+gru,
MoE_4LSTM,soft_moe,42,cuda:1,0.8329695971293436,0.8744438952051409,0.8270978566986223,,,,,lstm+lstm+lstm+lstm,
MoE_4TCN,soft_moe,42,cuda:0,0.8520925057432321,0.8882847256549679,0.8587128783281177,,,,,tcn+tcn+tcn+tcn,
MoE_4CNN,soft_moe,42,cuda:1,0.8405440488222373,0.8798813643104301,0.8521204718686378,,,,,cnn+cnn+cnn+cnn,
MoE_Mixed,soft_moe,42,cuda:0,0.8353085032841441,0.8759268413247652,0.8424027411673689,,,,,gru+lstm+rnn+cnn,
MoE_Mixed2,soft_moe,42,cuda:1,0.8454870366769807,0.8838358872960949,0.8471619785990782,,,,,gru+lstm+cnn+tcn,
MoE_2GRU2LSTM,soft_moe,42,cuda:0,0.8252310465468046,0.8685121107266436,0.8368129534894516,,,,,gru+gru+lstm+lstm,
MoE_2TCN2GRU,soft_moe,42,cuda:1,0.8472410412781837,0.8853188334157193,0.8473180435129497,,,,,tcn+tcn+gru+gru,
MoE_2CNN2TCN,soft_moe,42,cuda:0,0.8459398406038869,0.8838358872960949,0.8472514676991536,,,,,cnn+cnn+tcn+tcn,
MoE_8Mixed,soft_moe,42,cuda:1,0.849894850659869,0.8872960949085517,0.8494479359868363,,,,,gru+gru+lstm+lstm+cnn+cnn+tcn+tcn,
