model,data,seed,pretrained,test_mcc,test_acc,best_val_mcc,timestamp
ts_jepa,dataset_augmented3.csv,42,True,0.8301066937901455,0.8722098214285714,0.852713467970203,2026-08-23 06:06
lejepa,dataset_augmented3.csv,42,True,0.8675709197583611,0.8995535714285714,0.8714323955468125,2026-08-23 06:37
t_jepa,dataset_augmented3.csv,42,True,0.8445021639532615,0.8826729910714286,0.8534934033727194,2026-08-23 08:47
sigreg,dataset_augmented3.csv,42,False,0.8651879461760327,0.8978794642857143,0.8739569635167805,2026-08-23 12:17
cf_jepa,dataset_augmented3.csv,42,True,0.8182252857794095,0.8627232142857143,0.8245647685744887,2026-08-23 12:48
cf_jepa,dataset_augmented3.csv,42,True,0.8118196298435217,0.8581194196428571,0.8261896314122011,2026-08-23 14:41
sigreg,dataset.icaisf.csv,123,False,0.5566875670068807,0.6651884700665188,0.618275512291263,2026-08-23 19:07
ts_jepa,dataset.icaisf.csv,123,True,0.5639661826837173,0.6718403547671841,0.6450189637679762,2026-08-23 19:08
ts_jepa,dataset.icaisf.csv,2024,True,0.5715475210100123,0.6784922394678492,0.5736379036789496,2026-08-23 19:08
ts_jepa,dataset.icaisf.csv,7,True,0.5646136446939585,0.6718403547671841,0.5747841414638345,2026-08-23 19:08
lejepa,dataset.icaisf.csv,7,True,0.5979882976637926,0.6984478935698448,0.5863181954605192,2026-08-23 19:08
lejepa,dataset.icaisf.csv,123,True,0.5643035686014325,0.6718403547671841,0.6097800410991755,2026-08-23 19:09
ts_jepa,dataset.icaisf.csv,42,True,0.4880005523025502,0.614190687361419,0.6354245569952727,2026-08-23 19:09
