Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s
GP,0.8382352941176471,0.8382352941176471,0.840832542864406,0.8382352941176471,0.8377358887757109,0.7854753575814768,0.8072025942993685,0.009253559075470515,251.65885877609253
RandomForest,0.8235294117647058,0.823529411764706,0.824454494817398,0.8235294117647058,0.8228393672055645,0.7654235274464891,0.7841269841269841,0.028953359216913107,0.7694404125213623
CatBoost,0.8235294117647058,0.8235294117647058,0.8285117056856188,0.8235294117647058,0.8241442244403379,0.7659076969727007,0.0,0.0,0.7624251842498779
SVC_RBF,0.8198529411764706,0.8198529411764707,0.8221959027739265,0.8198529411764706,0.8181248421257166,0.7616040979653981,0.8044290834613415,0.020719366657246524,0.12991976737976074
KNN_7,0.8198529411764706,0.8198529411764706,0.8277023574856496,0.8198529411764706,0.8180863409039709,0.7634310203572171,0.7749231950844854,0.01416649958532168,0.08193516731262207
Bagging,0.8161764705882353,0.8161764705882353,0.8164224664224664,0.8161764705882353,0.8158875449493298,0.755160584422747,0.7749018603857313,0.028511787200593303,8.53864860534668
SVC_Linear,0.8161764705882353,0.8161764705882353,0.8172292877037739,0.8161764705882353,0.815629889232622,0.7555694792732615,0.7896953405017921,0.0359826543634266,0.1392655372619629
StackingEnsemble,0.8161764705882353,0.8161764705882354,0.8167746006798712,0.8161764705882353,0.8146749454030051,0.7560200316721714,0.8044333504010923,0.016830984818082203,8.189506530761719
VotingEnsemble,0.8125,0.8125,0.8145277661406695,0.8125,0.8119890729913963,0.7509886512593966,0.7915130568356374,0.020890513459156053,9.810649156570435
SVC_Poly,0.8125,0.8125,0.8335123523093448,0.8125,0.8117907103322564,0.758537296232339,0.7518390510325994,0.01358673217410757,0.16501641273498535
MLP_L2,0.8125,0.8125,0.8137707733928802,0.8125,0.8111275831186914,0.7512058648005843,0.7610855094726062,0.0268035339196985,0.39827537536621094
GradientBoosting,0.8125,0.8125,0.8184611983831702,0.8125,0.8115579302587177,0.7525404229788257,0.7813662741082096,0.028930683488850636,1.960047960281372
MLP_Medium,0.8125,0.8125,0.8137707733928802,0.8125,0.8111275831186914,0.7512058648005843,0.7620071684587814,0.02807957086183531,0.4209918975830078
LogisticRegression_ElasticNet,0.8088235294117647,0.8088235294117647,0.8110686429895795,0.8088235294117647,0.8080712349391221,0.7462690380759647,0.7915301245946407,0.030375227732415525,0.04967093467712402
LogisticRegression_L1,0.8088235294117647,0.8088235294117647,0.8110686429895795,0.8088235294117647,0.8080712349391221,0.7462690380759647,0.7896868066222905,0.0325518242110246,0.03612875938415527
LogisticRegression_L2,0.8088235294117647,0.8088235294117647,0.8110686429895795,0.8088235294117647,0.8080712349391221,0.7462690380759647,0.7942951015531661,0.028694706326111118,0.032781124114990234
KNN_3,0.8051470588235294,0.8051470588235294,0.8098443223443224,0.8051470588235294,0.8029924326115775,0.742932487314191,0.7472350230414747,0.01628626455951363,0.08189010620117188
ExtraTrees,0.8051470588235294,0.8051470588235293,0.8069792269134375,0.8051470588235294,0.8031084648232356,0.7419766697058882,0.793352107868237,0.020951013095633953,0.6180160045623779
LDA,0.8051470588235294,0.8051470588235294,0.8082051540737981,0.8051470588235294,0.8043290765978314,0.7416812487054251,0.7961341525857655,0.020811408012626306,0.017769575119018555
LinearSVC,0.8051470588235294,0.8051470588235294,0.8068570402298851,0.8051470588235294,0.8036408036408037,0.7416275736982115,0.7832266598395631,0.020654119990594577,0.15842485427856445
MLP_Large,0.8014705882352942,0.8014705882352942,0.804208890388468,0.8014705882352942,0.8000399454691535,0.7368227834785919,0.7813961426864653,0.03548606696786733,0.6553444862365723
NuSVC,0.7941176470588235,0.7941176470588236,0.7958793948401884,0.7941176470588235,0.7923790410969499,0.7271300798085117,0.7859788359788359,0.020512442914840206,0.21677255630493164
HistGradientBoosting,0.7941176470588235,0.7941176470588236,0.7988375603864735,0.7941176470588235,0.794137685484211,0.7270247940045487,0.7758192524321557,0.019807943205277793,19.879432201385498
KNN_5,0.7904411764705882,0.7904411764705882,0.8014351649772863,0.7904411764705882,0.7895335968399169,0.7244236503250482,0.7712194913807817,0.010298059087650866,0.08284378051757812
AdaBoost,0.7867647058823529,0.7867647058823529,0.7962874484613615,0.7867647058823529,0.7867108164691973,0.7186844565186671,0.7629202935654549,0.018036600125766012,0.333270788192749
SGDClassifier,0.7867647058823529,0.7867647058823529,0.7975331041507512,0.7867647058823529,0.7864771490171751,0.7196397975998837,0.7029655231268135,0.05045371381703117,0.07382559776306152
QDA,0.7794117647058824,0.7794117647058822,0.7799902152641878,0.7794117647058824,0.7774810261307232,0.7071451473069299,0.7702551629970985,0.02764098277083965,0.016677379608154297
MLP_Small,0.7720588235294118,0.7720588235294117,0.774702799683605,0.7720588235294118,0.7693862635900823,0.6982841883291151,0.7371138419525516,0.023749680860882187,0.3999507427215576
XGBoost,0.7720588235294118,0.7720588235294117,0.7747999838741009,0.7720588235294118,0.771754875218565,0.6971093798535606,0.778584229390681,0.020345636777851818,1.412576675415039
PassiveAggressive,0.7720588235294118,0.7720588235294118,0.7779185562696975,0.7720588235294118,0.7728186423730657,0.697298464071712,0.6246586448199352,0.10899978730978557,0.07229375839233398
RidgeClassifier,0.7683823529411765,0.7683823529411764,0.7698098471805708,0.7683823529411765,0.7657919723620473,0.6930525298193004,0.7555342208568014,0.023860838490637495,0.027669191360473633
GaussianNB,0.7169117647058824,0.7169117647058824,0.7167644108736592,0.7169117647058824,0.715693225390622,0.6231895196485114,0.7426096603515957,0.02929362006922715,0.02749490737915039
DecisionTree,0.7095588235294118,0.7095588235294118,0.711764705882353,0.7095588235294118,0.7091332782601898,0.6136748082707142,0.6835594811401263,0.02144372381830108,0.03362011909484863
NearestCentroid,0.7058823529411765,0.7058823529411765,0.7068201394870655,0.7058823529411765,0.7048393825615352,0.6086663940415029,0.7269329237071173,0.025350328246749664,0.17156147956848145
Perceptron,0.6691176470588235,0.6691176470588235,0.6841785747641728,0.6691176470588235,0.6636647855604809,0.5651638154100526,0.7038189110769756,0.03084650871680414,0.07420921325683594
ExtraTree,0.6617647058823529,0.661764705882353,0.6619620958751393,0.6617647058823529,0.6611483345580526,0.5494356444121663,0.6586917562724015,0.01986246658585363,0.017137765884399414
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.0,0.24907834101382492,0.0004608294930875556,0.01677250862121582
