Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,AA_precision,AA_recall,AA_f1,AA_support,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_AA_pred_AA,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AB,CM_BB_pred_AA,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AB,CM_BA_pred_AA,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AB,CM_AB_pred_AA,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
LogisticRegression_L1,0.8382352941176471,0.8382352941176471,0.8370111752978251,0.8382352941176471,0.8364918711151229,0.785007251192999,0.7795314900153609,0.02747008091421192,0.036955833435058594,0.8166666666666667,0.7205882352941176,0.765625,68.0,0.8732394366197183,0.9117647058823529,0.8920863309352518,68.0,0.8088235294117647,0.8088235294117647,0.8088235294117647,68.0,0.8493150684931506,0.9117647058823529,0.8794326241134752,68.0,"[[49, 8, 9, 2], [3, 62, 1, 2], [6, 0, 55, 7], [2, 1, 3, 62]]",49,8,9,2,3,62,1,2,6,0,55,7,2,1,3,62,1.0451595783233643,0.42759209871292114,0.3165634274482727,0.053961798548698425,0.3195253908634186,0.456302285194397,0.17212745547294617,0.28147077560424805,0.19867289066314697,0.42798298597335815
LogisticRegression_L2,0.8382352941176471,0.8382352941176471,0.8367828930359478,0.8382352941176471,0.8366242001608853,0.7848655659195423,0.7832223928998123,0.025476076001942495,0.03250861167907715,0.8032786885245902,0.7205882352941176,0.7596899224806202,68.0,0.8857142857142857,0.9117647058823529,0.8985507246376812,68.0,0.8088235294117647,0.8088235294117647,0.8088235294117647,68.0,0.8493150684931506,0.9117647058823529,0.8794326241134752,68.0,"[[49, 8, 9, 2], [3, 62, 1, 2], [6, 0, 55, 7], [3, 0, 3, 62]]",49,8,9,2,3,62,1,2,6,0,55,7,3,0,3,62,1.0311833620071411,0.4376913607120514,0.3368198275566101,0.08605573326349258,0.33707550168037415,0.4598844647407532,0.22323040664196014,0.29104551672935486,0.206835076212883,0.4298081696033478
LogisticRegression_ElasticNet,0.8382352941176471,0.8382352941176471,0.8370111752978251,0.8382352941176471,0.8364918711151229,0.785007251192999,0.7823007339136371,0.025866412603292782,0.03676772117614746,0.8166666666666667,0.7205882352941176,0.765625,68.0,0.8732394366197183,0.9117647058823529,0.8920863309352518,68.0,0.8088235294117647,0.8088235294117647,0.8088235294117647,68.0,0.8493150684931506,0.9117647058823529,0.8794326241134752,68.0,"[[49, 8, 9, 2], [3, 62, 1, 2], [6, 0, 55, 7], [2, 1, 3, 62]]",49,8,9,2,3,62,1,2,6,0,55,7,2,1,3,62,1.0377440452575684,0.4320310652256012,0.325509250164032,0.05895949900150299,0.3281623423099518,0.45813828706741333,0.19035735726356506,0.2865181863307953,0.202971413731575,0.42890825867652893
SVC_RBF,0.8272058823529411,0.8272058823529411,0.8264022435897437,0.8272058823529411,0.824814483616691,0.7708870476617596,0.7924432497013142,0.0391697158008091,0.13083219528198242,0.78125,0.7352941176470589,0.7575757575757576,68.0,0.9,0.9264705882352942,0.9130434782608695,68.0,0.8166666666666667,0.7205882352941176,0.765625,68.0,0.8076923076923077,0.9264705882352942,0.863013698630137,68.0,"[[50, 7, 8, 3], [4, 63, 0, 1], [8, 0, 49, 11], [2, 0, 3, 63]]",50,7,8,3,4,63,0,1,8,0,49,11,2,0,3,63,,,,,,,,,,
SVC_Linear,0.8272058823529411,0.8272058823529412,0.8261208973967351,0.8272058823529411,0.8258849604952355,0.7700937461631733,0.7915130568356374,0.03502009379354527,0.13487458229064941,0.7868852459016393,0.7058823529411765,0.7441860465116279,68.0,0.8985507246376812,0.9117647058823529,0.9051094890510949,68.0,0.7857142857142857,0.8088235294117647,0.7971014492753623,68.0,0.8333333333333334,0.8823529411764706,0.8571428571428571,68.0,"[[48, 7, 10, 3], [3, 62, 1, 2], [6, 0, 55, 7], [4, 0, 4, 60]]",48,7,10,3,3,62,1,2,6,0,55,7,4,0,4,60,0.9616294051677494,0.5395878811620162,0.34164376120615664,0.1377793159804458,0.2819621531179306,0.47887386541029847,0.24819850175881508,0.32663907337812026,0.22728569629485137,0.39178153845152847
MLP_Large,0.8235294117647058,0.8235294117647058,0.8229404581728124,0.8235294117647058,0.8211066609789237,0.7661016222060837,0.7611025772316095,0.038975138613977243,0.6045944690704346,0.78125,0.7352941176470589,0.7575757575757576,68.0,0.9130434782608695,0.9264705882352942,0.9197080291970803,68.0,0.8,0.7058823529411765,0.75,68.0,0.7974683544303798,0.9264705882352942,0.8571428571428571,68.0,"[[50, 6, 9, 3], [5, 63, 0, 0], [7, 0, 48, 13], [2, 0, 3, 63]]",50,6,9,3,5,63,0,0,7,0,48,13,2,0,3,63,,,,,,,,,,
StackingEnsemble,0.8235294117647058,0.8235294117647058,0.8218045112781955,0.8235294117647058,0.8214012427628425,0.7655202878953234,0.8007381805768903,0.018972756517158868,11.208327054977417,0.7777777777777778,0.7205882352941176,0.7480916030534351,68.0,0.9,0.9264705882352942,0.9130434782608695,68.0,0.7936507936507936,0.7352941176470589,0.7633587786259542,68.0,0.8157894736842105,0.9117647058823529,0.8611111111111112,68.0,"[[49, 7, 9, 3], [4, 63, 0, 1], [8, 0, 50, 10], [2, 0, 4, 62]]",49,7,9,3,4,63,0,1,8,0,50,10,2,0,4,62,,,,,,,,,,
GP,0.8198529411764706,0.8198529411764706,0.8208974026430194,0.8198529411764706,0.8172737885200362,0.7618800614855659,0.788752346816863,0.033364810365580075,267.4209315776825,0.7777777777777778,0.7205882352941176,0.7480916030534351,68.0,0.9117647058823529,0.9117647058823529,0.9117647058823529,68.0,0.8135593220338984,0.7058823529411765,0.7559055118110236,68.0,0.7804878048780488,0.9411764705882353,0.8533333333333334,68.0,"[[49, 6, 9, 4], [5, 62, 0, 1], [7, 0, 48, 13], [2, 0, 2, 64]]",49,6,9,4,5,62,0,1,7,0,48,13,2,0,2,64,,,,,,,,,,
MLP_Medium,0.8198529411764706,0.8198529411764706,0.818923210651289,0.8198529411764706,0.8186413503577682,0.7602836347470819,0.7583162655743301,0.0095999923941775,0.3623626232147217,0.765625,0.7205882352941176,0.7424242424242424,68.0,0.8955223880597015,0.8823529411764706,0.8888888888888888,68.0,0.7878787878787878,0.7647058823529411,0.7761194029850746,68.0,0.8266666666666667,0.9117647058823529,0.8671328671328671,68.0,"[[49, 6, 10, 3], [6, 60, 0, 2], [8, 0, 52, 8], [1, 1, 4, 62]]",49,6,10,3,6,60,0,2,8,0,52,8,1,1,4,62,,,,,,,,,,
MLP_L2,0.8198529411764706,0.8198529411764706,0.818923210651289,0.8198529411764706,0.8186413503577682,0.7602836347470819,0.7583162655743301,0.0095999923941775,0.3516108989715576,0.765625,0.7205882352941176,0.7424242424242424,68.0,0.8955223880597015,0.8823529411764706,0.8888888888888888,68.0,0.7878787878787878,0.7647058823529411,0.7761194029850746,68.0,0.8266666666666667,0.9117647058823529,0.8671328671328671,68.0,"[[49, 6, 10, 3], [6, 60, 0, 2], [8, 0, 52, 8], [1, 1, 4, 62]]",49,6,10,3,6,60,0,2,8,0,52,8,1,1,4,62,,,,,,,,,,
