Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AA_precision,AA_recall,AA_f1,AA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AA,CM_BB_pred_AB,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AA,CM_BA_pred_AB,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AA,CM_AA_pred_AB,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
LogisticRegression_L2,0.90625,0.90625,0.9131944444444444,0.90625,0.9036239495798319,0.8784381271934221,0.891076923076923,0.037348827441334796,0.030345916748046875,1.0,0.75,0.8571428571428571,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,0.875,0.875,0.875,8.0,"[[6, 0, 1, 1], [0, 8, 0, 0], [0, 0, 8, 0], [0, 1, 0, 7]]",6,0,1,1,0,8,0,0,0,0,8,0,0,1,0,7,0.7344979047775269,0.9245561361312866,0.4796459674835205,0.4424940347671509,0.5903124809265137,0.8161448836326599,0.28325846791267395,0.271942138671875,0.5821533799171448,0.37329134345054626
AdaBoost,0.875,0.875,0.8784722222222222,0.875,0.8748774509803922,0.8344205266636646,0.7661538461538461,0.07928676139523154,0.5797197818756104,0.75,0.75,0.75,8.0,1.0,0.875,0.9333333333333333,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,0.875,0.875,0.875,8.0,"[[6, 0, 1, 1], [1, 7, 0, 0], [0, 0, 8, 0], [1, 0, 0, 7]]",6,0,1,1,1,7,0,0,0,0,8,0,1,0,0,7,0.12715415905398067,0.26860426698701373,0.022026079109702366,0.09172778338271226,0.049558431444425184,0.18073308963192222,0.046304217747222445,0.10302100827745946,0.059867731459299384,0.051003232906262304
KNN_5,0.875,0.875,0.8909722222222223,0.875,0.8685740321769733,0.8410342670623601,0.8904615384615384,0.030169540656628413,0.0637056827545166,1.0,0.625,0.7692307692307693,8.0,0.8,1.0,0.8888888888888888,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,0.875,0.875,0.875,8.0,"[[5, 1, 1, 1], [0, 8, 0, 0], [0, 0, 8, 0], [0, 1, 0, 7]]",5,1,1,1,0,8,0,0,0,0,8,0,0,1,0,7,,,,,,,,,,
LogisticRegression_ElasticNet,0.875,0.875,0.8875,0.875,0.8740079365079365,0.837707816583391,0.868,0.06183314061331921,0.031213760375976562,1.0,0.75,0.8571428571428571,8.0,0.8,1.0,0.8888888888888888,8.0,0.875,0.875,0.875,8.0,0.875,0.875,0.875,8.0,"[[6, 0, 1, 1], [0, 8, 0, 0], [0, 1, 7, 0], [0, 1, 0, 7]]",6,0,1,1,0,8,0,0,0,1,7,0,0,1,0,7,0.6876954436302185,0.7618132829666138,0.4293699860572815,0.33776748180389404,0.566137433052063,0.8539324402809143,0.25707513093948364,0.18383610248565674,0.41647976636886597,0.2573525905609131
LogisticRegression_L1,0.875,0.875,0.8909722222222223,0.875,0.8685740321769733,0.8410342670623601,0.8753846153846153,0.06639312718405502,0.04779243469238281,1.0,0.625,0.7692307692307693,8.0,0.8,1.0,0.8888888888888888,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,0.875,0.875,0.875,8.0,"[[5, 1, 1, 1], [0, 8, 0, 0], [0, 0, 8, 0], [0, 1, 0, 7]]",5,1,1,1,0,8,0,0,0,0,8,0,0,1,0,7,0.5356539487838745,0.8795827627182007,0.3619196116924286,0.3344598710536957,0.562729001045227,0.8780084848403931,0.2936879098415375,0.09950688481330872,0.4265812039375305,0.24706615507602692
KNN_3,0.875,0.875,0.8770833333333334,0.875,0.8695436507936508,0.837707816583391,0.9138461538461538,0.029656814178514453,0.05228734016418457,0.8333333333333334,0.625,0.7142857142857143,8.0,1.0,1.0,1.0,8.0,0.8,1.0,0.8888888888888888,8.0,0.875,0.875,0.875,8.0,"[[5, 0, 2, 1], [0, 8, 0, 0], [0, 0, 8, 0], [1, 0, 0, 7]]",5,0,2,1,0,8,0,0,0,0,8,0,1,0,0,7,,,,,,,,,,
ExtraTrees,0.84375,0.84375,0.8448412698412698,0.84375,0.8360877684407095,0.796871631781041,0.8830769230769231,0.0337621334753113,0.9912159442901611,0.8333333333333334,0.625,0.7142857142857143,8.0,0.8,1.0,0.8888888888888888,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,0.8571428571428571,0.75,0.8,8.0,"[[5, 1, 1, 1], [0, 8, 0, 0], [0, 0, 8, 0], [1, 1, 0, 6]]",5,1,1,1,0,8,0,0,0,0,8,0,1,1,0,6,0.11763117799423786,0.13664666405229292,0.10455807681979434,0.08917987798466269,0.07876689327819708,0.13888528534216305,0.07522393699857344,0.06725719837862713,0.11880224803116339,0.07304864112028824
LinearSVC,0.84375,0.84375,0.8693181818181819,0.84375,0.840334008097166,0.8011103405759895,0.8987692307692307,0.053483614700393235,0.21190285682678223,1.0,0.625,0.7692307692307693,8.0,0.7272727272727273,1.0,0.8421052631578947,8.0,0.875,0.875,0.875,8.0,0.875,0.875,0.875,8.0,"[[5, 1, 1, 1], [0, 8, 0, 0], [0, 1, 7, 0], [0, 1, 0, 7]]",5,1,1,1,0,8,0,0,0,1,7,0,0,1,0,7,,,,,,,,,,
Perceptron,0.8125,0.8125,0.8450126262626263,0.8125,0.8018253353973168,0.7630270261187353,0.844,0.05469311911115061,0.06580018997192383,1.0,0.5,0.6666666666666666,8.0,0.7272727272727273,1.0,0.8421052631578947,8.0,0.7777777777777778,0.875,0.8235294117647058,8.0,0.875,0.875,0.875,8.0,"[[4, 1, 2, 1], [0, 8, 0, 0], [0, 1, 7, 0], [0, 1, 0, 7]]",4,1,2,1,0,8,0,0,0,1,7,0,0,1,0,7,2.7063040733337402,3.8708338737487793,2.4486873149871826,1.9265210628509521,3.647423028945923,4.7836222648620605,1.08339524269104,1.3741968870162964,2.8537025451660156,1.650521993637085
GaussianNB,0.8125,0.8125,0.8541666666666666,0.8125,0.8041666666666667,0.7661308776828738,0.8753846153846153,0.056785697007392485,0.02824568748474121,1.0,0.5,0.6666666666666666,8.0,0.6666666666666666,1.0,0.8,8.0,0.875,0.875,0.875,8.0,0.875,0.875,0.875,8.0,"[[4, 2, 1, 1], [0, 8, 0, 0], [0, 1, 7, 0], [0, 1, 0, 7]]",4,2,1,1,0,8,0,0,0,1,7,0,0,1,0,7,,,,,,,,,,
