Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s
StackingEnsemble,0.8333333333333334,0.8333333333333334,0.8328910808557933,0.8333333333333334,0.8330838947149107,0.777795782518171,0.8179810209424083,0.018353363049121264,6.979375123977661
CatBoost,0.825,0.8250000000000001,0.8248679261727936,0.825,0.82479335369547,0.7667554166428471,0.0,0.0,0.8574178218841553
GaussianProcess,0.8208333333333333,0.8208333333333333,0.8224372176300873,0.8208333333333333,0.8214443197700743,0.7612344692841105,0.8106348167539267,0.025082526679954715,100.29835987091064
VotingEnsemble,0.8208333333333333,0.8208333333333333,0.8204184220619928,0.8208333333333333,0.8204865873473314,0.7611992179715221,0.8012380017452007,0.01769607704533041,6.03764271736145
SVC_RBF,0.8166666666666667,0.8166666666666668,0.8168245041494345,0.8166666666666667,0.8166018714715396,0.7556430193001972,0.8137816317626527,0.03041215845025658,0.20878005027770996
MLP_Large,0.8125,0.8125,0.81223765033938,0.8125,0.8118959642250523,0.7502953132171558,0.8158704188481675,0.01759108252254884,1.2195625305175781
NuSVC,0.8083333333333333,0.8083333333333335,0.8087871737839384,0.8083333333333333,0.8077300181532157,0.7449792279673111,0.8064736038394417,0.017947618147429827,0.32895326614379883
RandomForest,0.8083333333333333,0.8083333333333333,0.8093510816800811,0.8083333333333333,0.80858891443656,0.7445995855203069,0.7970440663176266,0.021270349475576676,1.5602307319641113
GradientBoosting,0.8041666666666667,0.8041666666666667,0.8049444237456532,0.8041666666666667,0.8039357137613545,0.7392483331036391,0.7918411867364747,0.006926600217265668,3.11653995513916
SVC_Linear,0.8041666666666667,0.8041666666666667,0.8046299646525092,0.8041666666666667,0.8041933724497062,0.7390086453634066,0.8179592059336824,0.022769793524986603,0.20255541801452637
ExtraTrees,0.8041666666666667,0.8041666666666667,0.8054688380568322,0.8041666666666667,0.8034115302885747,0.7397970677340417,0.8033376963350787,0.01619285057848633,1.196471929550171
XGBoost,0.8,0.7999999999999999,0.8016681046879494,0.8,0.8002158649431376,0.7337070756453006,0.7918248254799302,0.01750741436297499,1.5696921348571777
HistGradientBoosting,0.8,0.8,0.7993624772313297,0.8,0.7993330448764733,0.7335541120077193,0.7698243891797556,0.034356708234083475,14.695039987564087
Bagging,0.8,0.8,0.8011663048419568,0.8,0.8003758639935987,0.7334521893832306,0.7730148342059338,0.013443781215070156,6.353562355041504
MLP_L2,0.7958333333333333,0.7958333333333334,0.797039110005528,0.7958333333333333,0.7949244153508743,0.7287061199601832,0.7949498254799302,0.020767166474469193,0.9178178310394287
MLP_Medium,0.7958333333333333,0.7958333333333334,0.797039110005528,0.7958333333333333,0.7949244153508743,0.7287061199601832,0.7907667975567192,0.021694543588236834,0.6039834022521973
LogisticRegression_L2,0.7958333333333333,0.7958333333333334,0.795975349969568,0.7958333333333333,0.7947818801682867,0.7284356904402853,0.8138034467713787,0.02263395464960655,0.06289291381835938
LogisticRegression_ElasticNet,0.7916666666666666,0.7916666666666667,0.7916518190262993,0.7916666666666666,0.7904565094762274,0.7229254083621643,0.8127454188481675,0.020914396555785978,0.0796349048614502
LogisticRegression_L1,0.7916666666666666,0.7916666666666667,0.792390197196871,0.7916666666666666,0.7904833965844402,0.7231099158302664,0.8148396596858639,0.022706901386806807,0.07751989364624023
SVC_Poly,0.7875,0.7875000000000001,0.8173922337643983,0.7875,0.7899104885444495,0.7262622484446672,0.7709042321116929,0.01147834885143456,0.2460029125213623
Perceptron,0.7875,0.7875000000000001,0.7959369890857673,0.7875,0.7895591827375331,0.7180475766617209,0.7113983420593368,0.0579440511386211,0.06626081466674805
QDA,0.7833333333333333,0.7833333333333334,0.7821910341692412,0.7833333333333333,0.7825771760943147,0.7112263654625267,0.7719677137870855,0.013863708370345845,0.026059389114379883
LDA,0.7791666666666667,0.7791666666666667,0.7798977654465259,0.7791666666666667,0.7794013974875267,0.7056372312582724,0.8085405759162303,0.031871190208008764,0.026766538619995117
LinearSVC,0.7708333333333334,0.7708333333333334,0.7699000104427737,0.7708333333333334,0.7696969428195181,0.694846671205331,0.7991546684118673,0.0236205501335538,0.28099489212036133
KNN_5,0.7708333333333334,0.7708333333333333,0.7708616283061053,0.7708333333333334,0.7706686705273263,0.6945569975219987,0.7604602966841186,0.016009318372398128,0.06279993057250977
MLP_Small,0.7666666666666667,0.7666666666666667,0.7659284983014565,0.7666666666666667,0.7657974069245255,0.6891920724595908,0.7541666666666667,0.017430232926362976,0.5427472591400146
