Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,AA_precision,AA_recall,AA_f1,AA_support,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_AA_pred_AA,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AB,CM_BB_pred_AA,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AB,CM_BA_pred_AA,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AB,CM_AB_pred_AA,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
StackingEnsemble,0.8333333333333334,0.8333333333333334,0.8328910808557933,0.8333333333333334,0.8330838947149107,0.777795782518171,0.8179810209424083,0.018353363049121264,6.979375123977661,0.7627118644067796,0.75,0.7563025210084033,60.0,0.85,0.85,0.85,60.0,0.8688524590163934,0.8833333333333333,0.8760330578512396,60.0,0.85,0.85,0.85,60.0,"[[45, 6, 4, 5], [6, 51, 0, 3], [5, 1, 53, 1], [3, 2, 4, 51]]",45,6,4,5,6,51,0,3,5,1,53,1,3,2,4,51,,,,,,,,,,
CatBoost,0.825,0.8250000000000001,0.8248679261727936,0.825,0.82479335369547,0.7667554166428471,0.0,0.0,0.8574178218841553,0.7931034482758621,0.7666666666666667,0.7796610169491526,60.0,0.847457627118644,0.8333333333333334,0.8403361344537815,60.0,0.8524590163934426,0.8666666666666667,0.859504132231405,60.0,0.8064516129032258,0.8333333333333334,0.819672131147541,60.0,"[[46, 6, 4, 4], [5, 50, 1, 4], [3, 1, 52, 4], [4, 2, 4, 50]]",46,6,4,4,5,50,1,4,3,1,52,4,4,2,4,50,22.240081888702484,11.595339225009772,7.947627851609478,5.114829038557294,4.449988302984906,12.056805953571823,7.235135728657965,5.910893697317495,7.697975729057844,15.75132258453094
GaussianProcess,0.8208333333333333,0.8208333333333333,0.8224372176300873,0.8208333333333333,0.8214443197700743,0.7612344692841105,0.8106348167539267,0.025082526679954715,100.29835987091064,0.746031746031746,0.7833333333333333,0.7642276422764228,60.0,0.864406779661017,0.85,0.8571428571428571,60.0,0.8793103448275862,0.85,0.864406779661017,60.0,0.8,0.8,0.8,60.0,"[[47, 6, 3, 4], [6, 51, 0, 3], [4, 0, 51, 5], [6, 2, 4, 48]]",47,6,3,4,6,51,0,3,4,0,51,5,6,2,4,48,,,,,,,,,,
VotingEnsemble,0.8208333333333333,0.8208333333333333,0.8204184220619928,0.8208333333333333,0.8204865873473314,0.7611992179715221,0.8012380017452007,0.01769607704533041,6.03764271736145,0.7586206896551724,0.7333333333333333,0.7457627118644068,60.0,0.8225806451612904,0.85,0.8360655737704918,60.0,0.864406779661017,0.85,0.8571428571428571,60.0,0.8360655737704918,0.85,0.8429752066115702,60.0,"[[44, 7, 4, 5], [6, 51, 1, 2], [5, 1, 51, 3], [3, 3, 3, 51]]",44,7,4,5,6,51,1,2,5,1,51,3,3,3,3,51,,,,,,,,,,
SVC_RBF,0.8166666666666667,0.8166666666666668,0.8168245041494345,0.8166666666666667,0.8166018714715396,0.7556430193001972,0.8137816317626527,0.03041215845025658,0.20878005027770996,0.7627118644067796,0.75,0.7563025210084033,60.0,0.8360655737704918,0.85,0.8429752066115702,60.0,0.8620689655172413,0.8333333333333334,0.847457627118644,60.0,0.8064516129032258,0.8333333333333334,0.819672131147541,60.0,"[[45, 7, 4, 4], [6, 51, 0, 3], [5, 0, 50, 5], [3, 3, 4, 50]]",45,7,4,4,6,51,0,3,5,0,50,5,3,3,4,50,,,,,,,,,,
MLP_Large,0.8125,0.8125,0.81223765033938,0.8125,0.8118959642250523,0.7502953132171558,0.8158704188481675,0.01759108252254884,1.2195625305175781,0.7857142857142857,0.7333333333333333,0.7586206896551724,60.0,0.847457627118644,0.8333333333333334,0.8403361344537815,60.0,0.8125,0.8666666666666667,0.8387096774193549,60.0,0.8032786885245902,0.8166666666666667,0.8099173553719008,60.0,"[[44, 6, 6, 4], [6, 50, 0, 4], [4, 0, 52, 4], [2, 3, 6, 49]]",44,6,6,4,6,50,0,4,4,0,52,4,2,3,6,49,,,,,,,,,,
NuSVC,0.8083333333333333,0.8083333333333335,0.8087871737839384,0.8083333333333333,0.8077300181532157,0.7449792279673111,0.8064736038394417,0.017947618147429827,0.32895326614379883,0.7678571428571429,0.7166666666666667,0.7413793103448276,60.0,0.8524590163934426,0.8666666666666667,0.859504132231405,60.0,0.8421052631578947,0.8,0.8205128205128205,60.0,0.7727272727272727,0.85,0.8095238095238095,60.0,"[[43, 7, 5, 5], [5, 52, 0, 3], [5, 0, 48, 7], [3, 2, 4, 51]]",43,7,5,5,5,52,0,3,5,0,48,7,3,2,4,51,,,,,,,,,,
RandomForest,0.8083333333333333,0.8083333333333333,0.8093510816800811,0.8083333333333333,0.80858891443656,0.7445995855203069,0.7970440663176266,0.021270349475576676,1.5602307319641113,0.7540983606557377,0.7666666666666667,0.7603305785123967,60.0,0.7936507936507936,0.8333333333333334,0.8130081300813008,60.0,0.8793103448275862,0.85,0.864406779661017,60.0,0.8103448275862069,0.7833333333333333,0.7966101694915254,60.0,"[[46, 8, 2, 4], [7, 50, 1, 2], [3, 1, 51, 5], [5, 4, 4, 47]]",46,8,2,4,7,50,1,2,3,1,51,5,5,4,4,47,0.2107257389761519,0.11709400497285026,0.09606704911661447,0.046987210905194345,0.05420584107557405,0.08888813751659881,0.12313711677332957,0.07304441206112601,0.07205656118683405,0.11779392741572656
GradientBoosting,0.8041666666666667,0.8041666666666667,0.8049444237456532,0.8041666666666667,0.8039357137613545,0.7392483331036391,0.7918411867364747,0.006926600217265668,3.11653995513916,0.7166666666666667,0.7166666666666667,0.7166666666666667,60.0,0.8545454545454545,0.7833333333333333,0.8173913043478261,60.0,0.8360655737704918,0.85,0.8429752066115702,60.0,0.8125,0.8666666666666667,0.8387096774193549,60.0,"[[43, 6, 6, 5], [8, 47, 1, 4], [5, 1, 51, 3], [4, 1, 3, 52]]",43,6,6,5,8,47,1,4,5,1,51,3,4,1,3,52,0.2946046873419215,0.08788529789377204,0.047059659980551574,0.015213116503353087,0.03671475086753593,0.15659686249969504,0.10586795495421583,0.05082459862392706,0.05999481969709692,0.14523825163793108
SVC_Linear,0.8041666666666667,0.8041666666666667,0.8046299646525092,0.8041666666666667,0.8041933724497062,0.7390086453634066,0.8179592059336824,0.022769793524986603,0.20255541801452637,0.7377049180327869,0.75,0.743801652892562,60.0,0.8421052631578947,0.8,0.8205128205128205,60.0,0.8387096774193549,0.8666666666666667,0.8524590163934426,60.0,0.8,0.8,0.8,60.0,"[[45, 6, 6, 3], [7, 48, 0, 5], [4, 0, 52, 4], [5, 3, 4, 48]]",45,6,6,3,7,48,0,5,4,0,52,4,5,3,4,48,0.9763303727855153,0.6281673905413853,0.36273418505117955,0.16897394909005223,0.35902963817452876,0.2876950826442192,0.40931669804925314,0.22215474805689328,0.3229474302838456,0.6073022929418727
