Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,AA_precision,AA_recall,AA_f1,AA_support,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_AA_pred_AA,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AB,CM_BB_pred_AA,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AB,CM_BA_pred_AA,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AB,CM_AB_pred_AA,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
GaussianProcess,0.8382352941176471,0.8382352941176471,0.840832542864406,0.8382352941176471,0.8377358887757109,0.7854753575814768,0.8072025942993685,0.009253559075470515,251.65885877609253,0.8360655737704918,0.75,0.7906976744186046,68.0,0.8591549295774648,0.8970588235294118,0.8776978417266187,68.0,0.8888888888888888,0.8235294117647058,0.8549618320610687,68.0,0.7792207792207793,0.8823529411764706,0.8275862068965517,68.0,"[[51, 9, 3, 5], [3, 61, 0, 4], [4, 0, 56, 8], [3, 1, 4, 60]]",51,9,3,5,3,61,0,4,4,0,56,8,3,1,4,60,,,,,,,,,,
RandomForest,0.8235294117647058,0.823529411764706,0.824454494817398,0.8235294117647058,0.8228393672055645,0.7654235274464891,0.7841269841269841,0.028953359216913107,0.7694404125213623,0.8064516129032258,0.7352941176470589,0.7692307692307693,68.0,0.8108108108108109,0.8823529411764706,0.8450704225352113,68.0,0.875,0.8235294117647058,0.8484848484848485,68.0,0.8055555555555556,0.8529411764705882,0.8285714285714286,68.0,"[[50, 10, 4, 4], [4, 60, 0, 4], [5, 1, 56, 6], [3, 3, 4, 58]]",50,10,4,4,4,60,0,4,5,1,56,6,3,3,4,58,0.20154756593678452,0.14045257075716736,0.07326267117227121,0.046519777758364134,0.06304003479650838,0.09761594316119501,0.08458070770058766,0.09933221883726122,0.0779032809116656,0.11574522896819488
CatBoost,0.8235294117647058,0.8235294117647058,0.8285117056856188,0.8235294117647058,0.8241442244403379,0.7659076969727007,0.0,0.0,0.7624251842498779,0.8153846153846154,0.7794117647058824,0.7969924812030075,68.0,0.855072463768116,0.8676470588235294,0.8613138686131386,68.0,0.9,0.7941176470588235,0.84375,68.0,0.7435897435897436,0.8529411764705882,0.7945205479452054,68.0,"[[53, 7, 2, 6], [4, 59, 0, 5], [5, 0, 54, 9], [3, 3, 4, 58]]",53,7,2,6,4,59,0,5,5,0,54,9,3,3,4,58,21.015817805610205,11.723364536479115,7.076890759196393,6.28455697037955,9.411951813234603,11.405116385188382,6.605821331262753,6.35267600951978,7.6410050946691985,12.482799294460044
SVC_RBF,0.8198529411764706,0.8198529411764707,0.8221959027739265,0.8198529411764706,0.8181248421257166,0.7616040979653981,0.8044290834613415,0.020719366657246524,0.12991976737976074,0.8245614035087719,0.6911764705882353,0.752,68.0,0.8356164383561644,0.8970588235294118,0.8652482269503546,68.0,0.859375,0.8088235294117647,0.8333333333333334,68.0,0.7692307692307693,0.8823529411764706,0.821917808219178,68.0,"[[47, 11, 5, 5], [3, 61, 0, 4], [4, 0, 55, 9], [3, 1, 4, 60]]",47,11,5,5,3,61,0,4,4,0,55,9,3,1,4,60,,,,,,,,,,
KNN_7,0.8198529411764706,0.8198529411764706,0.8277023574856496,0.8198529411764706,0.8180863409039709,0.7634310203572171,0.7749231950844854,0.01416649958532168,0.08193516731262207,0.8518518518518519,0.6764705882352942,0.7540983606557377,68.0,0.8356164383561644,0.8970588235294118,0.8652482269503546,68.0,0.8852459016393442,0.7941176470588235,0.8372093023255814,68.0,0.7380952380952381,0.9117647058823529,0.8157894736842105,68.0,"[[46, 10, 5, 7], [2, 61, 0, 5], [4, 0, 54, 10], [2, 2, 2, 62]]",46,10,5,7,2,61,0,5,4,0,54,10,2,2,2,62,,,,,,,,,,
Bagging,0.8161764705882353,0.8161764705882353,0.8164224664224664,0.8161764705882353,0.8158875449493298,0.755160584422747,0.7749018603857313,0.028511787200593303,8.53864860534668,0.7846153846153846,0.75,0.7669172932330827,68.0,0.8571428571428571,0.8823529411764706,0.8695652173913043,68.0,0.8461538461538461,0.8088235294117647,0.8270676691729323,68.0,0.7777777777777778,0.8235294117647058,0.8,68.0,"[[51, 7, 4, 6], [4, 60, 0, 4], [6, 1, 55, 6], [4, 2, 6, 56]]",51,7,4,6,4,60,0,4,6,1,55,6,4,2,6,56,,,,,,,,,,
SVC_Linear,0.8161764705882353,0.8161764705882353,0.8172292877037739,0.8161764705882353,0.815629889232622,0.7555694792732615,0.7896953405017921,0.0359826543634266,0.1392655372619629,0.819672131147541,0.7352941176470589,0.7751937984496124,68.0,0.8591549295774648,0.8970588235294118,0.8776978417266187,68.0,0.8333333333333334,0.8088235294117647,0.8208955223880597,68.0,0.7567567567567568,0.8235294117647058,0.7887323943661971,68.0,"[[50, 9, 5, 4], [3, 61, 0, 4], [3, 0, 55, 10], [5, 1, 6, 56]]",50,9,5,4,3,61,0,4,3,0,55,10,5,1,6,56,0.8124143833169493,0.5806053651784611,0.44127429212630687,0.17382605090881031,0.30422182499286304,0.4299465149170408,0.24455410632892108,0.2670007936740923,0.21067409377258184,0.4595810203591813
StackingEnsemble,0.8161764705882353,0.8161764705882354,0.8167746006798712,0.8161764705882353,0.8146749454030051,0.7560200316721714,0.8044333504010923,0.016830984818082203,8.189506530761719,0.7966101694915254,0.6911764705882353,0.7401574803149606,68.0,0.8356164383561644,0.8970588235294118,0.8652482269503546,68.0,0.8615384615384616,0.8235294117647058,0.8421052631578947,68.0,0.7733333333333333,0.8529411764705882,0.8111888111888111,68.0,"[[47, 10, 6, 5], [2, 61, 0, 5], [5, 0, 56, 7], [5, 2, 3, 58]]",47,10,6,5,2,61,0,5,5,0,56,7,5,2,3,58,,,,,,,,,,
VotingEnsemble,0.8125,0.8125,0.8145277661406695,0.8125,0.8119890729913963,0.7509886512593966,0.7915130568356374,0.020890513459156053,9.810649156570435,0.8064516129032258,0.7352941176470589,0.7692307692307693,68.0,0.8571428571428571,0.8823529411764706,0.8695652173913043,68.0,0.8412698412698413,0.7794117647058824,0.8091603053435115,68.0,0.7532467532467533,0.8529411764705882,0.8,68.0,"[[50, 8, 6, 4], [3, 60, 0, 5], [5, 0, 53, 10], [4, 2, 4, 58]]",50,8,6,4,3,60,0,5,5,0,53,10,4,2,4,58,,,,,,,,,,
SVC_Poly,0.8125,0.8125,0.8335123523093448,0.8125,0.8117907103322564,0.758537296232339,0.7518390510325994,0.01358673217410757,0.16501641273498535,0.8333333333333334,0.6617647058823529,0.7377049180327869,68.0,0.9047619047619048,0.8382352941176471,0.8702290076335878,68.0,0.9122807017543859,0.7647058823529411,0.832,68.0,0.6836734693877551,0.9852941176470589,0.8072289156626506,68.0,"[[45, 6, 5, 12], [4, 57, 0, 7], [4, 0, 52, 12], [1, 0, 0, 67]]",45,6,5,12,4,57,0,7,4,0,52,12,1,0,0,67,,,,,,,,,,
