Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s
Bagging,0.85,0.8500000000000001,0.8562271518777003,0.85,0.850356036385448,0.8016905286654681,0.783447862129145,0.040482110282163496,6.128249406814575
VotingEnsemble,0.8416666666666667,0.8416666666666668,0.8495880495880497,0.8416666666666667,0.8416619907978903,0.7916055323134338,0.8002126963350786,0.023473722329248926,6.10713005065918
CatBoost,0.8375,0.8375,0.8410791006799128,0.8375,0.8374349945781976,0.7845328421680217,0.0,0.0,0.7538330554962158
StackingEnsemble,0.8375,0.8375,0.8440057049015232,0.8375,0.8377913173738947,0.7854269593630577,0.8065063263525305,0.025684152770229982,7.046109676361084
RandomForest,0.8375,0.8375,0.8422827293598782,0.8375,0.8371890777109621,0.7851164092163883,0.793924520069808,0.03860066395494763,1.5492777824401855
ExtraTrees,0.8333333333333334,0.8333333333333334,0.8382048181343955,0.8333333333333334,0.8333379915104722,0.7794213473136495,0.7865892233856893,0.022249065798207568,1.1574528217315674
GaussianProcess,0.8333333333333334,0.8333333333333334,0.8410509721793067,0.8333333333333334,0.8342529622021454,0.7798565553959439,0.8064954188481674,0.020575384378575822,114.05972528457642
XGBoost,0.8333333333333334,0.8333333333333333,0.8434937449556094,0.8333333333333334,0.8338682146491476,0.7808748827220199,0.7834478621291449,0.030790107417950456,1.5973126888275146
HistGradientBoosting,0.8291666666666667,0.8291666666666666,0.8412234223714299,0.8291666666666667,0.8301836086672153,0.7755868056726176,0.775065445026178,0.041665204692789504,14.633744239807129
SVC_RBF,0.825,0.825,0.8326432129514321,0.825,0.8260097394911566,0.7686799707764543,0.8085896596858639,0.017561993217772607,0.1968686580657959
KNN_7,0.8208333333333333,0.8208333333333333,0.8315909090909092,0.8208333333333333,0.8216750841750842,0.7642131779863603,0.797038612565445,0.023275461684996987,0.07285785675048828
GradientBoosting,0.8208333333333333,0.8208333333333333,0.8358909608909609,0.8208333333333333,0.8213046782080085,0.7663983374306844,0.7886998254799302,0.015776701184335086,3.3808372020721436
SVC_Linear,0.8208333333333333,0.8208333333333333,0.8276192374876585,0.8208333333333333,0.8218156073478412,0.7628258650011055,0.8085678446771378,0.025413972554732617,0.20762991905212402
MLP_Large,0.8125,0.8125,0.8220099807599808,0.8125,0.8136040897679815,0.7526353531584874,0.790799520069808,0.03406034989706974,1.0961551666259766
LinearSVC,0.8125,0.8125,0.8193384169354285,0.8125,0.8131541660953426,0.7518995534240904,0.7960296684118674,0.03594064893941106,0.2740623950958252
NuSVC,0.8125,0.8125,0.8210827971758355,0.8125,0.8129700678708754,0.7527406438423702,0.8075207242582898,0.024499354752230043,0.2772634029388428
LDA,0.8125,0.8125,0.8222843583994343,0.8125,0.8134591142931793,0.7526704451437336,0.7981348167539266,0.029778637570541843,0.027420759201049805
LogisticRegression_L1,0.8125,0.8125,0.8196874757291444,0.8125,0.8131455544801189,0.7520745480859484,0.8096204188481677,0.022135903375525352,0.08526754379272461
KNN_3,0.8083333333333333,0.8083333333333333,0.814198453296814,0.8083333333333333,0.8070441003748774,0.7472344854292303,0.7468368237347296,0.02641346266340702,0.15942001342773438
LogisticRegression_ElasticNet,0.8083333333333333,0.8083333333333333,0.8150446269025998,0.8083333333333333,0.809446264328005,0.7459828937315326,0.8096313263525305,0.020492283502208913,0.09900021553039551
LogisticRegression_L2,0.8041666666666667,0.8041666666666667,0.8100574712643679,0.8041666666666667,0.8053214849378989,0.7401234576510471,0.8064954188481674,0.02469301199717911,0.06036233901977539
MLP_L2,0.8,0.8,0.8084552818374264,0.8,0.8013661641206923,0.7353275496149551,0.7824280104712042,0.03994618795079344,0.7007172107696533
RidgeClassifier,0.8,0.7999999999999999,0.8049713233492977,0.8,0.8011761812112372,0.734166541335922,0.7541666666666667,0.043642253955973195,0.02908468246459961
MLP_Medium,0.8,0.8,0.8084552818374264,0.8,0.8013661641206923,0.7353275496149551,0.7824280104712042,0.03994618795079344,0.6968011856079102
KNN_5,0.7958333333333333,0.7958333333333333,0.8092822229122053,0.7958333333333333,0.7952680976436108,0.7326615048673099,0.7761234729493893,0.02836240587993816,0.0652627944946289
SGDClassifier,0.7833333333333333,0.7833333333333332,0.7929853964250382,0.7833333333333333,0.7852931876999616,0.7130780900370474,0.7395342495636997,0.03169684171611131,0.07403016090393066
SVC_Poly,0.7833333333333333,0.7833333333333333,0.8196428294354561,0.7833333333333333,0.784723815364029,0.7238052443082812,0.7583660558464225,0.020538213792185966,0.2620513439178467
QDA,0.775,0.7749999999999999,0.7748066795682361,0.775,0.7746391689263739,0.7001620933216123,0.7709260471204188,0.03280358086280777,0.02581048011779785
AdaBoost,0.7625,0.7625,0.7849076081275137,0.7625,0.7635596840817922,0.6898148294738728,0.7646651396160558,0.021460916065844368,0.7288479804992676
GaussianNB,0.7625,0.7625,0.7688285103139596,0.7625,0.7624472649142103,0.6855746364425762,0.7426483420593369,0.04036682130383875,0.025665760040283203
PassiveAggressive,0.7625,0.7625,0.7736392938246283,0.7625,0.7629669998091051,0.6864068001731622,0.6850785340314136,0.05209095203909977,0.0742957592010498
NearestCentroid,0.7333333333333333,0.7333333333333334,0.7370311361616615,0.7333333333333333,0.7320431051343577,0.6464979422789026,0.7290684991273997,0.03518322686613023,0.19199132919311523
MLP_Small,0.7333333333333333,0.7333333333333334,0.7402367721192395,0.7333333333333333,0.7342734805301651,0.6459564362294415,0.7436681937172774,0.0355169529991526,0.7283604145050049
DecisionTree,0.7291666666666666,0.7291666666666667,0.7324807376531514,0.7291666666666666,0.7287386695225677,0.6401348079500594,0.6945407940663176,0.01831915601309688,0.0416257381439209
ExtraTree,0.725,0.7250000000000001,0.7243313201035376,0.725,0.7245179063360881,0.6334213146261567,0.6558900523560209,0.020713738489212933,0.02740025520324707
Perceptron,0.65,0.6499999999999999,0.699314354670616,0.65,0.6169223553554295,0.5590568049317552,0.6579570244328097,0.06681008830878472,0.06343460083007812
DummyMostFrequent,0.25,0.25,0.0625,0.25,0.1,0.0,0.2510471204188482,0.0005235602094240787,0.015291213989257812
DummyStratified,0.20416666666666666,0.20416666666666666,0.20467379385964912,0.20416666666666666,0.20418809412498054,-0.06115784676797311,0.27191863001745203,0.029465045817354624,0.02568507194519043
