Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AA_precision,AA_recall,AA_f1,AA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AA,CM_BB_pred_AB,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AA,CM_BA_pred_AB,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AA,CM_AA_pred_AB,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
SVC_Linear,0.9375,0.9375,0.95,0.9375,0.9365079365079365,0.9214785982417301,0.8590769230769231,0.06467835759223022,0.0347437858581543,0.8,1.0,0.8888888888888888,8.0,1.0,1.0,1.0,8.0,1.0,0.75,0.8571428571428571,8.0,1.0,1.0,1.0,8.0,"[[8, 0, 0, 0], [0, 8, 0, 0], [2, 0, 6, 0], [0, 0, 0, 8]]",8,0,0,0,0,8,0,0,2,0,6,0,0,0,0,8,0.5685692722800015,0.7032633801603185,0.3718288708401696,0.29745386315883643,0.6861860576213664,0.7585591920450133,0.3972439426081867,0.15454453881284722,0.39914137018084767,0.4700021731039075
SVC_RBF,0.9375,0.9375,0.95,0.9375,0.9365079365079365,0.9214785982417301,0.8821538461538461,0.056615384615384616,0.03464770317077637,0.8,1.0,0.8888888888888888,8.0,1.0,1.0,1.0,8.0,1.0,0.75,0.8571428571428571,8.0,1.0,1.0,1.0,8.0,"[[8, 0, 0, 0], [0, 8, 0, 0], [2, 0, 6, 0], [0, 0, 0, 8]]",8,0,0,0,0,8,0,0,2,0,6,0,0,0,0,8,,,,,,,,,,
StackingEnsemble,0.9375,0.9375,0.95,0.9375,0.9365079365079365,0.9214785982417301,0.8667692307692307,0.06937489271807902,4.650177240371704,0.8,1.0,0.8888888888888888,8.0,1.0,1.0,1.0,8.0,1.0,0.75,0.8571428571428571,8.0,1.0,1.0,1.0,8.0,"[[8, 0, 0, 0], [0, 8, 0, 0], [2, 0, 6, 0], [0, 0, 0, 8]]",8,0,0,0,0,8,0,0,2,0,6,0,0,0,0,8,,,,,,,,,,
KNN_5,0.9375,0.9375,0.95,0.9375,0.9365079365079365,0.9214785982417301,0.844,0.033460742696108034,0.0685722827911377,0.8,1.0,0.8888888888888888,8.0,1.0,1.0,1.0,8.0,1.0,0.75,0.8571428571428571,8.0,1.0,1.0,1.0,8.0,"[[8, 0, 0, 0], [0, 8, 0, 0], [2, 0, 6, 0], [0, 0, 0, 8]]",8,0,0,0,0,8,0,0,2,0,6,0,0,0,0,8,,,,,,,,,,
ExtraTrees,0.90625,0.90625,0.9166666666666666,0.90625,0.9054621848739495,0.8784381271934221,0.8203076923076923,0.03080613171885247,1.0097160339355469,0.7777777777777778,0.875,0.8235294117647058,8.0,1.0,1.0,1.0,8.0,1.0,0.75,0.8571428571428571,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,"[[7, 0, 0, 1], [0, 8, 0, 0], [2, 0, 6, 0], [0, 0, 0, 8]]",7,0,0,1,0,8,0,0,2,0,6,0,0,0,0,8,0.11004615853267541,0.14380799363351932,0.11778071675787827,0.08097857059220281,0.10236508594313422,0.12779390252140382,0.0816739113069615,0.07120629820169257,0.08799408492633203,0.07635327758419992
SGDClassifier,0.90625,0.90625,0.9318181818181819,0.90625,0.902834008097166,0.8854377448471462,0.828,0.019997632996026957,0.0644371509552002,0.7272727272727273,1.0,0.8421052631578947,8.0,1.0,1.0,1.0,8.0,1.0,0.625,0.7692307692307693,8.0,1.0,1.0,1.0,8.0,"[[8, 0, 0, 0], [0, 8, 0, 0], [3, 0, 5, 0], [0, 0, 0, 8]]",8,0,0,0,0,8,0,0,3,0,5,0,0,0,0,8,8.402179718017578,14.534710884094238,8.517619132995605,3.614839553833008,9.210972785949707,13.170573234558105,7.832910537719727,3.1430888175964355,7.267099380493164,8.7116060256958
LinearSVC,0.90625,0.90625,0.9222222222222223,0.90625,0.9051353874883286,0.8807528561790454,0.8587692307692307,0.04187781607593621,0.21609210968017578,0.8,1.0,0.8888888888888888,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,1.0,0.75,0.8571428571428571,8.0,1.0,0.875,0.9333333333333333,8.0,"[[8, 0, 0, 0], [0, 8, 0, 0], [2, 0, 6, 0], [0, 1, 0, 7]]",8,0,0,0,0,8,0,0,2,0,6,0,0,1,0,7,,,,,,,,,,
LogisticRegression_L1,0.90625,0.90625,0.9318181818181819,0.90625,0.902834008097166,0.8854377448471462,0.8587692307692307,0.06934622850800196,0.0510866641998291,0.7272727272727273,1.0,0.8421052631578947,8.0,1.0,1.0,1.0,8.0,1.0,0.625,0.7692307692307693,8.0,1.0,1.0,1.0,8.0,"[[8, 0, 0, 0], [0, 8, 0, 0], [3, 0, 5, 0], [0, 0, 0, 8]]",8,0,0,0,0,8,0,0,3,0,5,0,0,0,0,8,0.503507137298584,0.831065833568573,0.4188128113746643,0.2484552264213562,0.6397070288658142,0.918976366519928,0.39364153146743774,0.11429612338542938,0.28109848499298096,0.20757155120372772
VotingEnsemble,0.90625,0.90625,0.9166666666666666,0.90625,0.9054621848739495,0.8784381271934221,0.8116923076923076,0.0487146017743705,1.9293107986450195,0.7777777777777778,0.875,0.8235294117647058,8.0,1.0,1.0,1.0,8.0,1.0,0.75,0.8571428571428571,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0,"[[7, 0, 0, 1], [0, 8, 0, 0], [2, 0, 6, 0], [0, 0, 0, 8]]",7,0,0,1,0,8,0,0,2,0,6,0,0,0,0,8,,,,,,,,,,
LogisticRegression_L2,0.90625,0.90625,0.9318181818181819,0.90625,0.902834008097166,0.8854377448471462,0.8584615384615384,0.0655680684299388,0.031717777252197266,0.7272727272727273,1.0,0.8421052631578947,8.0,1.0,1.0,1.0,8.0,1.0,0.625,0.7692307692307693,8.0,1.0,1.0,1.0,8.0,"[[8, 0, 0, 0], [0, 8, 0, 0], [3, 0, 5, 0], [0, 0, 0, 8]]",8,0,0,0,0,8,0,0,3,0,5,0,0,0,0,8,0.681744396686554,0.9352251291275024,0.5279759168624878,0.32837846875190735,0.6627383828163147,0.8440212607383728,0.4072839319705963,0.19766512513160706,0.4294338822364807,0.33763763308525085
