Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,AA_precision,AA_recall,AA_f1,AA_support,BB_precision,BB_recall,BB_f1,BB_support,BA_precision,BA_recall,BA_f1,BA_support,AB_precision,AB_recall,AB_f1,AB_support,Confusion_Matrix,CM_AA_pred_AA,CM_AA_pred_BB,CM_AA_pred_BA,CM_AA_pred_AB,CM_BB_pred_AA,CM_BB_pred_BB,CM_BB_pred_BA,CM_BB_pred_AB,CM_BA_pred_AA,CM_BA_pred_BB,CM_BA_pred_BA,CM_BA_pred_AB,CM_AB_pred_AA,CM_AB_pred_BB,CM_AB_pred_BA,CM_AB_pred_AB,FeatImp_1,FeatImp_2,FeatImp_3,FeatImp_4,FeatImp_5,FeatImp_6,FeatImp_7,FeatImp_8,FeatImp_9,FeatImp_10
Bagging,0.825,0.8250000000000001,0.8286690433749258,0.825,0.8249055675884944,0.7677871739284837,0.7865783158813263,0.018868686843307995,6.125135183334351,0.7777777777777778,0.8166666666666667,0.7967479674796748,60.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,60.0,0.8823529411764706,0.75,0.8108108108108109,60.0,0.7878787878787878,0.8666666666666667,0.8253968253968254,60.0,"[[49, 4, 4, 3], [6, 52, 0, 2], [5, 1, 45, 9], [3, 3, 2, 52]]",49,4,4,3,6,52,0,2,5,1,45,9,3,3,2,52,,,,,,,,,,
CatBoost,0.8166666666666667,0.8166666666666667,0.8310531185502106,0.8166666666666667,0.816709438765994,0.7598773350671201,0.0,0.0,1.158144474029541,0.746268656716418,0.8333333333333334,0.7874015748031497,60.0,0.9433962264150944,0.8333333333333334,0.8849557522123894,60.0,0.8913043478260869,0.6833333333333333,0.7735849056603774,60.0,0.7432432432432432,0.9166666666666666,0.8208955223880597,60.0,"[[50, 2, 4, 4], [8, 50, 0, 2], [5, 1, 41, 13], [4, 0, 1, 55]]",50,2,4,4,8,50,0,2,5,1,41,13,4,0,1,55,22.630683570728706,12.50503504358017,9.359436181998008,3.248491328167028,7.3304740173938185,10.764586349963137,8.004054945381979,7.527573460934339,6.985668161409904,11.643996940442898
VotingEnsemble,0.8166666666666667,0.8166666666666668,0.8236930478644663,0.8166666666666667,0.8156232408779043,0.7580690715756185,0.793902705061082,0.022837980415203532,5.958415985107422,0.7846153846153846,0.85,0.816,60.0,0.8688524590163934,0.8833333333333333,0.8760330578512396,60.0,0.8913043478260869,0.6833333333333333,0.7735849056603774,60.0,0.75,0.85,0.796875,60.0,"[[51, 2, 3, 4], [6, 53, 0, 1], [5, 2, 41, 12], [3, 4, 2, 51]]",51,2,3,4,6,53,0,1,5,2,41,12,3,4,2,51,,,,,,,,,,
RandomForest,0.8125,0.8125,0.8165133477633477,0.8125,0.8113627564847076,0.7517246808600527,0.7918193717277486,0.015924000066914152,1.5382962226867676,0.7619047619047619,0.8,0.7804878048780488,60.0,0.8412698412698413,0.8833333333333333,0.8617886178861789,60.0,0.875,0.7,0.7777777777777778,60.0,0.7878787878787878,0.8666666666666667,0.8253968253968254,60.0,"[[48, 4, 5, 3], [6, 53, 0, 1], [7, 1, 42, 10], [2, 5, 1, 52]]",48,4,5,3,6,53,0,1,7,1,42,10,2,5,1,52,0.20566125960061726,0.13297440848124634,0.0767405192012969,0.044911524520516444,0.05686967517007911,0.09978217735119095,0.09434717701753566,0.08010674242807976,0.08118822835069221,0.12741828787874535
ExtraTrees,0.8083333333333333,0.8083333333333335,0.8138579185816287,0.8083333333333333,0.8072225327140177,0.7466079027821106,0.806446335078534,0.03296409514134593,1.1434338092803955,0.819672131147541,0.8333333333333334,0.8264462809917356,60.0,0.828125,0.8833333333333333,0.8548387096774194,60.0,0.8723404255319149,0.6833333333333333,0.7663551401869159,60.0,0.7352941176470589,0.8333333333333334,0.78125,60.0,"[[50, 2, 4, 4], [5, 53, 0, 2], [6, 1, 41, 12], [0, 8, 2, 50]]",50,2,4,4,5,53,0,2,6,1,41,12,0,8,2,50,0.18463161404002348,0.12973116237034102,0.09499556559312855,0.06293353564643829,0.07236364131039681,0.09646531773625151,0.09363860208369526,0.08701005066078811,0.08290353286618186,0.09532697769275511
XGBoost,0.8083333333333333,0.8083333333333333,0.8206444081444081,0.8083333333333333,0.8077546258853515,0.7484573701690035,0.7865783158813264,0.019721084613628304,1.5983922481536865,0.7846153846153846,0.85,0.816,60.0,0.8928571428571429,0.8333333333333334,0.8620689655172413,60.0,0.8888888888888888,0.6666666666666666,0.7619047619047619,60.0,0.7162162162162162,0.8833333333333333,0.7910447761194029,60.0,"[[51, 2, 3, 4], [6, 50, 0, 4], [5, 2, 40, 13], [3, 2, 2, 53]]",51,2,3,4,6,50,0,4,5,2,40,13,3,2,2,53,0.2021833211183548,0.10807012021541595,0.05730938911437988,0.032014064490795135,0.05487988516688347,0.16143716871738434,0.072730153799057,0.0766492709517479,0.07181429117918015,0.1629123091697693
StackingEnsemble,0.8041666666666667,0.8041666666666667,0.8158696747557824,0.8041666666666667,0.8047942616353577,0.7419696497458966,0.8106348167539267,0.027180494142077623,6.966734170913696,0.7352941176470589,0.8333333333333334,0.78125,60.0,0.9272727272727272,0.85,0.8869565217391304,60.0,0.8723404255319149,0.6833333333333333,0.7663551401869159,60.0,0.7285714285714285,0.85,0.7846153846153846,60.0,"[[50, 2, 4, 4], [8, 51, 0, 1], [5, 0, 41, 14], [5, 2, 2, 51]]",50,2,4,4,8,51,0,1,5,0,41,14,5,2,2,51,,,,,,,,,,
GradientBoosting,0.8041666666666667,0.8041666666666666,0.8114732681022403,0.8041666666666667,0.8023837926131894,0.7423683019254312,0.7907558900523559,0.024826900836384346,3.3102047443389893,0.7704918032786885,0.7833333333333333,0.7768595041322314,60.0,0.9122807017543859,0.8666666666666667,0.8888888888888888,60.0,0.8297872340425532,0.65,0.7289719626168224,60.0,0.7333333333333333,0.9166666666666666,0.8148148148148148,60.0,"[[47, 2, 7, 4], [5, 52, 0, 3], [7, 1, 39, 13], [2, 2, 1, 55]]",47,2,7,4,5,52,0,3,7,1,39,13,2,2,1,55,0.2669417394871596,0.11272320094267785,0.048102502879978415,0.015045273683421467,0.046523710149745594,0.15556805583989652,0.07255534160692273,0.05414115571222555,0.06637722399568485,0.16202179570228725
SVC_RBF,0.8,0.7999999999999999,0.8095720383738817,0.8,0.8001966697797183,0.7362878210650594,0.8148232984293194,0.03131809485634974,0.19565749168395996,0.7580645161290323,0.7833333333333333,0.7704918032786885,60.0,0.9272727272727272,0.85,0.8869565217391304,60.0,0.8367346938775511,0.6833333333333333,0.7522935779816514,60.0,0.7162162162162162,0.8833333333333333,0.7910447761194029,60.0,"[[47, 2, 6, 5], [7, 51, 0, 2], [5, 0, 41, 14], [3, 2, 2, 53]]",47,2,6,5,7,51,0,2,5,0,41,14,3,2,2,53,,,,,,,,,,
QDA,0.7958333333333333,0.7958333333333334,0.7967641048644338,0.7958333333333333,0.7953665743637692,0.7283343569640434,0.7782068062827225,0.022166839980363832,0.026828527450561523,0.7543859649122807,0.7166666666666667,0.7350427350427351,60.0,0.796875,0.85,0.8225806451612904,60.0,0.8545454545454545,0.7833333333333333,0.8173913043478261,60.0,0.78125,0.8333333333333334,0.8064516129032258,60.0,"[[43, 7, 4, 6], [7, 51, 0, 2], [6, 1, 47, 6], [1, 5, 4, 50]]",43,7,4,6,7,51,0,2,6,1,47,6,1,5,4,50,,,,,,,,,,
