Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s
KNN_5,0.96875,0.96875,0.9722222222222222,0.96875,0.9686274509803922,0.9595836056632143,0.8667692307692307,0.053785460299647626,0.060662031173706055
KNN_3,0.96875,0.96875,0.9722222222222222,0.96875,0.9686274509803922,0.9595836056632143,0.8356923076923076,0.03026353675307518,0.05071544647216797
MLP_Large,0.96875,0.96875,0.9722222222222222,0.96875,0.9686274509803922,0.9595836056632143,0.7335384615384615,0.10018869770552462,0.3080918788909912
LinearSVC,0.9375,0.9375,0.9409722222222222,0.9375,0.9373774509803922,0.9178625793300311,0.8667692307692307,0.04746446818036596,0.21625947952270508
StackingEnsemble,0.9375,0.9375,0.95,0.9375,0.9388888888888889,0.9202685142026326,0.858153846153846,0.0665526441087792,4.677892446517944
RidgeClassifier,0.90625,0.90625,0.9166666666666666,0.90625,0.9078431372549021,0.8772875856031493,0.8676923076923077,0.03804699678682986,0.03214406967163086
SVC_Linear,0.90625,0.90625,0.9131944444444444,0.90625,0.9079656862745098,0.8761415529968479,0.8510769230769231,0.046738856533500815,0.030694961547851562
VotingEnsemble,0.875,0.875,0.8740079365079365,0.875,0.8727941176470588,0.8344205266636646,0.8513846153846154,0.030391527938131047,1.9261119365692139
XGBoost,0.875,0.875,0.8809523809523809,0.875,0.8745098039215686,0.8355119862887136,0.7953846153846155,0.08014188601156776,0.9427218437194824
Perceptron,0.875,0.875,0.875,0.875,0.8697478991596639,0.8366077401842115,0.8043076923076923,0.07470906094298235,0.06013035774230957
ExtraTrees,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8513846153846154,0.01684176268726647,0.9940860271453857
AdaBoost,0.875,0.875,0.8944444444444444,0.875,0.8757236227824463,0.8388122439800432,0.7504615384615384,0.036515701413284446,0.5873885154724121
MLP_L2,0.875,0.875,0.8972222222222221,0.875,0.8773576097105509,0.8388122439800432,0.7652307692307692,0.08932408913282176,0.32968878746032715
LogisticRegression_L2,0.875,0.875,0.8774801587301587,0.875,0.8746323529411765,0.8344205266636646,0.8815384615384614,0.06804105965383378,0.029009342193603516
KNN_7,0.875,0.875,0.875,0.875,0.8697478991596639,0.8366077401842115,0.8584615384615384,0.07501636902237924,0.06532001495361328
NuSVC,0.875,0.875,0.875,0.875,0.875,0.8333333333333334,0.8664615384615384,0.060564601921561094,0.03223276138305664
