Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,Seed
GaussianProcess,0.8382352941176471,0.8382352941176471,0.840832542864406,0.8382352941176471,0.8377358887757109,0.7854753575814768,0.8072025942993685,0.0092535590754705,251.65885877609253,3
RandomForest,0.8235294117647058,0.823529411764706,0.824454494817398,0.8235294117647058,0.8228393672055645,0.7654235274464891,0.7841269841269841,0.0289533592169131,0.7694404125213623,3
CatBoost,0.8235294117647058,0.8235294117647058,0.8285117056856188,0.8235294117647058,0.8241442244403379,0.7659076969727007,0.0,0.0,0.7624251842498779,3
SVC_RBF,0.8198529411764706,0.8198529411764707,0.8221959027739265,0.8198529411764706,0.8181248421257166,0.7616040979653981,0.8044290834613415,0.0207193666572465,0.1299197673797607,3
KNN_7,0.8198529411764706,0.8198529411764706,0.8277023574856496,0.8198529411764706,0.8180863409039709,0.7634310203572171,0.7749231950844854,0.0141664995853216,0.081935167312622,3
Bagging,0.8161764705882353,0.8161764705882353,0.8164224664224664,0.8161764705882353,0.8158875449493298,0.755160584422747,0.7749018603857313,0.0285117872005933,8.53864860534668,3
SVC_Linear,0.8161764705882353,0.8161764705882353,0.8172292877037739,0.8161764705882353,0.815629889232622,0.7555694792732615,0.7896953405017921,0.0359826543634266,0.1392655372619629,3
StackingEnsemble,0.8161764705882353,0.8161764705882354,0.8167746006798712,0.8161764705882353,0.8146749454030051,0.7560200316721714,0.8044333504010923,0.0168309848180822,8.189506530761719,3
VotingEnsemble,0.8125,0.8125,0.8145277661406695,0.8125,0.8119890729913963,0.7509886512593966,0.7915130568356374,0.020890513459156,9.810649156570436,3
SVC_Poly,0.8125,0.8125,0.8335123523093448,0.8125,0.8117907103322564,0.758537296232339,0.7518390510325994,0.0135867321741075,0.1650164127349853,3
MLP_L2,0.8125,0.8125,0.8137707733928802,0.8125,0.8111275831186914,0.7512058648005843,0.7610855094726062,0.0268035339196985,0.3982753753662109,3
GradientBoosting,0.8125,0.8125,0.8184611983831702,0.8125,0.8115579302587177,0.7525404229788257,0.7813662741082096,0.0289306834888506,1.960047960281372,3
MLP_Medium,0.8125,0.8125,0.8137707733928802,0.8125,0.8111275831186914,0.7512058648005843,0.7620071684587814,0.0280795708618353,0.4209918975830078,3
LogisticRegression_ElasticNet,0.8088235294117647,0.8088235294117647,0.8110686429895795,0.8088235294117647,0.8080712349391221,0.7462690380759647,0.7915301245946407,0.0303752277324155,0.049670934677124,3
LogisticRegression_L1,0.8088235294117647,0.8088235294117647,0.8110686429895795,0.8088235294117647,0.8080712349391221,0.7462690380759647,0.7896868066222905,0.0325518242110246,0.0361287593841552,3
LogisticRegression_L2,0.8088235294117647,0.8088235294117647,0.8110686429895795,0.8088235294117647,0.8080712349391221,0.7462690380759647,0.7942951015531661,0.0286947063261111,0.0327811241149902,3
KNN_3,0.8051470588235294,0.8051470588235294,0.8098443223443224,0.8051470588235294,0.8029924326115775,0.742932487314191,0.7472350230414747,0.0162862645595136,0.0818901062011718,3
ExtraTrees,0.8051470588235294,0.8051470588235293,0.8069792269134375,0.8051470588235294,0.8031084648232356,0.7419766697058882,0.793352107868237,0.0209510130956339,0.6180160045623779,3
LDA,0.8051470588235294,0.8051470588235294,0.8082051540737981,0.8051470588235294,0.8043290765978314,0.7416812487054251,0.7961341525857655,0.0208114080126263,0.0177695751190185,3
LinearSVC,0.8051470588235294,0.8051470588235294,0.8068570402298851,0.8051470588235294,0.8036408036408037,0.7416275736982115,0.7832266598395631,0.0206541199905945,0.1584248542785644,3
MLP_Large,0.8014705882352942,0.8014705882352942,0.804208890388468,0.8014705882352942,0.8000399454691535,0.7368227834785919,0.7813961426864653,0.0354860669678673,0.6553444862365723,3
NuSVC,0.7941176470588235,0.7941176470588236,0.7958793948401884,0.7941176470588235,0.7923790410969499,0.7271300798085117,0.7859788359788359,0.0205124429148402,0.2167725563049316,3
HistGradientBoosting,0.7941176470588235,0.7941176470588236,0.7988375603864735,0.7941176470588235,0.794137685484211,0.7270247940045487,0.7758192524321557,0.0198079432052777,19.879432201385494,3
KNN_5,0.7904411764705882,0.7904411764705882,0.8014351649772863,0.7904411764705882,0.7895335968399169,0.7244236503250482,0.7712194913807817,0.0102980590876508,0.0828437805175781,3
