Classifier,Accuracy_Mean,Accuracy_Std,Balanced_Accuracy_Mean,Balanced_Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Score_Mean,F1_Score_Std,MCC_Mean,MCC_Std,CV_Mean_Mean,CV_Mean_Std
CatBoost,0.8263888888888888,0.01048588116009834,0.826388888888889,0.010485881160098291,0.8323333818009724,0.008181066569739293,0.8263888888888888,0.01048588116009834,0.8263125956798872,0.010445967551481396,0.7703885312926629,0.012722937913260526,0.0,0.0
VotingEnsemble,0.8263888888888888,0.013393959390268061,0.826388888888889,0.013393959390268032,0.8312331731715029,0.015979890792386056,0.8263888888888888,0.013393959390268061,0.8259239396743753,0.01384477246455138,0.7702912739535247,0.018524920004946314,0.7984511343804538,0.003972275135359674
StackingEnsemble,0.8250000000000001,0.01816207893141949,0.8250000000000001,0.01816207893141949,0.8309221535043663,0.014170975770105088,0.8250000000000001,0.01816207893141949,0.8252231579080543,0.01784782365480528,0.7683974638757084,0.02320303287868627,0.8117073880162885,0.005812053063881657
Bagging,0.8250000000000001,0.02499999999999994,0.8250000000000001,0.025000000000000022,0.8286875000315277,0.02753042815794033,0.8250000000000001,0.02499999999999994,0.8252124893225137,0.024991499730765546,0.7676432973257276,0.03411939715699931,0.7810136707388017,0.007101828960436424
RandomForest,0.8194444444444445,0.01577474540500081,0.8194444444444445,0.01577474540500081,0.8227157196011023,0.017319798412132326,0.8194444444444445,0.01577474540500081,0.8190469162107433,0.01577266838084274,0.7604802251989159,0.021630948155529035,0.794262652705061,0.002628708551483471
ExtraTrees,0.8152777777777778,0.01577474540500081,0.8152777777777779,0.015774745405000783,0.8191771915909521,0.017003884759678973,0.8152777777777778,0.01577474540500081,0.8146573515043549,0.01628974119347192,0.7552754392766007,0.021186446722214133,0.7987910849331007,0.010680822890862635
GaussianProcess,0.8152777777777778,0.021381672664362073,0.8152777777777778,0.021381672664362073,0.8222335341322689,0.018920102093350176,0.8152777777777778,0.021381672664362073,0.8161443484678784,0.02125997931078832,0.7553850983994407,0.02786054513714547,0.8099530977312389,0.0031722418910602426
XGBoost,0.813888888888889,0.017347216662217738,0.8138888888888888,0.017347216662217793,0.8219354192626556,0.020942685554400715,0.813888888888889,0.017347216662217738,0.8139462351592123,0.017659903149055446,0.7543464428454413,0.024129056940707945,0.7872836678301338,0.00423279101466926
SVC_RBF,0.8138888888888888,0.012729376930432842,0.8138888888888888,0.012729376930432893,0.8196799184915827,0.01179766152235104,0.8138888888888888,0.012729376930432842,0.8142694269141382,0.013063646703425044,0.753536937047237,0.016298451692523787,0.8123981966259454,0.003339158962835516
GradientBoosting,0.8097222222222222,0.00962250448649373,0.8097222222222222,0.00962250448649377,0.8174362175796182,0.01631225352836934,0.8097222222222222,0.00962250448649373,0.8092080615275176,0.01050467591830326,0.7493383241532516,0.014856533617633623,0.7904323007562537,0.0015954843027882553
HistGradientBoosting,0.8083333333333332,0.01816207893141954,0.8083333333333332,0.01816207893141941,0.8139737542797919,0.02361951265639895,0.8083333333333332,0.01816207893141954,0.8077711453724619,0.019606158044739138,0.7465487576129212,0.02519384658839256,0.7750618091913903,0.005235603041072789
NuSVC,0.8013888888888889,0.015774745405000783,0.8013888888888889,0.01577474540500089,0.8071780953672373,0.014775101397554172,0.8013888888888889,0.015774745405000783,0.8013269621087585,0.015846529500893006,0.7370988067967589,0.020737221795296194,0.8089114310645725,0.0033566903216056564
MLP_Large,0.7986111111111112,0.0240562612162344,0.798611111111111,0.024056261216234432,0.8041804795803316,0.02294481310685864,0.7986111111111112,0.0240562612162344,0.7989307104000588,0.023950990726836777,0.7331094695581043,0.03181481000273438,0.8008998691099477,0.013225983234465858
LogisticRegression_L1,0.798611111111111,0.012028130608117185,0.7986111111111112,0.0120281306081172,0.8024996065080332,0.014962078727225455,0.798611111111111,0.012028130608117185,0.798422036229478,0.012763983837021492,0.732843137293348,0.016655304885569128,0.8106493600930774,0.00378229542516665
LogisticRegression_L2,0.7972222222222222,0.006364688465216537,0.7972222222222222,0.006364688465216483,0.8004846559440068,0.008294930995044258,0.7972222222222222,0.006364688465216537,0.7972468409100202,0.0071674421590307135,0.7306346986850539,0.008602692879351028,0.8082133507853403,0.004959542201413832
SVC_Linear,0.7972222222222222,0.027743033826997446,0.7972222222222222,0.027743033826997478,0.8018840519980411,0.027212246875111503,0.7972222222222222,0.027743033826997446,0.7978398913265545,0.027704348760996245,0.7307317268796286,0.0369348297191976,0.8116873909249565,0.005431575767535298
LogisticRegression_ElasticNet,0.7972222222222222,0.00962250448649384,0.7972222222222222,0.00962250448649377,0.8007058641756611,0.012559938096600509,0.7972222222222222,0.00962250448649384,0.7971799771427025,0.010639306062726775,0.7307510833525087,0.013192802542911298,0.8092550174520069,0.0036929634992385312
