Classifier,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC,CV_Mean,CV_Std,Train_Time_s,Seed
SVC_Linear,0.9375,0.9375,0.95,0.9375,0.9365079365079364,0.92147859824173,0.8590769230769231,0.0646783575922302,0.0347437858581543,3
SVC_RBF,0.9375,0.9375,0.95,0.9375,0.9365079365079364,0.92147859824173,0.8821538461538461,0.0566153846153846,0.0346477031707763,3
StackingEnsemble,0.9375,0.9375,0.95,0.9375,0.9365079365079364,0.92147859824173,0.8667692307692307,0.069374892718079,4.650177240371704,3
KNN_5,0.9375,0.9375,0.95,0.9375,0.9365079365079364,0.92147859824173,0.844,0.033460742696108,0.0685722827911377,3
ExtraTrees,0.90625,0.90625,0.9166666666666666,0.90625,0.9054621848739496,0.8784381271934221,0.8203076923076923,0.0308061317188524,1.0097160339355469,3
SGDClassifier,0.90625,0.90625,0.931818181818182,0.90625,0.902834008097166,0.8854377448471462,0.828,0.0199976329960269,0.0644371509552002,3
LinearSVC,0.90625,0.90625,0.9222222222222224,0.90625,0.9051353874883286,0.8807528561790454,0.8587692307692307,0.0418778160759362,0.2160921096801757,3
LogisticRegression_L1,0.90625,0.90625,0.931818181818182,0.90625,0.902834008097166,0.8854377448471462,0.8587692307692307,0.0693462285080019,0.0510866641998291,3
VotingEnsemble,0.90625,0.90625,0.9166666666666666,0.90625,0.9054621848739496,0.8784381271934221,0.8116923076923076,0.0487146017743705,1.9293107986450195,3
LogisticRegression_L2,0.90625,0.90625,0.931818181818182,0.90625,0.902834008097166,0.8854377448471462,0.8584615384615384,0.0655680684299388,0.0317177772521972,3
LogisticRegression_ElasticNet,0.90625,0.90625,0.931818181818182,0.90625,0.902834008097166,0.8854377448471462,0.8664615384615384,0.0545874251293145,0.0517809391021728,3
NuSVC,0.90625,0.90625,0.9166666666666666,0.90625,0.9054621848739496,0.8784381271934221,0.8664615384615384,0.060564601921561,0.0366914272308349,3
Bagging,0.875,0.875,0.8740079365079365,0.875,0.8727941176470588,0.8344205266636646,0.788923076923077,0.0717220143141428,6.106774568557739,3
KNN_7,0.875,0.875,0.8770833333333334,0.875,0.8695436507936508,0.837707816583391,0.8283076923076923,0.0389883915358945,0.0604736804962158,3
CatBoost,0.875,0.875,0.8819444444444444,0.875,0.8723739495798319,0.8366077401842115,0.0,0.0,0.9251711368560792,3
QDA,0.875,0.875,0.8875,0.875,0.8740079365079365,0.837707816583391,0.7658461538461537,0.0729457932810141,0.0267555713653564,3
PassiveAggressive,0.875,0.875,0.8833333333333333,0.875,0.873015873015873,0.837707816583391,0.8273846153846154,0.0430593370696268,0.0645759105682373,3
KNN_3,0.875,0.875,0.904040404040404,0.875,0.8624871001031991,0.8478078067985948,0.8363076923076923,0.0270454362379639,0.0482318401336669,3
NearestCentroid,0.875,0.875,0.8944444444444445,0.875,0.8757236227824463,0.8388122439800432,0.8430769230769231,0.0632006291632228,0.0289051532745361,3
GaussianNB,0.875,0.875,0.8972222222222221,0.875,0.8773576097105509,0.8388122439800432,0.8818461538461537,0.0676881117580685,0.0283036231994628,3
DecisionTree,0.84375,0.84375,0.8473214285714286,0.84375,0.8409722222222222,0.7947773531750009,0.712,0.1002264890756233,0.0391693115234375,3
RandomForest,0.84375,0.84375,0.8517857142857143,0.84375,0.8430555555555557,0.7947773531750009,0.836,0.0291188139429439,1.3046393394470217,3
SVC_Poly,0.84375,0.84375,0.8809523809523809,0.84375,0.8476190476190477,0.8032552181511441,0.7966153846153846,0.04707189515634,0.028353214263916,3
