1: 1764083418.046597 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -45, 'rx_bytes': 50937, 'tx_bytes': 31419, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -39, 'rx_bytes': 412083, 'tx_bytes': 204166, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -56, 'rx_bytes': 239487, 'tx_bytes': 154573, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -48, 'rx_bytes': 68327, 'tx_bytes': 47380, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764083419.408192 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -45, 'rx_bytes': 50937, 'tx_bytes': 31419, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -39, 'rx_bytes': 413305, 'tx_bytes': 204716, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -52, 'rx_bytes': 240173, 'tx_bytes': 155025, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -41, 'rx_bytes': 68503, 'tx_bytes': 47478, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764083420.770262 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -45, 'rx_bytes': 50937, 'tx_bytes': 31419, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -35, 'rx_bytes': 414259, 'tx_bytes': 205070, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -48, 'rx_bytes': 240735, 'tx_bytes': 155379, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -46, 'rx_bytes': 68803, 'tx_bytes': 47674, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764083422.083404 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -45, 'rx_bytes': 50937, 'tx_bytes': 31419, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -45, 'rx_bytes': 415585, 'tx_bytes': 205964, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -48, 'rx_bytes': 241193, 'tx_bytes': 155733, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -56, 'rx_bytes': 69073, 'tx_bytes': 47814, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764083423.40314 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -45, 'rx_bytes': 50937, 'tx_bytes': 31419, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -57, 'rx_bytes': 417845, 'tx_bytes': 207480, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -40, 'rx_bytes': 242188, 'tx_bytes': 156468, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -58, 'rx_bytes': 69249, 'tx_bytes': 47912, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764083424.765889 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -45, 'rx_bytes': 50937, 'tx_bytes': 31419, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -55, 'rx_bytes': 418631, 'tx_bytes': 207834, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -44, 'rx_bytes': 242698, 'tx_bytes': 156822, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -58, 'rx_bytes': 69549, 'tx_bytes': 48108, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764083426.145801 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -45, 'rx_bytes': 50937, 'tx_bytes': 31419, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -49, 'rx_bytes': 419235, 'tx_bytes': 208030, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -38, 'rx_bytes': 243384, 'tx_bytes': 157274, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -57, 'rx_bytes': 69699, 'tx_bytes': 48206, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764083427.503871 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -45, 'rx_bytes': 50937, 'tx_bytes': 31419, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -49, 'rx_bytes': 420189, 'tx_bytes': 208384, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -47, 'rx_bytes': 243946, 'tx_bytes': 157628, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -56, 'rx_bytes': 69849, 'tx_bytes': 48304, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764083428.86705 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -45, 'rx_bytes': 50937, 'tx_bytes': 31419, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -47, 'rx_bytes': 421539, 'tx_bytes': 209278, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -42, 'rx_bytes': 244226, 'tx_bytes': 157726, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -54, 'rx_bytes': 70149, 'tx_bytes': 48500, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764083430.237447 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -45, 'rx_bytes': 50937, 'tx_bytes': 31419, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -48, 'rx_bytes': 422567, 'tx_bytes': 209730, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -44, 'rx_bytes': 244860, 'tx_bytes': 158178, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -57, 'rx_bytes': 70299, 'tx_bytes': 48598, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1764083463.003139 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -44, 'rx_bytes': 52177, 'tx_bytes': 32439, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -34, 'rx_bytes': 446901, 'tx_bytes': 221900, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -49, 'rx_bytes': 263369, 'tx_bytes': 172137, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '2e:ad:62:53:35:66', 'rssi': -31, 'rx_bytes': 75497, 'tx_bytes': 52076, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
