1: 1763480370.89139 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -34, 'rx_bytes': 18555, 'tx_bytes': 11540, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -45, 'rx_bytes': 33528, 'tx_bytes': 22314, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -36, 'rx_bytes': 104482, 'tx_bytes': 72111, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -39, 'rx_bytes': 44072, 'tx_bytes': 21572, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1763480372.266323 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -35, 'rx_bytes': 20146, 'tx_bytes': 13041, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -43, 'rx_bytes': 34362, 'tx_bytes': 22766, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -47, 'rx_bytes': 105372, 'tx_bytes': 72665, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -37, 'rx_bytes': 45412, 'tx_bytes': 21768, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1763480373.585554 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -33, 'rx_bytes': 20676, 'tx_bytes': 13139, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -47, 'rx_bytes': 34872, 'tx_bytes': 23120, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -33, 'rx_bytes': 105846, 'tx_bytes': 73019, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -35, 'rx_bytes': 45562, 'tx_bytes': 21866, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1763480374.956499 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -35, 'rx_bytes': 21304, 'tx_bytes': 13335, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -50, 'rx_bytes': 35636, 'tx_bytes': 23572, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -48, 'rx_bytes': 106614, 'tx_bytes': 73573, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -43, 'rx_bytes': 45712, 'tx_bytes': 21964, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1763480376.271936 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -34, 'rx_bytes': 22922, 'tx_bytes': 14497, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -47, 'rx_bytes': 38288, 'tx_bytes': 24990, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -55, 'rx_bytes': 108576, 'tx_bytes': 75317, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -60, 'rx_bytes': 46012, 'tx_bytes': 22160, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1763480377.595739 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -32, 'rx_bytes': 23452, 'tx_bytes': 14595, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -39, 'rx_bytes': 40416, 'tx_bytes': 25344, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -62, 'rx_bytes': 109674, 'tx_bytes': 76225, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -58, 'rx_bytes': 46162, 'tx_bytes': 22258, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1763480378.966238 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -34, 'rx_bytes': 24080, 'tx_bytes': 14791, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -51, 'rx_bytes': 42176, 'tx_bytes': 25934, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -68, 'rx_bytes': 119566, 'tx_bytes': 78009, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -64, 'rx_bytes': 46837, 'tx_bytes': 22829, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1763480380.32575 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -34, 'rx_bytes': 24610, 'tx_bytes': 14889, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -42, 'rx_bytes': 44742, 'tx_bytes': 26888, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -49, 'rx_bytes': 125553, 'tx_bytes': 78363, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -56, 'rx_bytes': 47137, 'tx_bytes': 23025, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1763480381.647731 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -32, 'rx_bytes': 25140, 'tx_bytes': 14987, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -42, 'rx_bytes': 45200, 'tx_bytes': 27242, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -56, 'rx_bytes': 129279, 'tx_bytes': 79257, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -52, 'rx_bytes': 47287, 'tx_bytes': 23123, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1763480383.009477 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -32, 'rx_bytes': 25696, 'tx_bytes': 15183, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -43, 'rx_bytes': 45954, 'tx_bytes': 27736, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -50, 'rx_bytes': 130539, 'tx_bytes': 80249, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -55, 'rx_bytes': 47437, 'tx_bytes': 23221, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1763480430.997031 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -39, 'rx_bytes': 27215, 'tx_bytes': 16340, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -47, 'rx_bytes': 74301, 'tx_bytes': 45841, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -43, 'rx_bytes': 197112, 'tx_bytes': 106250, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '86:1d:1e:e5:49:5a', 'rssi': -38, 'rx_bytes': 57634, 'tx_bytes': 29718, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
