1: 1764087209.319377 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -42, 'rx_bytes': 137220, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -44, 'rx_bytes': 7418045, 'tx_bytes': 2432562, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -65, 'rx_bytes': 78743, 'tx_bytes': 45810, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -59, 'rx_bytes': 2612955, 'tx_bytes': 1806950, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764087210.083734 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -42, 'rx_bytes': 137220, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -46, 'rx_bytes': 7418975, 'tx_bytes': 2432916, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -50, 'rx_bytes': 78893, 'tx_bytes': 45908, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -56, 'rx_bytes': 2613157, 'tx_bytes': 1807048, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764087210.804224 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -42, 'rx_bytes': 137220, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -42, 'rx_bytes': 7419641, 'tx_bytes': 2433270, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -50, 'rx_bytes': 78893, 'tx_bytes': 45908, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -59, 'rx_bytes': 2613889, 'tx_bytes': 1807676, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764087211.562271 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -42, 'rx_bytes': 137220, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -41, 'rx_bytes': 7420003, 'tx_bytes': 2433368, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -54, 'rx_bytes': 79043, 'tx_bytes': 46006, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -62, 'rx_bytes': 2615259, 'tx_bytes': 1808838, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764087212.285549 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -42, 'rx_bytes': 137220, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -39, 'rx_bytes': 7420315, 'tx_bytes': 2433368, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -39, 'rx_bytes': 79193, 'tx_bytes': 46104, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -61, 'rx_bytes': 2615865, 'tx_bytes': 1809192, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764087213.053297 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -42, 'rx_bytes': 137220, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -34, 'rx_bytes': 7420933, 'tx_bytes': 2433722, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -36, 'rx_bytes': 79343, 'tx_bytes': 46202, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -62, 'rx_bytes': 2615943, 'tx_bytes': 1809192, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764087213.786572 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -42, 'rx_bytes': 137220, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -36, 'rx_bytes': 7421223, 'tx_bytes': 2433820, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -36, 'rx_bytes': 79343, 'tx_bytes': 46202, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -55, 'rx_bytes': 2616453, 'tx_bytes': 1809546, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764087214.514601 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -42, 'rx_bytes': 137220, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -39, 'rx_bytes': 7421913, 'tx_bytes': 2434174, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -49, 'rx_bytes': 79493, 'tx_bytes': 46300, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -55, 'rx_bytes': 2616671, 'tx_bytes': 1809686, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764087215.271245 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -42, 'rx_bytes': 137220, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -35, 'rx_bytes': 7422105, 'tx_bytes': 2434174, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -44, 'rx_bytes': 79643, 'tx_bytes': 46398, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -59, 'rx_bytes': 2617181, 'tx_bytes': 1810040, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1764087216.042084 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -42, 'rx_bytes': 137220, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -34, 'rx_bytes': 7423762, 'tx_bytes': 2435351, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -37, 'rx_bytes': 79793, 'tx_bytes': 46496, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -53, 'rx_bytes': 2617259, 'tx_bytes': 1810040, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1764087224.09325 {'phy0-ap0': [{'mac': '04:b1:67:ac:8d:65', 'rssi': -59, 'rx_bytes': 137244, 'tx_bytes': 111327, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -59, 'rx_bytes': 7430828, 'tx_bytes': 2439119, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}], 'phy1-ap0': [{'mac': '2e:ad:62:53:35:66', 'rssi': -61, 'rx_bytes': 81335, 'tx_bytes': 47566, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -50, 'rx_bytes': 2620467, 'tx_bytes': 1812104, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
