1: 1762268109.248385 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -45, 'rx_bytes': 18822, 'tx_bytes': 12411, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -56, 'rx_bytes': 684778, 'tx_bytes': 352563, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -52, 'rx_bytes': 1675423, 'tx_bytes': 573405, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -58, 'rx_bytes': 119190, 'tx_bytes': 124972, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1762268110.617333 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -47, 'rx_bytes': 18972, 'tx_bytes': 12509, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -52, 'rx_bytes': 686762, 'tx_bytes': 352917, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -62, 'rx_bytes': 1677521, 'tx_bytes': 573857, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -57, 'rx_bytes': 119410, 'tx_bytes': 125168, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1762268111.979266 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -53, 'rx_bytes': 19272, 'tx_bytes': 12705, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -55, 'rx_bytes': 687344, 'tx_bytes': 353369, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -56, 'rx_bytes': 1679193, 'tx_bytes': 575275, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -62, 'rx_bytes': 119556, 'tx_bytes': 125266, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1762268113.335659 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -47, 'rx_bytes': 19422, 'tx_bytes': 12803, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -52, 'rx_bytes': 688206, 'tx_bytes': 353825, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -48, 'rx_bytes': 1679643, 'tx_bytes': 575629, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -62, 'rx_bytes': 119678, 'tx_bytes': 125364, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1762268114.656844 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -42, 'rx_bytes': 19572, 'tx_bytes': 12901, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -51, 'rx_bytes': 688790, 'tx_bytes': 354179, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -54, 'rx_bytes': 1681776, 'tx_bytes': 576912, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -62, 'rx_bytes': 119898, 'tx_bytes': 125560, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1762268115.973136 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -48, 'rx_bytes': 20416, 'tx_bytes': 13481, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -64, 'rx_bytes': 689550, 'tx_bytes': 354733, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -55, 'rx_bytes': 1687934, 'tx_bytes': 577724, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -60, 'rx_bytes': 120044, 'tx_bytes': 125658, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1762268117.290147 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -54, 'rx_bytes': 20566, 'tx_bytes': 13579, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -59, 'rx_bytes': 693163, 'tx_bytes': 356096, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -46, 'rx_bytes': 1690104, 'tx_bytes': 578420, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -65, 'rx_bytes': 120166, 'tx_bytes': 125756, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1762268118.608005 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -46, 'rx_bytes': 20716, 'tx_bytes': 13677, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -55, 'rx_bytes': 696383, 'tx_bytes': 356450, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -46, 'rx_bytes': 1692076, 'tx_bytes': 578774, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -59, 'rx_bytes': 120580, 'tx_bytes': 127026, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1762268119.926041 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -40, 'rx_bytes': 21016, 'tx_bytes': 13873, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -59, 'rx_bytes': 699410, 'tx_bytes': 357795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -41, 'rx_bytes': 1693066, 'tx_bytes': 579226, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -64, 'rx_bytes': 121216, 'tx_bytes': 127564, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1762268121.300122 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -38, 'rx_bytes': 21166, 'tx_bytes': 13971, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -55, 'rx_bytes': 701438, 'tx_bytes': 358149, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -32, 'rx_bytes': 1693442, 'tx_bytes': 579324, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -66, 'rx_bytes': 121338, 'tx_bytes': 127662, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1762268133.624272 {'phy0-ap0': [], 'phy1-ap0': [{'mac': 'ea:51:ae:7f:62:fa', 'rssi': -37, 'rx_bytes': 22966, 'tx_bytes': 15147, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -49, 'rx_bytes': 710323, 'tx_bytes': 364432, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -41, 'rx_bytes': 1708919, 'tx_bytes': 587631, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -64, 'rx_bytes': 122940, 'tx_bytes': 129856, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
