1: 1772642246.527288 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -47, 'rx_bytes': 636913, 'tx_bytes': 859453, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -47, 'rx_bytes': 4397082, 'tx_bytes': 25984689, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -47, 'rx_bytes': 14943856, 'tx_bytes': 31611046, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -50, 'rx_bytes': 1864010, 'tx_bytes': 37843690, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -46, 'rx_bytes': 5213552, 'tx_bytes': 21056843, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1772642247.797507 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -56, 'rx_bytes': 637329, 'tx_bytes': 859795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -49, 'rx_bytes': 4397408, 'tx_bytes': 25984885, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -46, 'rx_bytes': 14944628, 'tx_bytes': 31611242, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 1905259, 'tx_bytes': 37917091, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -41, 'rx_bytes': 5213780, 'tx_bytes': 21056941, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1772642249.056438 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -51, 'rx_bytes': 637355, 'tx_bytes': 859795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -62, 'rx_bytes': 4397636, 'tx_bytes': 25984983, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -44, 'rx_bytes': 14944870, 'tx_bytes': 31611340, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -57, 'rx_bytes': 1916114, 'tx_bytes': 38302695, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -47, 'rx_bytes': 5213930, 'tx_bytes': 21057039, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1772642250.265422 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -51, 'rx_bytes': 637355, 'tx_bytes': 859795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -55, 'rx_bytes': 4397838, 'tx_bytes': 25985081, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -43, 'rx_bytes': 14945434, 'tx_bytes': 31611438, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -56, 'rx_bytes': 1924116, 'tx_bytes': 38772277, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -39, 'rx_bytes': 5214080, 'tx_bytes': 21057137, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1772642251.529336 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -51, 'rx_bytes': 637355, 'tx_bytes': 859795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -45, 'rx_bytes': 4399855, 'tx_bytes': 25986547, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -37, 'rx_bytes': 14946245, 'tx_bytes': 31611679, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -56, 'rx_bytes': 1932610, 'tx_bytes': 39343213, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -48, 'rx_bytes': 5214458, 'tx_bytes': 21057333, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1772642252.783418 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -51, 'rx_bytes': 637355, 'tx_bytes': 859795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -42, 'rx_bytes': 4405517, 'tx_bytes': 25995009, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -45, 'rx_bytes': 14947984, 'tx_bytes': 31611949, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -52, 'rx_bytes': 1943402, 'tx_bytes': 39480617, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -48, 'rx_bytes': 5214712, 'tx_bytes': 21057431, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1772642254.042884 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -51, 'rx_bytes': 637355, 'tx_bytes': 859795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -44, 'rx_bytes': 4475429, 'tx_bytes': 26014377, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -41, 'rx_bytes': 14951803, 'tx_bytes': 31614872, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -51, 'rx_bytes': 1954300, 'tx_bytes': 40182767, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -52, 'rx_bytes': 5214862, 'tx_bytes': 21057529, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1772642255.250775 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -51, 'rx_bytes': 637355, 'tx_bytes': 859795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -43, 'rx_bytes': 4482663, 'tx_bytes': 26020538, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -43, 'rx_bytes': 14952333, 'tx_bytes': 31614970, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -49, 'rx_bytes': 1973140, 'tx_bytes': 40931812, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -51, 'rx_bytes': 5215012, 'tx_bytes': 21057627, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1772642256.47097 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -51, 'rx_bytes': 637355, 'tx_bytes': 859795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -48, 'rx_bytes': 4488314, 'tx_bytes': 26037797, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -43, 'rx_bytes': 14952671, 'tx_bytes': 31615068, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -44, 'rx_bytes': 1984013, 'tx_bytes': 41525555, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -46, 'rx_bytes': 5215432, 'tx_bytes': 21057865, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
1: 1772642257.734257 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -51, 'rx_bytes': 637355, 'tx_bytes': 859795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -45, 'rx_bytes': 4490436, 'tx_bytes': 26038141, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -45, 'rx_bytes': 14953227, 'tx_bytes': 31615264, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -47, 'rx_bytes': 1986904, 'tx_bytes': 41664097, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -52, 'rx_bytes': 5215660, 'tx_bytes': 21057963, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
2: 1772642266.977694 {'phy0-ap0': [{'mac': '4a:ff:61:0a:f6:20', 'rssi': -51, 'rx_bytes': 637355, 'tx_bytes': 859795, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': 'e6:53:5c:2a:e8:e2', 'rssi': -51, 'rx_bytes': 4503688, 'tx_bytes': 26052095, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '76:64:61:f6:e6:14', 'rssi': -47, 'rx_bytes': 14965441, 'tx_bytes': 31620160, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '04:b1:67:ac:8d:65', 'rssi': -56, 'rx_bytes': 2039869, 'tx_bytes': 45708988, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}, {'mac': '56:ec:bd:68:73:0c', 'rssi': -55, 'rx_bytes': 5280940, 'tx_bytes': 21157128, 'connected_time': 0, 'inactive_time': 0, 'auth': True, 'assoc': True, 'authorized': True}]}
